#ID,名称,CharaID,メッセージ,ボイスID,表情差分,
#,,,13巻 チャプター27,
#,,,祈りは届く,,,
#,,,#VS前方のヴェント,
#,,,#アニメシーン画像より。吐血するヴェント。,
1,ヴェント,63000101,ごふッ……！？,1,15,
#,,,#アニメシーン画像より。ヴェントナメ、上条。,
#,,,#走っている上条。,
2,上条 当麻,1000501,（学園都市や風斬が抱えている危機的状況も。<br>ヴェントが囚われている科学への憎しみも）,1,20,
3,上条 当麻,1000501,（そんな幻想はまとめてぶち壊す！！）,1,20,
#,,,#アニメシーン画像より。唖然とするヴェント。,
4,上条 当麻,1000501,（お前の弟に比べれば、<br>全然大した事はないだろうが）,1,20,
#,,,#アニメシーン画像より。拳を振りかぶる上条。,
5,上条 当麻,1000501,（少しだけお前を救ってやる。<br>もう一度やり直してこい！）,1,20,
#,,,#アニメシーン画像より。ヴェントの顔に拳が突き刺さる。,
#,,,#上条、ヴェントを殴り飛ばした。,
6,上条 当麻,1000501,（この大馬鹿野郎！！）,1,13,
#,,,#場面転換。,
#,,,#アニメシーン画像より。廃オフィス、インデックスナメ、木原と一方通行。,
#,,,#木原、不審そうな顔。,
#,,,#目だけで見る一方通行。,
#,,,#インデックス、横顔。,
7,インデックス,2000101,（あの時の……この人達もあれと関係あるの？）,1,15,
#,,,#アニメシーン画像より。木原、バストサイズ。,
8,木原 数多,16000101,おい何だァ、こっちは仕事中だぞ。,1,10,
#,,,#アニメシーン画像より。一方通行、ギッと向いて。,
#,,,#一方通行、木原に抱きつく。,
9,一方通行,13001001,おおおゥゥアアッ！！,1,13,
10,木原 数多,16000101,なッ……！？,1,15,
#,,,#アニメシーン画像より。木原ナメ、インデックスが打ち止めに駆け寄る。,
11,木原 数多,16000101,テメェ！　勝手な事してんじゃねぇぞ！,1,13,
#,,,#アニメシーン画像より。インデックス、打ち止めを観察。,
12,インデックス,2000101,（やっぱりこの子が全ての『核』だ）,1,20,
#,,,#アニメシーン画像より。眠る打ち止め。,
13,インデックス,2000101,（基本は天使の構築。形のない『<ruby=テレズマ>天使の力</ruby>』を<br>人のイメージという『袋』に押し込めてる）,1,20,
#,,,#アニメシーン画像より。インデックス、アップ。,
14,インデックス,2000101,（だけど、私だけじゃここから先は分からない）,1,11,
#,,,#アニメシーン画像より。インデックス、携帯を耳に当てる。,
15,インデックス,2000101,短髪、質問！,1,10,
16,御坂 美琴,4000202,「美琴サマと呼べ！」,1,20,
#,,,#アニメシーン画像より。電話に出ている御坂。,
17,御坂 美琴,4000202,「で、質問て何なのよ！？」,1,21,
#,,,#アニメシーン画像より。インデックス、アップ。,
18,インデックス,2000101,『脳波を応用した電子的ネットワーク』って何！？,1,20,
#,,,#アニメシーン画像より。走っている御坂。,
19,御坂 美琴,4000202,「えっと、発電能力者達が同一の脳波を使って<br>電磁的なネットワークを構築する事、かな」,1,20,
#,,,#アニメシーン画像より。インデックス、アップ。,
20,インデックス,2000101,じゃあ『学園都市に蔓延している<br>ＡＩＭ拡散力場』っていうのはどういう意味！？,1,20,
21,御坂 美琴,4000202,「学園都市の能力者が自然と発生させてる<br>力のフィールド！」,1,20,
#,,,#アニメシーン画像より。眠る打ち止め。,
22,インデックス,2000101,（そうか。ようは街中に特殊な力が満ちていて、<br>それを束ねるのがこの女の子なんだ）,1,21,
23,インデックス,2000101,（この子の精神を縛る事で、特殊な力を捻じ曲げ<br>『天使』を作っているだけ……それなら！）,1,21,
#,,,#アニメシーン画像より。打ち止めナメ、インデックス。,
24,インデックス,2000101,この子の頭の中にある『結び目』を<br>『ほどけば』良いんだよ。,1,10,
25,インデックス,2000101,でも、この考えを具体的な手段に<br>するにはどうすれば……。,1,10,
#,,,#アニメシーン画像より。悟ったように呟くインデックス。,
26,インデックス,2000101,――歌。,1,10,
27,インデックス,2000101,単純な言葉よりも伝わりやすい。<br>リズムや音程を使って多重的にやり取りできるから。,1,10,
#,,,#アニメシーン画像より。車に隠れている御坂。,
28,御坂 美琴,4000202,「ちょ、ちょ、大丈夫な訳！？」,1,15,
29,御坂 美琴,4000202,「電気的ネットワークに介入するなら『<ruby>学習装置</ruby>』みたい<br>な専用機器を使ったデジタルな数値入力は必須でしょ？」,1,15,
30,御坂 美琴,4000202,「そんな声とか歌とか、原始的なアナログ方式で<br>どうにかなる訳！？」,1,15,
#,,,#アニメシーン画像より。笑顔で答えるインデックス。,
31,インデックス,2000101,できるよ。祈りは届くから。<br>私達の祈りで救ってみせる。,1,12,
#,,,#アニメシーン画像より。眠る打ち止め。,
32,インデックス,2000101,この子も――。,1,21,
#,,,#アニメシーン画像より。窓の外の光の羽。,
33,インデックス,2000101,ひょうかも、学園都市も！！,1,20,
#,,,#END,
