#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,14巻 チャプター17,
#,,,母娘の事情,
#,,,#VS不良,
#,,,#アニメシーン画像より。ドームから煙が上がっている。,
,,,#廊下でスキルアウトが言い争っている。,
1,スキルアウトＡ,999000101,ちくしょう！<br>誰だよ、セキュリティ切り忘れたのは！,1,10,
2,スキルアウトＢ,999000101,とにかく時間がねぇ、例の女を捜すぞ！,1,10,
#,,,#アニメシーン画像より。ドーム内、全景。,
,,,#机に隠れている美鈴。,
3,御坂 美鈴,67000101,どうなってんのよ……確かに<ruby>警備員</ruby>に<br>電話したはずなのに、何で誰も来ないの！？,1,14,
#,,,#アニメシーン画像より。ハッとする美鈴。,
#,,,#ＳＥ・複数の足音。,
#,,,#アニメシーン画像より。携帯画面『美琴ちゃん』とある。,
#,,,#美鈴、グッと目を瞑る。,
4,上条 当麻,1000501,「御坂さん。そいつらは多分スキルアウトだ！」,1,20,
#,,,#アニメシーン画像より。電話する美鈴。,
5,御坂 美鈴,67000101,スキルアウト？,1,15,
6,上条 当麻,1000501,「<ruby>無能力者</ruby>達が集まって武装した、<br>ギャングみたいなもん！」,1,20,
#,,,#アニメシーン画像より。角を曲がってきた上条。,
,,,#坂を走る上条。,
7,御坂 美鈴,67000101,私を狙うのは何故？,1,16,
8,上条 当麻,1000501,「そいつは知らないけど……。<br>御坂さん、アンタの娘には電話したのか？」,1,20,
#,,,#アニメシーン画像より。電話する美鈴。,
9,上条 当麻,1000501,「あいつは学園都市に七人しかいない<ruby>超能力者</ruby>だ。<br>もしもまだ……！」,1,20,
10,御坂 美鈴,67000101,待って！　美琴ちゃんはパス！　,1,15,
11,御坂 美鈴,67000101,私の問題にあの子を巻き込んだら、<br>その時点で私はもうあの子に顔を合わせられないわ！,1,14,
#,,,#アニメシーン画像より。上条、アップ。,
12,上条 当麻,1000501,「……分かった。それなら俺が行く！」,1,11,
#,,,#アニメシーン画像より。データベースセンターに走る上条。,
13,御坂 美鈴,67000101,ええっ！？　君にそこまで頼んでは――！,1,15,
#,,,#ＳＥ・電話切る音。,
#,,,#END,
































































































































































































































