#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,メイン: とある魔術の禁書目録 チャプター01,
#,,,あまりにも暗い聖堂,,,
#,,,#【聖ピエトロ広場】,,,
1,？？？,95000101,……ぷはー……。,1,11,
2,アックア,64000101,また飲んでいるのか、テッラ。,1,10,
3,テッラ,95000101,これでも一応、補充しているんですがねー。<br>『神の血』ってヤツを。,1,12,
4,アックア,64000101,パンに葡萄酒か。ミサの仕組みだな。,1,11,
5,テッラ,95000101,私の『<ruby=ラファエル>神の薬</ruby>』は土を示しますから、力を補充するには<br>大地の実りや恵みを利用するのが手っ取り早いのですよ。,1,10,
6,アックア,64000101,それにしても安酒だな。『神の右席』の名を使えば<br>もう少しマシな銘柄を集められたはずである。,1,14,
7,テッラ,95000101,よしてくださいよ。酒の味など分かりません。<br>ただの儀式に使ってる道具ですからねー。,1,10,
8,ローマ教皇,231000101,……信徒の指導者としては、派手な飲酒は<br>控えていただきたいところだがな。,1,10,
9,テッラ,95000101,おっと、私が責められるのは心外です。<br>私は儀式として必要に迫られているだけですから。,1,12,
10,テッラ,95000101,アックアの方はそうでもないのに<br>酒の味や銘柄に詳しいようですがねー。,1,10,
11,アックア,64000101,傭兵崩れの嗜みだ。<br>戦場ではそういう物も必要でな。,1,11,
12,テッラ,95000101,ハハッ、アックアはごろつきですからねー。<br>我々、敬虔な信徒と違って悪い子なんですよ。,1,12,
13,ローマ教皇,231000101,しかし……ろくな護衛もつけず、『神の右席』の<br>二人に<ruby=わたし>ローマ教皇</ruby>まで野外に集まるとはな。,1,10,
14,ローマ教皇,231000101,やはり会合は屋内で行うべきではないのか。<br>この状況を警備の者が見たら泡を吹きかねんぞ。,1,14,
15,テッラ,95000101,大丈夫じゃないですかねー。<br>『<ruby>使徒十字</ruby>』の霊装効果はまだ有効ですし。,1,10,
16,テッラ,95000101,<rubypos><ruby=・>気</ruby><ruby=・>持</ruby><ruby=・>ち</ruby><ruby=・>の</ruby><ruby=・>悪</ruby><ruby=・>い</ruby><ruby=・>空</ruby><ruby=・>が</ruby><ruby=・>広</ruby><ruby=・>が</ruby><ruby=・>っ</ruby><ruby=・>て</ruby><ruby=・>い</ruby><ruby=・>る</ruby><ruby=・>じ</ruby><ruby=・>ゃ</ruby><ruby=・>な</ruby><ruby=・>い</ruby><ruby=・>で</ruby><ruby=・>す</ruby><ruby=・>か</ruby></rubypos>。,1,10,
17,テッラ,95000101,無数の結界が衝突、競合しすぎてオーロラみたいです。<br>あの壁をぶち抜いて呪術狙撃するのは難ですよ。,1,10,
18,ローマ教皇,231000101,この国を守る多重結界は禁書目録による解析はもちろん、<br>もはや私ですら全容を把握しきれん。,1,10,
19,ローマ教皇,231000101,ただ、誰にも明確な制御は行えなくなっているものの<br>あらゆる解析術式を跳ね除けてきているな。,1,10,
20,テッラ,95000101,さて、と。『神の血』の補充も終わりましたし、<br>そろそろ私は行きましょうかねー。,1,12,
21,アックア,64000101,<ruby=・>あ</ruby><ruby=・>れ</ruby>を使うのか。,1,10,
22,テッラ,95000101,民間人を使う事が不服ですかねー、アックア。,1,12,
23,アックア,64000101,……殺し合いなら、それで糊口を凌ぐ<br>兵隊に任せれば良いであろう。,1,11,
24,テッラ,95000101,ハハッ、貴族様らしい意見です。,1,12,
25,テッラ,95000101,しかし、我々ローマ正教の最大の武器は数です。<br>二〇億人という数字は大きな強みです。,1,12,
26,テッラ,95000101,学園都市の総数は<rubypos><ruby=・>た</ruby><ruby=・>っ</ruby><ruby=・>た</ruby></rubypos>二三〇万。<br>まさに文字通り桁違いというヤツです。,1,12,
27,アックア,64000101,戦争の勝敗は人員と物資の量で決まる、か。<br>野蛮だな。旧時代の戦争を覗いているような気分である。,1,14,
28,テッラ,95000101,本当に単純な解答というものは、<br>昔から何一つ変わらないという事ですねー。,1,10,
29,テッラ,95000101,我ら『神の右席』は不完全なれど、<br>その神秘性をもって民を導くもの。,1,10,
30,テッラ,95000101,ならば怯える子羊達には<br>勝手に導かれてもらいましょうよ。,1,10,
31,テッラ,95000101,この羊飼いである私の手によって……。<br>笛に合わせて消えていった子供たちのように。,1,11,
#,,,#END,

