#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,メイン: とある魔術の禁書目録 チャプター21,
#,,,案内人,,,
#,,,#【倉庫街】,
#,,,#アニメシーン画像より。倉庫街を走る自動車。,
#,,,#車内の負傷兵たち。,
#,,,#運転する手塩。,
#,,,#クッとなる佐久。,
1,佐久 辰彦,238000101,今さら計画は止められねぇ……！,1,13,
#,,,#アニメシーン画像より。壁の外、死屍累々。,
#,,,#路地に立つ土御門。,
2,土御門 元春,3000201,さて、質問だ。,1,10,
#,,,#アニメシーン画像より。拘束されている傭兵。,
3,土御門 元春,3000201,五〇〇〇人の傭兵を集めて<br>お前達は一体どこを襲撃しようとしていた。,1,10,
4,傭兵,999000101,……第一〇学区にある少年院だ。,1,10,
5,結標 淡希,17000101,……！,1,15,
#,,,#アニメシーン画像より。結標、傭兵に詰め寄る。,
6,結標 淡希,17000101,なんでそんなところを襲撃するのよ！？<br>ＶＩＰの犯罪者でも助け出すって言うの！？,1,13,
7,傭兵,999000101,俺たちの標的は……<ruby>座標移動</ruby>だ。,1,10,
#,,,#アニメシーン画像より。顔見合わせる土御門たち。,
#,,,#結標ナメ、傭兵。,
8,傭兵,999000101,あそこにはヤツの仲間が入っているという<br>情報を聞いた。,1,10,
#,,,#アニメシーン画像より。厳しい表情の結標。,
9,傭兵,999000101,そいつを捕まえて<ruby>座標移動</ruby>との交渉に使う。,1,10,
10,結標 淡希,17000101,アレイスターのいる、<br>『窓のないビル』の『案内人』……。,1,13,
#,,,#アニメシーン画像より。路地の俯瞰。,
11,傭兵,999000101,『案内人』の素性は機密事項だが、『ブロック』は<br><ruby>座標移動</ruby>が『案内人』であるという情報を掴んだ。,1,10,
12,傭兵,999000101,そいつからビルの物資搬入路に入る方法を聞き出し、<br>中から多層同期爆弾で吹き飛ばす。,1,10,
13,傭兵,999000101,外からでは核兵器でも破壊できないが、中からなら違う。<br>その爆弾の用意があると言っていた。,1,10,
#,,,#アニメシーン画像より。見下ろす結標。,
14,結標 淡希,17000101,あらそう……。<br>貴方、目の前にいるのが誰だかわかってる？,1,12,
#,,,#アニメシーン画像より。ハッとなる傭兵。,
15,傭兵,999000101,う、嘘だろ！？,1,10,
#,,,#アニメシーン画像より。傭兵の全身に杭が突き刺さる。,
16,傭兵,999000101,ぐあああっ！？,1,10,
#,,,#アニメシーン画像より。倒れた傭兵、見下ろす結標。,
#,,,#土御門、顔を上げ。,
17,土御門 元春,3000201,行くぞ。第一〇学区だ。,1,13,
#,,,#END,













































































