#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,メイン: とある魔術の禁書目録 チャプター28,
#,,,襲撃,,,
26,不良Ａ,504000106,ぐわぁっ！,1,16,
27,？？？,167000101,こっちだ、浜面！,1,13,
28,浜面 仕上,66000101,お前……半蔵！,1,15,
#,,, #【背景】路地裏（昼）,
29,浜面 仕上,66000101,なんで俺を助けたんだ。<ruby>武装無能力者集団</ruby>をダメにして、<br>その罰からも逃げたこの俺を。,1,14,
30,服部 半蔵,167000101,そういうのは、お前の台詞じゃねぇよ。<br>つか、もう気付いてんだろ。,1,10,
31,服部 半蔵,167000101,別に俺達はお前を恨んじゃいねえし、<br>お前のせいだと思っちゃいねえさ。,1,10,
32,服部 半蔵,167000101,あのタイミングなら、<br>誰がリーダーになっても<ruby>武装無能力者集団</ruby>は潰れてた。,1,11,
33,浜面 仕上,66000101,……。,1,14,
34,服部 半蔵,167000101,過去にすがるほど奇麗な道は歩んじゃいねぇさ。,1,10,
35,服部 半蔵,167000101,ま、俺が計画を練って、お前がアシを確保して、<br>駒場が襲撃の指揮を執って……ってやってた頃が、,1,12,
36,服部 半蔵,167000101,楽しかったのは認めるがね。,1,12,
37,浜面 仕上,66000101,そうだな。……認めるよ。<br>クソみてえな生活だったが、まだあの頃は楽しかった。,1,12,
38,服部 半蔵,167000101,……お前、これからどうする気だ。,1,10,
39,浜面 仕上,66000101,知るかよ。どこに転がり込んでも同じ気がする。<br>たとえ、<ruby>武装無能力者集団</ruby>に戻ったって……。,1,14,
40,服部 半蔵,167000101,持ってけよ。<br>さっきの様子じゃ大した<ruby=モノ>武器</ruby>もないんだろ。,1,12,
41,浜面 仕上,66000101,小型の拳銃？　レディース用か？,1,15,
42,服部 半蔵,167000101,袖にでもしまっておけよ。　じゃあな。,1,12,
43,浜面 仕上,66000101,半蔵……。,1,14,
44,浜面 仕上,66000101,絹旗から？,1,15,
45,浜面 仕上,66000101,仕事なら今終わったぜ。,1,10,
46,絹旗 最愛,18000201,「浜面！　超急いで車の確保をお願いします！」,1,13,
#,,,#アニメシーン画像より。銃の連射。,,,
#,,,#アニメシーン画像より。銃弾を躱す絹旗。,
47,絹旗 最愛,18000201,『スクール』の襲撃を受けています！,1,13,
#,,,#アニメシーン画像より。絹旗、男をなぎ倒す。,
#,,,#アニメシーン画像より。刀の斬り込むを回避する絹旗。,
48,絹旗 最愛,18000201,彼らの狙いの一つは滝壺さんです。,1,13,
#,,,#アニメシーン画像より。絹旗、手を突き出す。,
#,,,#吹っ飛ぶ男。,
#,,,#絹旗、掌底で男を吹っ飛ばす。,
49,絹旗 最愛,18000201,おそらく滝壺さんの『<ruby>能力追跡</ruby>』を知って<br>追跡を振り切るために潰しに来たんでしょう。,1,13,
50,絹旗 最愛,18000201,滝壺さんさえ潰してしまえば、<br>『アイテム』の活動はかなり制限できます。,1,13,
#,,,#アニメシーン画像より。あちこちに倒れている男たち。,
51,絹旗 最愛,18000201,滝壺さんがいるかいないで、『追跡する側』と<br>『追跡される側』がひっくり返るんです。,1,11,
52,絹旗 最愛,18000201,逆に言えば、私達は滝壺さんさえ無事なら<br>状況を巻き返せます。,1,10,
#,,,#アニメシーン画像より。滝壺に顔を向ける絹旗。,
53,絹旗 最愛,18000201,あなたは彼女を連れてしばらく……。,1,10,
#,,,#アニメシーン画像より。銃撃でよろめく絹旗。,
#,,,#アニメシーン画像より。向かいの高層ビル。,
#,,,#銃のコッキングを引く手。,
#,,,#砂皿、スコープを覗く。,
#,,,#アニメシーン画像より。二連射する砂皿。,,,
#,,,#アニメシーン画像より。二発、絹旗に着弾。,
#,,,#アニメシーン画像より。心配する滝壺。,
54,滝壺 理后,20000201,きぬはた……！,1,14,
#,,,#アニメシーン画像より。柱に身を隠す絹旗。,
55,絹旗 最愛,18000201,超平気です。,1,10,
56,滝壺 理后,20000201,私も戦う。,1,14,
#,,,#アニメシーン画像より。絹旗、ロケット弾を取り出す。,
57,絹旗 最愛,18000201,いいから。そこでじっとしてて。,1,10,
#,,,#アニメシーン画像より。絹旗、ロケット弾を構える。,
58,絹旗 最愛,18000201,そこッ！,1,13,
#,,,#アニメシーン画像より。発射されるロケット弾。,
#,,,#スコープ越し、迫るロケット弾。,
#,,,#！となる砂皿。,
59,砂皿 緻密,235000101,！？,1,10,
#,,,#アニメシーン画像より。爆炎に呑まれる砂皿。,
#,,,#アニメシーン画像より。コーナーを曲がる車。,
#,,,#運転する浜面。,
#,,,#窓辺からビルを見る絹旗。,
60,垣根 帝督,42000101,おーおー、すげぇな。,1,12,
#,,,#アニメシーン画像より。振り返る絹旗。
#入ってくる垣根。,
61,垣根 帝督,42000101,砂皿の野郎、磁力狙撃砲と一緒に<br>グチャグチャになってんじゃねえか？,1,12,
#,,,#アニメシーン画像より。ニッと笑む垣根。,
62,垣根 帝督,42000101,ま、急いで補充した人員だから<br>あの程度が限界って感じかもな。,1,11,
#,,,#アニメシーン画像より。緊迫する滝壺。,
63,絹旗 最愛,18000201,あなたの相手は私です。,1,13,
#,,,#アニメシーン画像より。見下す垣根。,
64,垣根 帝督,42000101,はん、『暗闇の五月計画』の残骸か。,1,11,
65,垣根 帝督,42000101,<ruby>一方通行</ruby>の演算パターンを参考に、各能力者の<br>『<ruby>自分だけの現実</ruby>』を最適化しようって内容だっけか？,1,10,
66,垣根 帝督,42000101,言っておくが、<ruby=レベル４>大能力</ruby>の『<ruby>窒素装甲</ruby>』じゃ、<br>俺の『<ruby>未元物質</ruby>』には勝てねえよ。,1,10,
#,,,#アニメシーン画像より。焦る絹旗。,
67,垣根 帝督,42000101,工夫次第でどうにかなるレベルを超えちまってる。,1,12,
#,,,#END,



,,,,,,


















































































