#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,メイン: とある魔術の禁書目録 チャプター32,
#,,,騎士と傭兵,,,
#,,,#【寂れた港】,
#,,,#アニメシーン画像より。回想・寂れた港。,
1,騎士Ａ,999000101,ウィリアム様、ご無事で！,1,10,
#,,,#アニメシーン画像より。ヴィリアンの肩を抱えるアックア。,
2,騎士Ｂ,999000101,さすがはウィリアム＝オルウェル。,1,10,
3,アックア,64000101,貴様達騎士のような国家の後ろ盾を持つ者の行動は、<br>その国を代表した意思表示になってしまう。,1,10,
4,アックア,64000101,そうした状態ではフランスとの国境を勝手に超えて<br>スペイン星教派へ手を出すことも難しいのであろう。,1,10,
5,アックア,64000101,だが私なら違う。ただの傭兵が個人的に暴走したとしても<br>それはイギリスの思惑とは一切関係がないはずである。,1,10,
#,,,#アニメシーン画像より。ナイトリーダー、アックアを殴る。,
#,,,#驚く一同。,
6,騎士団長,79000101,今のは私を騙して昏倒させて一人で行くなどと、<br>美味しい所を一人占めした分だ。,1,13,
7,騎士団長,79000101,まだだぞ。まだ私は、<br>お前がイギリスから出て行く分については殴っていない。,1,13,
#,,,#アニメシーン画像より。顔上げるナイトリーダー。,
8,騎士団長,79000101,だから確認を取っておこう。<br>お前は本当にイギリスを離れるつもりなのか？,1,13,
#,,,#アニメシーン画像より。唖然のヴィリアン。,
9,アックア,64000101,ああ、出ていく。,1,10,
#,,,#アニメシーン画像より。ナイトリーダー、殴る。,
#,,,#キッと睨むナイトリーダー。,
10,騎士団長,79000101,お前は傭兵の器では終わらない男だ。,1,10,
11,騎士団長,79000101,方々に手を回し、ようやくお前を『騎士』として<br>迎え入れようとしていたのにあっさりと蹴りやがって。,1,10,
12,騎士団長,79000101,何を目指す気だ。<br>誘いを蹴るからには、それなりの理由があるだろう。,1,10,
13,アックア,64000101,別に、特別な事をしようという訳ではない。<br>絶大な権限のある騎士と、信用はないが身軽な傭兵。,1,11,
14,アックア,64000101,どちらが欠けても駄目なのである。,1,10,
15,アックア,64000101,貴様も今回の騒動で分かったであろう。,1,10,
16,騎士団長,79000101,お前……。,1,14,
17,アックア,64000101,世界が動こうとしている。<br>そういう時こそ『組織』は暴走するものである。,1,10,
18,アックア,64000101,私は外から守る事にする。<br>だから貴様は内から守る事にしろ。,1,10,
19,アックア,64000101,そうすれば選択の幅が広がるはずである。仮に我々の<br>どちらかが暴走しても、止められる可能性も増えるのだ。,1,10,
20,騎士団長,79000101,これ以上議論するのは無駄か。,1,11,
#,,,#アニメシーン画像より。去っていくアックア。,
21,アックア,64000101,そうだ。,1,10,
22,アックア,64000101,ロンドンの郊外の職人に<ruby=エスカッシャン>盾の紋章</ruby>の注文を<br>出していたはずである。,1,10,
23,アックア,64000101,あれは廃棄しておいてくれ。物として残っていると、<br>一緒に未練まで残りそうであるからな。,1,10,
#,,,#アニメシーン画像より。ナイトリーダーの背中。,
24,騎士団長,79000101,……捨てるものか。,1,14,
#,,,#アニメシーン画像より。アックアの背中。,
25,騎士団長,79000101,捨てられるものか、ちくしょう……。,1,14,
#,,,#END,








































































































































































































