#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,とある科学の超電磁砲: 2章 チャプター1,
#,,,アルミと爆弾,
#,,,#【学園都市・路上Ａ】,
#,,,#アニメシーン画像より。晴天の学園都市。,
#,,,#賑わう大通り。,,,
#,,,#くまのぬいぐるみが落ちている。,
#,,,#ぬいぐるみ、急速に縮んでいき。,
#,,,#ぬいぐるみが爆発。,
#,,,#立ち上る煙。,
1,通行人Ａ,999000101,びっくりしたー！,1,10,
2,通行人Ｂ,999000101,なんだ、今の音？　花火か？,1,10,
#,,,#【公園・内部Ｂ】,
#,,,#アニメシーン画像より。公園、回る風車。,
#,,,#自販機から出てくるジュース。,
#,,,#自販機の前で話す御坂と黒子。,
3,御坂 美琴,4000101,また例の事件？,1,15,
4,白井 黒子,5000101,これで五件目ですの。例によって爆発そのものは<br>小規模で怪我人はなし。,1,14,
5,御坂 美琴,4000101,愉快犯だとしてもあんまり笑えないわよね……。<br>で、犯人の目星は？,1,10,
#,,,#アニメシーン画像より。答える黒子。,
6,白井 黒子,5000101,昨日、ようやく手がかりが掴めましたの。<br>お姉様、グラビトンってご存知ですか？,1,13,
#,,,#アニメシーン画像より。思案する御坂。,
7,御坂 美琴,4000101,グラビトンって重力子の事だっけ？,1,15,
8,白井 黒子,5000101,どのケースも爆発の直前に重力子の急激な加速が<br>衛星によって観測されていましたの。,1,10,
#,,,#アニメシーン画像より。缶のアルミ部分をつつく指。,
9,白井 黒子,5000101,アルミを基点に重力子の速度を爆発的に加速させ、<br>一気に周囲に撒き散らす……。,1,10,
10,白井 黒子,5000101,つまりアルミを爆弾に変えていた、という事ですわ。,1,10,
#,,,#アニメシーン画像より。黒子ナメ、御坂。,
11,御坂 美琴,4000101,でも、それって能力者の仕業って事でしょ？<br>だったら学園都市の<ruby>書庫</ruby>を検索すれば一発じゃない。,1,10,
12,御坂 美琴,4000101,全ての学生の能力データが登録されてるんだから。,1,10,
#,,,#アニメシーン画像より。モニターに文字。,
13,白井 黒子,5000101,もちろん検索しましたわ。<br>該当する能力は『<ruby=シンクロトロン>量子変速</ruby>』。,1,14,
#,,,#アニメシーン画像より。釧路のプロフィール。,
14,白井 黒子,5000101,それもアルミを爆弾として使えるほどの<br>能力者となると、<ruby>大能力者</ruby>の生徒一人だけ。,1,14,
15,御坂 美琴,4000101,だったらその人が犯人なんじゃ……。,1,15,
16,白井 黒子,5000101,ところがアリバイがありますの。その方、ずっと入院<br>されていて一連の事件を起こすのは不可能なんですのよ。,1,14,
#,,,#アニメシーン画像より。空を見上げる御坂。,
17,御坂 美琴,4000101,なるほど。それでどんづまりってわけか。,1,11,
18,白井 黒子,5000101,まさか<ruby>書庫</ruby>のデータに不備があるとも<br>思えませんし……。,1,14,
19,御坂 美琴,4000101,ひょっとして、まだ登録されてない<br>能力者がいる……とか？,1,15,
#,,,#アニメシーン画像より。面白がる御坂。,
20,御坂 美琴,4000101,ね、私も犯人探すの手伝ってあげようか。,1,12,
21,白井 黒子,5000101,結構ですの。,1,13,
#,,,#アニメシーン画像より。黒子、身を乗り出し。,
22,白井 黒子,5000101,お姉様？　今、『これってちょっと面白いかも、<br>相手次第じゃ腕試ししてやろうじゃない』,1,13,
23,白井 黒子,5000101,などと、お考えではありませんでした？,1,13,
#,,,#アニメシーン画像より。図星の御坂。,
24,御坂 美琴,4000101,そ、そんな事……。,1,15,
25,白井 黒子,5000101,とぼけてもダメですの。黒子はお見通しですの。,1,13,
#,,,#アニメシーン画像より。茶化す御坂ナメ、黒子。,
26,白井 黒子,5000101,まったく、いつも申し上げています通り、<br>お姉様はあくまで一般人。治安維持活動は……。,1,14,
27,御坂 美琴,4000101,『<ruby>風紀委員</ruby>に任せていただきたいんですの～』でしょ？<br>わかってるって。,1,11,
28,白井 黒子,5000101,いたずらな好奇心や興味本位で<ruby>風紀委員</ruby>が<br>務まると思ったら大間違いですの。,1,20,
#,,,#アニメシーン画像より。御坂、身を乗リ出す。,
29,御坂 美琴,4000101,だから！　そんなつもりじゃ……！,1,20,
30,白井 黒子,5000101,この機会に服装、その他の生活態度から<br>ご自身を見つめ直していただきますの！,1,13,
#,,,#アニメシーン画像より。黒子、指を立てて諭す。,
31,白井 黒子,5000101,そもそもお姉様には常盤台のエースとしての自覚が<br>些か以上に欠落していると黒子は常々憂いておりますの。,1,14,
#,,,#アニメシーン画像より。むぐぐ、となる御坂。,
32,白井 黒子,5000101,多少なりとも自覚がおありなら、きるぐまーを抱いて<br>寝るとか湯船にゲコ太を浮かべて悦に入るとか、,1,14,
#,,,#アニメシーン画像より。缶を握りつぶす手。,
33,白井 黒子,5000101,子供じみたご慣習はいい加減卒業すべきではないかと。,1,14,
#,,,#アニメシーン画像より。怒りで震える御坂。,
34,白井 黒子,5000101,まだありますの。あのパステル色彩の幼稚極まりない下着<br>やパジャマ、仮にも学園都市第三位の<ruby>超能力者</ruby>が――。,1,14,
35,御坂 美琴,4000101,ア、アンタは……。,1,21,
#,,,#アニメシーン画像より。ファミレス店内で叫ぶ御坂。,
36,御坂 美琴,4000101,アンタは私のママかーーーっ！！,1,13,
#,,,#END,




