#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,
#,,,とある科学の超電磁砲: 2章 チャプター14,
#,,,能力とちから,
#,,,#【学園都市・路上Ａ】,
#,,,#アニメシーン画像より。セブンスミスト、爆発する。,
#,,,#どよめく野次馬。,
#,,,#不安そうな佐天。,
#,,,#煙を出すセブンスミスト。,
1,通行人Ａ,999000101,例の連続爆破テロだって。,1,10,
2,通行人Ｂ,999000101,まだ中に人がいるみたいだぞ。,1,10,
#,,,#アニメシーン画像より。野次馬から介旅が抜け出る。,
#,,,#路地を歩く介旅。,
#,,,#介旅、笑い出す。,
3,介旅 初矢,170000101,（いいぞ、すごい！　素晴らしい！　徐々に強い力を<br>使いこなせるようになってきた……！）,1,12,
#,,,#アニメシーン画像より。路地の介旅。,
4,介旅 初矢,170000101,くくくっ、くくくく……！,1,12,
#,,,#アニメシーン画像より。介旅の後ろ、御坂顔出す。,
5,介旅 初矢,170000101,もうすぐだ！　あと少し数をこなせば、<br>無能な<ruby>風紀委員</ruby>もあの不良共も……！,1,12,
#,,,#アニメシーン画像より。御坂、介旅を蹴飛ばす。,
6,介旅 初矢,170000101,みんなまとめて吹き飛ば……ッ！？,1,15,
#,,,#アニメシーン画像より。空にゴミが舞う。,
#,,,#御坂、足元。,
#,,,#身体を起こす介旅。,
7,介旅 初矢,170000101,ぐっ……い、一体何が……？,1,16,
#,,,#アニメシーン画像より。見下ろす御坂。,
8,御坂 美琴,4000101,用件は言わなくてもわかるわよね、爆弾魔さん？,1,20,
#,,,#アニメシーン画像より。！となる介旅。,
#,,,#介旅、俯き否定。,
9,介旅 初矢,170000101,な、なんの事だか、僕にはさっぱり……。,1,12,
10,御坂 美琴,4000101,まぁ、確かに威力は大したもんよね。,1,11,
#,,,#アニメシーン画像より。叫ぶ介旅。,
11,御坂 美琴,4000101,でも残念。死傷者どころか誰一人、<br>かすり傷一つ負ってないわよ。,1,20,
12,介旅 初矢,170000101,そ、そんな馬鹿な！　僕の最大出力だぞ！？,1,13,
#,,,#アニメシーン画像より。御坂、見る。,
13,御坂 美琴,4000101,へぇ……？,1,12,
#,,,#アニメシーン画像より。介旅、視線外し。,
14,介旅 初矢,170000101,あっ……いや、外から見てもすごい爆発だったんで<br>中の人はとても助からないんじゃないかって……。,1,15,
#,,,#アニメシーン画像より。スプーンに伸びる手。,,,
#,,,#介旅、スプーンを振りかぶる。,
#,,,#スプーン、レールガンで消滅。,
#,,,#御坂、気力の渦の中。,
#,,,#帯電する手。,
#,,,#手ナメ、御坂。,
#,,,#起き上がる介旅。,
15,介旅 初矢,170000101,<ruby>超電磁砲</ruby>……くっ、はは。<br>今度は常盤台のエース様か。,1,12,
16,介旅 初矢,170000101,いつもこうだ。何をやっても力で<br>地面にねじ伏せられる……。,1,13,
#,,,#アニメシーン画像より。叫ぶ介旅。,
17,介旅 初矢,170000101,殺してやる……お前みたいなのが悪いんだよ！,1,13,
#,,,#アニメシーン画像より。御坂、後ろ姿。,
18,介旅 初矢,170000101,<ruby>風紀委員</ruby>だって同じだ！<br>力のあるやつはみんなそうだろうが！！,1,13,
19,御坂 美琴,4000101,……力、力って。,1,21,
#,,,#アニメシーン画像より。御坂、介旅の胸ぐらを掴む。,
#,,,#御坂、振りかぶる。,
20,御坂 美琴,4000101,歯を食いしばれぇ！,1,13,
#,,,#アニメシーン画像より。空。,,,
21,介旅 初矢,170000101,ぐはっ！？,1,16,
#,,,#アニメシーン画像より。落ちたＭＰ３プレーヤー。,
#,,,#殴った御坂ナメ、介旅。,
#,,,#御坂、去っていく。,
#,,,#呆然の介旅。,
22,？？？,999000101,殴られて当然ですわ。,1,20,
#,,,#アニメシーン画像より。介旅の横に黒子がいる。,
23,白井 黒子,5000102,あなたみたいに力を言い訳にする人は、<br>一番許せないタイプでしょうから。,1,20,
24,白井 黒子,5000102,ご存知かしら、常盤台の<ruby>超電磁砲</ruby>は<br>元々は単なる<ruby>低能力者</ruby>でした。,1,20,
#,,,#アニメシーン画像より。介旅、俯く。,
25,白井 黒子,5000102,並々ならぬ努力によって、<ruby>超能力者</ruby>と呼ばれる<br>力を得たんですの。,1,11,
#,,,#アニメシーン画像より。見下ろす黒子。,
26,白井 黒子,5000102,でも、たとえ<ruby>低能力者</ruby>だとしても、<br>お姉様はあなたの前に立ち塞がったでしょう。,1,11,
#,,,#アニメシーン画像より。介旅、ガクッと崩れる。,
#,,,#落ちているＭＰ３プレーヤー。,
#,,,#END,





















