#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,直感,,,,
#,,,#【研究所・研究室】,
#,,,#アニメシーン画像より。空中で体ひねり電撃出す御坂。<br>#プラズマ出す麦野。<br>#電撃、麦野の手前で曲がる。<br>#電撃通過。<br>#麦野ナメ、爆発。<br>#空中の御坂。,
1,御坂 美琴,4002601,（かわした！？　いや、電撃を強制的に曲げてる！？）,1,16,
#,,,#アニメシーン画像より。ビーム撃つ麦野。<br>#埃落ちる天井。<br>#陰から見てるフレンダ。,
2,フレンダ,19000101,（ふぇ～、派手ぇ～）,1,15,
#,,,#アニメシーン画像より。ケースから出る錠剤。<br>#錠剤噛む滝壺。<br>#ドクンとなる滝壺。,
3,滝壺 理后,20000101,うっ……！,1,13,
#,,,#アニメシーン画像より。前に出る滝壺。<br>#見る滝壺。<br>#煙から瓦礫が飛び出す。<br>#瓦礫を溶かすプラズマ。<br>#飛んで逃げる御坂。<br>#！となる御坂。<br>#俯瞰、滝壺。<br>#滝壺の目。<br>#ゾクッと来る御坂。,
4,御坂 美琴,4002601,！？,1,21,
#,,,#アニメシーン画像より。着地する御坂。,
5,御坂 美琴,4002601,（やばい！）,1,21,
#,,,#アニメシーン画像より。顔上げる御坂。,
6,御坂 美琴,4002601,（なんかわからないけど、<br>アイツからは危険な匂いがする……！）,1,21,
#,,,#アニメシーン画像より。柱の裏の制御盤。<br>#飛ぶ御坂。<br>#御坂、柱の裏に着地。<br>#制御盤に放電する手。<br>#パイプ伝って電撃が流れる。<br>#更に伸びる電撃。<br>#パルプが破裂。<br>#煙が麦野を飲み込む。<br>#煙の中の麦野。<br>#俯瞰、辺り見回す麦野。,
7,麦野 沈利,11000101,目くらましのつもり？　<br>こんなのじゃ、時間稼ぎにも……。,1,10,,
#,,,#アニメシーン画像より。煙の先に穴。<br>#大穴があいている。,
8,麦野 沈利,11000101,ちっ、逃げたか……。,1,16,,
#,,,#アニメシーン画像より。滝壺ナメ、麦野。,
9,麦野 沈利,11000101,滝壺！,1,13,,
10,滝壺 理后,20000101,うん。,1,11,,
#,,,#アニメシーン画像より。顔上げる滝壺。,
11,滝壺 理后,20000101,大丈夫。ターゲットのＡＩＭ拡散力場は記憶した。,1,10,,
#,,,#END,
