#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,手負いの獣,,,,
#,,,#【研究所・研究室】,
#,,,#アニメシーン画像より。壁を撃ち抜くビーム。<br>#ビーム撃った麦野。,
1,滝壺 理后,20000101,ターゲット、二〇メートル北西に移動。,1,10,,
2,麦野 沈利,11000101,なかなか当たらないわね。,1,10,ef_com_00100_002_006_00,
#,,,#アニメシーン画像より。思案中の麦野。,
3,麦野 沈利,11000101,（立体に動けるってだけじゃない。<br>私の攻撃を察知しているのかもしれないわね）,1,11,
4,麦野 沈利,11000101,（そんな事のできる能力者って……）,1,11,
#,,,#アニメシーン画像より。フレンダ、滝壺に。,
5,フレンダ,19000101,大丈夫？,1,14,ef_com_00100_002_002_00,
6,滝壺 理后,20000101,うん、平気……。,1,11,ef_com_00100_002_003_00,
#,,,#アニメシーン画像より。麦野、更に思案。,
7,麦野 沈利,11000101,（滝壺の『<ruby>能力追跡</ruby>』は便利だけど、能力を意図的に暴走<br>させる事で発動する無理筋の力……使用には限度がある）,1,11,,
#,,,#アニメシーン画像より。破壊された通路。<br>#通路進む御坂。,
8,麦野 沈利,11000101,（侵入者の移動距離は縮まってきている。<br>そろそろ限界なのは間違いない）,1,10,
#,,,#アニメシーン画像より。腰に手あてる麦野。,
9,麦野 沈利,11000101,（これ以上、滝壺を使うのは割に合わないか……）,1,10,
#,,,#アニメシーン画像より。巨大な扉への通路。,
10,麦野 沈利,11000101,（これだけ追い込まれてなお、逃げないのは無理を押して<br>でもここを破壊しなければならない事情があるという事）,1,10,
#,,,#アニメシーン画像より。扉の奥の部屋。,
11,麦野 沈利,11000101,（だったら目的地で待ち構えていれば……）,1,11,
#,,,#アニメシーン画像より。鋭い目つきの麦野。,
12,麦野 沈利,11000101,（ヤツは必ず現れる）,1,11,
#,,,#アニメシーン画像より。ボロボロの御坂。,
13,麦野 沈利,11000101,（相手は疲労困憊の上に冷静さを欠いた手負いの獣。<br>危険だが落ち着いて対処すれば後れを取る心配はない）,1,10,
#,,,#アニメシーン画像より。次の攻撃の準備をするフレンダら。,
14,麦野 沈利,11000101,（……が）,1,11,
#,,,#アニメシーン画像より。ククッと笑う麦野,
15,麦野 沈利,11000101,ふはははっ。<br>性に合わないんだよね、待ち伏せってさ。,1,12,,
#,,,#アニメシーン画像より。麦野、フレンダに。,
16,麦野 沈利,11000101,フレンダ！,1,13,,
#,,,#アニメシーン画像より。？となるフレンダ。,
17,フレンダ,19000101,へっ？,1,15,,
#,,,#END,
