#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,疑似能力,,,,
#,,,#【学園都市・競技場】,
#,,,#アニメシーン画像より。舞い上がるコイン。<br>#レールガンで吹き飛ぶロボら。<br>#構えている御坂。<br>#息を呑む桜井。,
1,桜井 純,209000101,すごい……。,1,15,
#,,,#アニメシーン画像より。叫ぶ有冨。,
2,有冨 春樹,206000101,う……ここまでは予定通りだろうが！<br>シナリオＢ７を発動。小佐古達も出させろ！,1,13,,
#,,,#アニメシーン画像より。第２会場、混戦。,
3,柳迫 碧美,163000107,Ａ、Ｂ班、もう少し頑張って！,1,16,,
#,,,#アニメシーン画像より。指示する柳迫。,
4,柳迫 碧美,163000107,アタッカー役の能力者はもう一度左翼から……！？,1,13,,
#,,,#アニメシーン画像より。吹っ飛んでいくロボ。,
5,婚后 光子,9000101,せいっ！！,1,13,
#,,,#アニメシーン画像より。構えている婚后。,
6,婚后 光子,9000101,さぁ、お次は……。,1,11,
7,湾内 絹保,53000101,どうしましょう！<br>他の所に繋がりません！,1,14,
#,,,#アニメシーン画像より。インカムの黒子。,
8,白井 黒子,5000101,通信妨害！？,1,16,
#,,,#アニメシーン画像より。第２会場の固法。,
9,固法 美偉,35000801,やっぱりきたか！,1,13,
#,,,#アニメシーン画像より。モバイルいじる初春。,
10,初春 飾利,36000101,ど、どうしましょう！,1,14,
#,,,#アニメシーン画像より。慌てる初春。,
11,初春 飾利,36000101,私の警備ロボへの指令も……。,1,14,
#,,,#アニメシーン画像より。駐車場の奥にロボ。,
12,佐天 涙子,37000101,ほんと、どうしよう……。,1,16,
13,初春 飾利,36000101,ふえっ！？,1,15,
#,,,#アニメシーン画像より。ロボ。,
14,小佐古 俊一,207000101,「だから言ったんだよ。<br>いくら僕らが開発したとはいえ」,1,11,,
#,,,#アニメシーン画像より。コックピットの小佐古。,
15,小佐古 俊一,207000101,「能力任せのロボットじゃ、この程度だって」,1,10,,
#,,,#アニメシーン画像より。ロボ二体。<br>#コックピットの斑目。,
16,斑目 健治,210000101,「本当は『<ruby>超電磁砲</ruby>』を相手にしたかったんだけど」,1,10,,
#,,,#アニメシーン画像より。ガトリング発射。<br>#発進するロボ。,,,,
17,斑目 健治,210000101,「ま、しょうがないねっ！」,1,13,,
#,,,#アニメシーン画像より。逃げ惑うジャッジメント。<br>#舞うロボの頭。<br>#倒れたロボ。<br>#残骸と御坂。,
18,御坂 美琴,4000101,ハァ、ハァ、ハァ……。,1,16,
#,,,#アニメシーン画像より。囲まれている御坂。<br>#御坂、息整える。<br>#ロボ、前へ。<br>#御坂、前へ。<br>#ロボに向かう御坂。<br>#迫る両者。<br>#御坂、頭に電気が走る。<br>#ブレーキかける足。<br>#御坂、ビームを避ける。<br>#御坂、ハッと向く。<br>#立つ御坂、インする戦車の足。<br>#御坂ナメ、多脚戦車。,
19,有冨 春樹,206000101,「随分、お疲れのようだね『<ruby>超電磁砲</ruby>』」,1,10,,
#,,,#アニメシーン画像より。ビジョンの有冨。,
20,有冨 春樹,206000101,「だが、僕らのもてなしはここからが本番だよ」,1,12,,
#,,,#アニメシーン画像より。！となる御坂。<br>#並び立つ戦車。,
21,有冨 春樹,206000101,「これは学園都市第四位の能力を解析して<br>作った武器を装備している」,1,11,,
#,,,#アニメシーン画像より。発光するカプセル。,
22,有冨 春樹,206000101,「言うなれば、疑似『<ruby>原子崩し</ruby>』かな」,1,10,,
#,,,#アニメシーン画像より。砲からビーム発生。,
23,有冨 春樹,206000101,「とくと味わってくれたまえ」,1,12,,
#,,,#END,
