#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,魔術サイドストーリー Chapter12,
#,,,真実はどこにある,,,,
#,,,#【学園都市・建設途中のビル・夜】,
1,サーシャ,34000101,（頭上から炎剣による突貫、<br>前方、右方、左方、後方からは爆炎……）,900340023,16,ef_com_00100_002_006_00,
2,サーシャ,34000101,（計五方向からの攻撃、どう逃れれば……。<br>そうです、この手法ならっ！！）,900340004,10,
3,ステイル,24000101,蒸気による目眩ましか、姑息なことをするね。<br>でも、それだけでこの包囲を抜けられるはずが――,900240009,12,
4,ステイル,24000101,――消えた、だと？<br>彼女の動線は全て塞いでおいたはずだが……。,900240030,15,
5,ステイル,24000101,この穴は……そうか、本命は地中の水道管か！<br>地下の水源を利用して脱出口を作ったのか……っ！,900240024,13,ef_com_00100_002_001_00,
6,ローラ,26000101,「……ステイル、ステイル？<br>もし、聞こえていたら返事をせしめて」,900260029,10,
7,ステイル,24000101,さっきから懐で何やら騒がしいと思ったら、<br>あなたでしたか<ruby>最大主教</ruby>。,900240025,10,,
8,ローラ,26000101,「その態度はいけなしなのよステイル！<br>せっかく学園都市から情報を受けてきたというのに！」,900260025,13,
9,ステイル,24000101,それを早く言ってください。で、学園都市側はなんと？,900240018,10,
10,ローラ,26000101,「正式に学園都市がロシア成教と結びし協定に基づきて、<br>かのサーシャ＝クロイツェフは動いているそうよ」,900260006,11,
11,ステイル,24000101,……そうですか。,900240004,10,
12,ローラ,26000101,「む、その一瞬の沈黙は何事なの？<br>もしや、既に殺傷済みなどとは言わぬわよね！？」,900260024,13,
13,ステイル,24000101,ええ。殺してはいません。おそらくですが。,900240005,11,
14,ローラ,26000101,「おそらくでは困りたるの！<br>手加減をして臨むよう命じたるはずでしょう！」,900260029,16,
15,ローラ,26000101,「学園都市は英国、つまりステイルの介入を黙認する。<br>との立場であるとのことでありけるけど……」,0,11,
16,ステイル,24000101,黙認？　なぜ黙認なのです？<br>学園都市はロシア成教に協力しているのでは？,900240017,15,ef_com_00100_002_002_00,
17,ローラ,26000101,「協力、という強き意思は学園都市にはないの。<br>ただ、ロシア成教の要求を突っぱねるメリットもなし」,900260007,10,
18,ローラ,26000101,「要するに、好きにしろ、と暗に言っておるのよ。<br>どうなっても知らんがね、という枕つきで」,900260005,10,
19,ステイル,24000101,学園都市にはロシア成教の協力を受けるメリットはない。<br>けれど拒否することで生じる軋轢も無視できない、か。,900240026,11,
20,ローラ,26000101,「そういうことになりけるのでしょうね」,900260006,12,
21,ローラ,26000101,「こちらでもロシア成教側と交渉を試みてみるけど、<br>期待はせぬこと。対抗策は未だ思いつきていないの」,0,12,
22,ローラ,26000101,「とかく、サーシャ＝クロイツェフは殺さぬように。<br>くれぐれも注意して闘いてね。それでは、これにて」,900260029,11,
23,ステイル,24000101,強引に通信を切るものだ。<br>しかし、妙な空気が漂い始めたね。,900240025,13,ef_com_00100_002_005_00,
24,ステイル,24000101,<ruby>最大主教</ruby>はサーシャが僕に殺されることを危惧していた。<br>それも執拗なまでに。これには何か裏がありそうだ。,0,11,,
25,ステイル,24000101,かの女狐がロシア成教への対抗策を持っていない？<br>いつだって『どうにかしてきた』あの女が？,0,16,ef_com_00100_002_006_00,
26,ステイル,24000101,……もう一度、<br>前提から全てを疑ってみるべきかもしれないな。,900240024,11,

