#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,とある高校 Chapter8,
#,,,模倣で学ぶ,,,,
#,,,#【上条の学校・教室・昼】,
1,吹寄 制理,8000101,みんな授業始まるから、席につきなさい。<br>ほら、さっさとする！,900080024,13,
2,姫神 秋沙,23000101,なるほどなるほど。,900230003,10,ef_com_00100_002_001_00,
3,吹寄 制理,8000101,…………。,,11,
4,吹寄 制理,8000101,こほんっ！　上条！　今日の日直はあなたでしょ？<br>黒板がまだ消されてないみたいだけど？,900080028,10,
5,上条 当麻,1000101,あ、悪い、今やる。,900010005,10,
6,姫神 秋沙,23000101,ふむふむ……。,900230004,10,ef_com_00100_002_001_00,
7,吹寄 制理,8000101,……………………。,,11,
8,吹寄 制理,8000101,あの、さっきから何をメモしてるのかしら？,900080029,14,ef_com_00100_002_002_00,
9,姫神 秋沙,23000101,研究。,900230006,10,
10,吹寄 制理,8000101,だから何の！？,900080008,15,ef_com_00100_002_003_00,
11,姫神 秋沙,23000101,個性。,900230006,10,
12,姫神 秋沙,23000101,キャラが被るから。そのまま参考にはできないけど。<br>今の私には。それでも。強いキャラが必要。,900230002,13,ef_com_00100_002_007_00,
13,吹寄 制理,8000101,ま、まだ諦めて無かったのね……。,900080015,15,ef_com_00100_002_004_00,
14,姫神 秋沙,23000101,どんなことでも。最初の学習は模倣から始まる。,900230006,10,
15,姫神 秋沙,23000101,人格形成も。親の真似をすることで。<br>だんだんとキャラが後から育っていく。,,11,
16,吹寄 制理,8000101,……つまり？,900080004,14,ef_com_00100_002_002_00,
17,姫神 秋沙,23000101,今日はキャラ被りを覚悟で。<br>一日吹寄さんの真似をしてみる！,900230006,10,ef_com_00100_002_007_00,
#,,,#【上条の学校・廊下・昼】,
18,吹寄 制理,8000101,上条 当麻！　まただらしない格好で……。<br>ボタンはしっかり上まで止めなさい！,900080018,13,ef_com_00100_002_005_00,
19,上条 当麻,1000101,へぇ～い、へぇい。,900010003,11,
20,吹寄 制理,8000101,返事ははい！,900080021,13,
21,上条 当麻,1000101,はい！,900010005,15,ef_com_00100_002_003_00,
22,姫神 秋沙,23000101,（よし。私も……）,,10,
23,姫神 秋沙,23000101,返事をしたら。さっさと直す！<br>早くしなさい！,900230028,13,
24,上条 当麻,1000101,う……姫神の模倣スキル高いな……。<br>やっぱり吹寄ほど圧はないが、地味にうっとうしい……。,900010022,21,ef_com_00100_002_003_00,
25,姫神 秋沙,23000101,（む。地味……）,900230023,14,
26,上条 当麻,1000101,悪いけどもう帰るな。<br>今日はスーパーで肉の特売があるんだ。,900010013,11,
27,吹寄 制理,8000101,待ちなさい！<br>直してからにしなさいよ！,900080008,13,ef_com_00100_002_005_00,
28,上条 当麻,1000101,ええ……スーパーにドレスコードはないと思うし……。,900010008,21,ef_com_00100_002_004_00,
29,吹寄 制理,8000101,学校の評判が下がるって言ってるのよ！,900080015,13,ef_com_00100_002_005_00,
30,吹寄 制理,8000101,ほら、そこに直りなさい。<br>ボタンをとめてあげるわ。,,10,ef_com_00100_002_001_00,
31,上条 当麻,1000101,え！？　いや、いいって……。,900010007,15,
32,姫神 秋沙,23000101,上条、言う通りにしなさい！<br>私も直してあげる。いや。あげるわ。,900230029,13,
33,上条 当麻,1000101,ボタン直すのにふたりもいらないだろ！？,900010008,15,ef_com_00100_002_003_00,
34,姫神 秋沙,23000101,いいから。早く！,900230021,13,
35,上条 当麻,1000101,ふ、不幸だー！,900010023,21,ef_com_00100_002_006_00,
#,,,#END,
