#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,とある高校 Chapter9,
#,,,最強ドジっ子先生！,,,,
#,,,#【上条の学校・教室・昼】,
1,上条 当麻,1000101,ふあぁ……眠い～。,900010015,11,
2,姫神 秋沙,23000101,あ。,900230001,10,ef_com_00100_002_001_00,
3,上条 当麻,1000101,あ、姫神さん、おはようございます……。,900010001,10,
4,姫神 秋沙,23000101,どうして。敬語？,900230028,15,ef_com_00100_002_002_00,
5,上条 当麻,1000101,だって、今日も吹寄の真似してるんじゃ……。,900010007,10,ef_com_00100_002_004_00,
6,姫神 秋沙,23000101,今日はしない。昨日だけでも。<br>委員長にはいろいろと学ばせてもらったから。,900230007,10,
7,姫神 秋沙,23000101,おでこバットとか。,900230002,11,
8,上条 当麻,1000101,いや、おでこバットは<br>マスターする必要なかったのでは？,900010018,21,ef_com_00100_002_003_00,
9,姫神 秋沙,23000101,でも。師匠……土御門くんの義妹さんは。<br>戦闘能力も兼ね備えていたし。,900230008,10,
10,土御門 元春,3000101,そりゃあ、舞夏はハイブリッド超完璧美人メイド<br>だからにゃ～。,900030005,17,ef_com_00100_002_000_00,
11,青髪ピアス,48000101,カミやん、姫神ちゃん、おはようさん。,900480001,12,ef_com_00100_002_001_00,
12,上条 当麻,1000101,うおっ、土御門。青髪ピアス。,900010030,15,ef_com_00100_002_003_00,
13,青髪ピアス,48000101,今、話してたんやけどな。<br>違う角度からアプローチしたほうがええと思うんよ。,900480004,10,
14,上条 当麻,1000101,何の話だ？,900010029,10,ef_com_00100_002_002_00,
15,青髪ピアス,48000101,姫神ちゃんのキャラに決まっとるやん。,900480006,11,
16,土御門 元春,3000101,今までオレたちは、姫神を自ら輝く委員長キャラや<br>ハイブリッドメイドにしようとした。,900030029,11,ef_com_00100_002_001_00,
17,土御門 元春,3000101,だが、それは失敗に終わった……。,900030008,14,
18,土御門 元春,3000101,ので！　これからは、グイグイいくキャラではなく、<br>グイグイこられるキャラを目指すんだにゃ！,,12,ef_com_00100_002_000_00,
19,姫神 秋沙,23000101,グイグイこられるタイプ……。<br>具体的には？,900230003,15,ef_com_00100_002_002_00,
20,土御門 元春,3000101,つい守ってあげたくなる儚い可憐キャラや、<br>ドジっ子キャラぜよ！,900030005,17,ef_com_00100_002_007_00,
21,青髪ピアス,48000101,せやけど、前者はまず胸が大きくないと難しい。,900480008,14,ef_com_00100_002_004_00,
22,姫神 秋沙,23000101,どうして。胸の大きさが関係するの。,900230030,15,
23,青髪ピアス,48000101,『儚く可憐』というのは『影が薄い』と紙一重やからや！<br>つまり、ほぼ今の姫神ちゃんと変わらん。,900480004,14,
24,青髪ピアス,48000101,胸という圧倒的武器があればこそ、<br>つい守ってあげたくなるほど感情を揺り動かされるねん。,900480011,17,ef_com_00100_002_007_00,
25,姫神 秋沙,23000101,守ってあげたくなるのは。胸だけか。,900230016,13,ef_com_00100_002_005_00,
26,青髪ピアス,48000101,揺り動かされる、だけにな。,900480002,12,ef_com_00100_002_000_00,
27,姫神 秋沙,23000101,……今こそ。おでこバットを炸裂させる時――,900230021,13,ef_com_00100_002_005_00,
28,青髪ピアス,48000101,ちょっ、ごめんごめんて！<br>今のは冗談や！　シャレです、シャレ！,900480013,13,ef_com_00100_002_003_00,
29,上条 当麻,1000101,さすがに今のはフォローしてやれねえな。,900010015,21,ef_com_00100_002_004_00,
30,土御門 元春,3000101,だにゃ～。完全に青髪ピアスが悪いぜよ。,900030006,14,ef_com_00100_002_004_00,
31,月詠 小萌,6000101,よいしょ、よいしょ……。<br>はぁ～荷物がいっぱいです～。,900060023,14,
32,月詠 小萌,6000101,ちょ、ちょっと誰か－？<br>荷物を持つのを助けてくれません――うわぁ！？,900060017,16,ef_com_00100_002_003_00,
33,上条 当麻,1000101,せ、先生……っ！　大丈夫ですか！？,900010019,15,ef_com_00100_002_001_00,
34,月詠 小萌,6000101,は、はい……なんとか……。,900060015,22,
35,姫神 秋沙,23000101,……。もしかして。これが。,900230011,15,ef_com_00100_002_001_00,
36,青髪ピアス,48000101,ああ。これが天下に名高いドジっ子キャラや！！,900480010,12,ef_com_00100_002_000_00,
#,,,#END,
