#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,とある高校 Chapter11,
#,,,小萌先生からの宿題,,,,
#,,,#【上条の学校・全景・昼】,
1,月詠 小萌,6000101,まさか一年生の生徒二人組が、<br>単純な善意でしてくれたことだったなんて……。,900060006,10,
2,月詠 小萌,6000101,恥ずかしいからと記事にはしないよう断られましたが、<br>私は今とっても満足なのですよ！,900060010,12,ef_com_00100_002_000_00,
3,姫神 秋沙,23000101,いいの？<br>また一から書くことを探さないといけないのに。,900230028,10,
4,月詠 小萌,6000101,この誇らしい気持ちには代えられませんよ！<br>先生は良い子がここで育ってくれて嬉しいのです！,900060002,12,ef_com_00100_002_000_00,
5,姫神 秋沙,23000101,すごい。ちゃんとした大人みたい。,900230010,15,
6,月詠 小萌,6000101,ですから、元からちゃんとした大人なのですよ！！,900060024,13,ef_com_00100_002_005_00,
7,姫神 秋沙,23000101,本当にちゃんとした大人は。<br>部屋に空のビール缶をたくさん転がしたりしない。,900230025,11,
8,月詠 小萌,6000101,確かに姫神ちゃんには、<br>一緒に暮らしてた時に迷惑かけたかもですけどーっ！,900060017,17,ef_com_00100_002_003_00,
9,姫神 秋沙,23000101,おかげで。あの黒くてピカピカした虫と。<br>何度も戦う羽目に。思い出したら。腹がたってきた。,900230022,13,ef_com_00100_002_006_00,
10,月詠 小萌,6000101,ひ、姫神ちゃん、たまにはお掃除に来てくれませんか？<br>私、まだあのＧさんがちょっと怖くてですね……。,900060029,17,ef_com_00100_002_003_00,
11,姫神 秋沙,23000101,絶対いや。そんな甘えた目で見ても駄目。,900230018,13,
12,月詠 小萌,6000101,そんなーっ！　お願いですよー！！,900060018,14,
13,姫神 秋沙,23000101,ふふっ……。,900230002,12,
14,月詠 小萌,6000101,……ねえ、姫神ちゃん。<br>さっきのふたりは素敵な子達でしたね。,900060029,10,
15,姫神 秋沙,23000101,え、う、うん。,900230006,15,
16,月詠 小萌,6000101,でも、花壇のことを学校で知る人は誰もいません。,900060008,11,
17,姫神 秋沙,23000101,うん。もったいないと思う。<br>恥ずかしがらなくてもいいのに。,900230006,10,
18,月詠 小萌,6000101,あの子達は、恥ずかしがっているわけではないと<br>思いますよ？,900060007,11,
19,姫神 秋沙,23000101,じゃあ。どうして。花壇のことを言わないの？,900230004,10,ef_com_00100_002_002_00,
20,月詠 小萌,6000101,さて、どうしてでしょう。<br>姫神ちゃんの今日の宿題なのです。,900060002,12,
21,姫神 秋沙,23000101,……わかった。,900230005,10,
#,,,#【上条の学校・教室・昼】,
22,姫神 秋沙,23000101,……はぁ。,900230015,14,ef_com_00100_002_006_00,
23,上条 当麻,1000101,あいつ、今日ずっと小萌先生を見てるよな。,900010004,10,
24,土御門 元春,3000101,あれは……恋かにゃ～？,900030011,12,ef_com_00100_002_007_00,
25,青髪ピアス,48000101,百合！？　百合やね！？<br>しかも教師と生徒の禁断の関係！！,900480011,17,ef_com_00100_002_007_00,
26,姫神 秋沙,23000101,変な噂を流さないでほしい。,900230026,13,
27,上条 当麻,1000101,お、聞こえてたのか。<br>いやぁ、何かぼーっとしてること多いなってさ。,900010001,21,ef_com_00100_002_003_00,
28,姫神 秋沙,23000101,ちょっと。考えてるだけ。,900230006,11,
29,土御門 元春,3000101,小萌先生のことをかにゃー？,900030004,12,
30,姫神 秋沙,23000101,そう。,900230006,10,
31,姫神 秋沙,23000101,（先生からの宿題と。ドジっ子キャラを）,0,11,
#,,,#END,
