#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,常盤台中学 Chapter2,
#,,,助力と容赦はいらない,,,,
#,,,#【常盤台女子寮・御坂 美琴の部屋・夜】,
1,白井 黒子,5000101,お姉様～！<br>本当に<ruby>風紀委員</ruby>には通報しないんですの？,900050029,10,ef_com_00100_002_002_00,
2,御坂 美琴,4000102,しないって言ってるでしょ？<br>でも思ったより厄介な相手かもね……,900040008,10,
3,白井 黒子,5000101,そうですのよ。ウチのセキュリティーを<br>破ってくるなんて厄介な相手ですの！,900050006,22,ef_com_00100_002_001_00,
4,御坂 美琴,4000102,そうよね、破らなければいけないのは<br>窓だけじゃないもの……,900040005,10,
5,白井 黒子,5000101,赤外線、重量センサー、監視カメラはもちろん。<br>ウチの寮の警備は厳重ですわ、だからこそ――,900050008,13,
6,御坂 美琴,4000102,――意外と歯ごたえがありそうじゃない。<br>下着泥棒ってところがしょうもないけど。,900040009,11,ef_com_00100_002_001_00,
7,白井 黒子,5000101,――お姉様といえども、ここは専門家である<br><ruby>風紀委員</ruby>を頼ってはどうかと言ってますの！,900050008,10,,
8,御坂 美琴,4000102,しつこいわねえ、恥ずかしいからイヤよ。,900040008,21,ef_com_00100_002_005_00,
9,御坂 美琴,4000102,考えなしに言ってるわけじゃないしね。<br>こういうのは犯人を自分で何とかしないと。,0,10,
10,御坂 美琴,4000102,似たようなヤツらがワラワラ湧いてくるもんよ。<br>そうならないように、徹底的に叩いとかないと。,900040005,22,
11,白井 黒子,5000101,お姉様ったら、<br>バイオレンスですわ……。,900050015,14,
12,白井 黒子,5000101,せめて黒子にお手伝いさせてくださいませ。,0,10,ef_com_00100_002_003_00,
13,御坂 美琴,4000102,……容疑者と犯人捜し？,900040018,20,
14,白井 黒子,5000101,だ、だから違いますのよー！！,900050027,14,
15,御坂 美琴,4000102,ま、それは分かってるわよ。<br>でもアンタも疑われることは慎みなさい。,900040015,10,
16,白井 黒子,5000101,むぉん……。,900050027,14,ef_com_00100_002_004_00,
17,白井 黒子,5000101,でもですねえ、お姉様。<br>最近<ruby=スキルアウト>不良</ruby>共が活発化してますの。,0,10,,
18,白井 黒子,5000101,<ruby>学舎の園</ruby>でも、不審者が出たそうですし……。,900050018,14,,
19,御坂 美琴,4000102,へえ、そいつら怪しいわね。<br>ちょっと行って、ぶっ飛ばしてこようかしら。,900040004,10,
20,白井 黒子,5000101,お姉様！　黒子は真剣に言ってますのよ！,900050021,20,
21,白井 黒子,5000101,犯人がどのような人物だか分かってますの？,900050004,10,
22,御坂 美琴,4000102,そうねえ、能力者の複数犯だと思うわ。,900040005,22,
23,御坂 美琴,4000102,複数の能力の組み合わせで<br>セキュリティを突破したのね。,900040006,10,
24,御坂 美琴,4000102,<ruby>超能力者</ruby>をからかう愉快犯か。<br>もしくは、私を敵視する派閥のやつらか……。,0,21,ef_com_00100_002_006_00,
25,白井 黒子,5000101,そんな生易しいものではありませんの！,900050008,13,
26,御坂 美琴,4000102,……どういうこと？<br>アンタ、ひょっとして何か知ってるんじゃ……。,900040029,10,
27,白井 黒子,5000101,黒子には分かりますの！！,900050006,20,ef_com_00100_002_001_00,
28,白井 黒子,5000101,――きっと犯人はお姉様への<br>愛に狂ったド変態野郎ですわ！！,900050023,20,
29,御坂 美琴,4000102,…………。,900040015,11,ef_com_00100_002_004_00,
30,白井 黒子,5000101,お姉様は自分の魅力に無頓着過ぎますの！<br>その輝きは海を超え山を超え……。,900050010,12,
31,白井 黒子,5000101,愚か者のどこぞの変態野郎が、<br>その毒牙を下着に向けたに違いありませんわ！,900050023,20,
32,御坂 美琴,4000102,……アンタがそれを言う？,900040015,10,
33,白井 黒子,5000101,黒子は変態ではありません！　純愛ですのよ！,900050011,12,ef_com_00100_002_000_00,
34,御坂 美琴,4000102,やっぱ容疑者候補だわ、アンタ。<br>……<ruby>風紀委員</ruby>に引き渡そうかしら。,900040006,21,,
35,白井 黒子,5000101,――そんなぁっ！？,900050027,17,ef_com_00100_002_003_00,
#,,,#END,
