#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,常盤台中学 Chapter4,
#,,,容疑者発見？,,,,
#,,,#【常盤台女子寮　御坂美琴の部屋（昼）】,
1,白井 黒子,5000102,きいぃぃぃぃぃぃ～っ！！<br>なんにも見つかりませんの～っ！！,900050025,13,ef_com_00100_002_005_00,
2,白井 黒子,5000102,お姉様の毛髪さえロクに落ちていませんでしたわ！<br>となると、侵入経路の窓の外を調べるしか……。,900050016,14,
3,白井 黒子,5000102,む、よく見れば窓の下の植え込みが荒れている？<br>侵入の形跡かもしれません！　行って見てみましょう。,900050004,15,ef_com_00100_002_001_00,
#,,,#【常盤台女子寮　全景（昼）】,
4,婚后 光子,9000101,はぁ。わたくしは一体どうすれば……。,900090015,14,ef_com_00100_002_006_00,
5,白井 黒子,5000102,（あそこにいるのは……婚后光子？<br>植え込みの近くで何をしているのでしょう？）,900050004,22,ef_com_00100_002_002_00,
6,白井 黒子,5000102,もし、少しいいですか？,900050028,10,
7,婚后 光子,9000101,ひゃっ！？　し、白井さん！？,900090017,15,ef_com_00100_002_003_00,
8,白井 黒子,5000102,こんなところでボ～ッとして。<br>何を昼間からトリップなさってるんですの？,900050018,11,ef_com_00100_002_002_00,
9,婚后 光子,9000101,ボ～ッとなどしていません！<br>人聞きの悪いことを仰らないでください！,900090021,13,
10,白井 黒子,5000102,それで？　ウチの寮に何かご用でも？,900050024,10,
11,婚后 光子,9000101,そんなこと、あなたに言う必要がありまして？,900090018,10,
12,白井 黒子,5000102,あいにく、それがあるんですのよ。<br>今のわたくしには目に映る誰もが疑わしいのです。,900050008,20,ef_com_00100_002_001_00,
13,婚后 光子,9000101,はあ？<br>ええと、それはどういう意味でしょう？,900090004,15,ef_com_00100_002_002_00,
14,白井 黒子,5000102,（ここで事情を明かすわけにはいきませんわね。<br>お姉様の名誉がかかっていますし。）,900050004,22,
15,白井 黒子,5000102,今週はわたくしの恋の障害足り得る人間をあぶり出し、<br>一人ずつ駆除していこう週間なんですの！,900050021,21,ef_com_00100_002_007_00,
16,婚后 光子,9000101,ま、また訳のわからないことを……。<br>わたくしに解るように言っていただけます？,900090015,14,ef_com_00100_002_004_00,
17,白井 黒子,5000102,解っていただかなくて結構。<br>時にあなた、現在好きな方はいらっしゃいますの？,900050003,11,
18,婚后 光子,9000101,ひょえっ！？　いきなり何を！？,900090030,15,ef_com_00100_002_003_00,
19,白井 黒子,5000102,（お姉様のお召し物を奪った人物は、<br>狂った愛情を持てあました精神異常者のはず……。）,900050002,22,
20,白井 黒子,5000102,（でしたら。この質問にどう反応するか。<br>それも重要な手がかりになるはずですの！！）,,22,
21,婚后 光子,9000101,わ、わたくしにはその、色恋の類は早いかなと……。<br>えっと、ま、まだ中学生ですし……？,900090017,17,
22,白井 黒子,5000102,はえー。そうですの～？<br>そういう感じですのね～？,900050005,15,
23,婚后 光子,9000101,何なのですその反応は！？<br>真面目に答えて損しましたわ！！,900090025,13,ef_com_00100_002_005_00,
24,白井 黒子,5000102,だって、そこまで赤面されると反応に困りますし。<br>では、憧れている方は？,900050003,12,
25,婚后 光子,9000101,い、いません！,900090030,15,
26,白井 黒子,5000102,誤魔化すのはおやめなさい！<br>常盤台中学には御坂美琴お姉様がいるでしょう！,900050008,13,
27,白井 黒子,5000102,お姉様と肩を並べて学んでいるというのに、<br>尊敬の念を抱かないなんて、それでも人間ですか！？,900050007,20,ef_com_00100_002_005_00,
28,婚后 光子,9000101,御坂、さん……。,900090015,14,ef_com_00100_002_006_00,
29,白井 黒子,5000102,まーたボ～ッとして。<br>もしもし？　聞いてらっしゃいますの？,900050029,14,
30,婚后 光子,9000101,で、ですからボ～ッとなどしていません！<br>確かに御坂さんは立派な方だと、わたくしも思いますが。,900090008,10,ef_com_00100_002_001_00,
31,白井 黒子,5000102,む、ようやく素直になったようで結構ですの。<br>ですが、あなたなんかにお姉様は渡しませんからね？,900050004,11,
32,婚后 光子,9000101,ちょっと、さっきから何の話なのです！？<br>そろそろ堪忍袋の緒が切れましてよ！！,900090024,13,ef_com_00100_002_005_00,
33,白井 黒子,5000102,はあ。時間を無駄にしたみたいですの。<br>じゃ、もう帰っていいですわよ。,900050015,14,ef_com_00100_002_004_00,
34,婚后 光子,9000101,聞くだけ聞いてその態度とは何たる狼藉！！<br>言われずとも帰りますわ！　ふん！,900090021,13,
35,白井 黒子,5000102,（……と、ここでお別れと見せかけて、<br>さっそく尾行開始ですの。）,900050002,22,
36,白井 黒子,5000102,（話している途中、何度かわたくしたちの部屋の方向と、<br>荒れた植え込みを見てらっしゃいましたし。）,,22,
37,白井 黒子,5000102,（婚后光子自身に犯行動機はなさそうですが、<br>何か事件と関係あるに間違いないですわ！）,,20,
#,,,#END,

