#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,常盤台中学 Chapter8,
#,,,なぜわたくしの下着が！？,,,,
#,,,#【学び舎の園　路上・夕】,
1,白井 黒子,5000102,待ちなさい婚后光子！！<br>このわたくしから逃れられるとでも！？,900050025,20,
2,婚后 光子,9000101,ひい、ひい！　で、ですから！<br>なぜわたくしがっ、追われなければならないのですっ！,900090022,15,ef_com_00100_002_003_00,
3,白井 黒子,5000102,その理由はご自分がよく知っているでしょう！！,900050003,13,
4,白井 黒子,5000102,その歳で色に狂い、犯罪に手を出すなんて、<br>恥ずかしいとは思わないのですか！,900050020,20,ef_com_00100_002_005_00,
5,婚后 光子,9000101,い、色に狂うですって！？<br>わたくしをそんなふしだらな女だとお思いなのですか！？,900090030,17,ef_com_00100_002_003_00,
6,白井 黒子,5000102,そうです！<br>先程もお姉様と暗がりでイチャコラと……。,900050018,17,
7,白井 黒子,5000102,思い出すだけでハラワタが大沸騰ですの！！<br>きしゃああああああっ！！,900050026,21,ef_com_00100_002_005_00,
8,婚后 光子,9000101,誤解ですわ！　わたくしはただ御坂さんに……！！,900090025,13,ef_com_00100_002_003_00,
9,湾内 絹保,53000101,あら、婚后さん、ごきげんよう。<br>このようなところで走られて、何かございまして？,900530001,10,ef_com_00100_002_001_00,
10,泡浮 万彬,55000101,ごきげんよう。<br>ずいぶんと汗をかいていらっしゃいますが……。,900550001,10,
11,婚后 光子,9000101,あら、お二人ともごきげんよう。<br>などとのんびり挨拶している場合ではありませんわ！,900090001,10,
12,婚后 光子,9000101,今のわたくしは、絶賛逃亡中の身なのです！<br>どうかお助けを……！,900090029,16,ef_com_00100_002_003_00,
13,白井 黒子,5000102,婚后光子！　そろそろ往生なさったらいかがです？<br><ruby>空間移動</ruby>能力者に逃走で勝てるとでもお思いで？,900050028,20,,
14,湾内 絹保,53000101,あら、白井さんまでいらしてたのですね。<br>お二人とも、何をそう血気づいていらっしゃるので？,900530004,15,ef_com_00100_002_002_00,
15,白井 黒子,5000102,下着の窃盗、及びお姉様へ恋心を抱いた罪で、<br>この女狐を逮捕するところです。,900050018,13,
16,白井 黒子,5000102,窃盗も重い罪ですが、お姉様へ愛を伝えようなど、<br>懲役二千年では済みませんわ！！,900050023,20,ef_com_00100_002_007_00,
17,婚后 光子,9000101,ですから、それは誤解だと！！,900090008,13,ef_com_00100_002_003_00,
18,湾内 絹保,53000101,エキサイトなさっているところ申し訳ないのですが、<br>今の話では何が何やら……。,900530023,14,ef_com_00100_002_004_00,
19,泡浮 万彬,55000101,ですが、婚后さんが窃盗を？<br>そのようなことをするような方ではありませんよ？,900550007,20,ef_com_00100_002_002_00,
20,湾内 絹保,53000101,ええ。わたくし達の知る婚后さんはお優しく、<br>友だち思いの素晴らしい方ですもの。,900530006,12,
21,婚后 光子,9000101,お二人とも……。ありがとうございます！<br>信じていただけるのですね？,900090014,11,
22,泡浮 万彬,55000101,もちろんですわ。<br>わたくしたちの友人ですもの。信じるに決まっています。,900550005,12,ef_com_00100_002_000_00,
23,湾内 絹保,53000101,白井さん。婚后様のお持ち物をお調べなさってください。<br>盗品など出てくるハズもないでしょうし。,900530005,10,
24,婚后 光子,9000101,はう？,900090027,15,ef_com_00100_002_003_00,
25,泡浮 万彬,55000101,そうです！　<br>この際ですからお部屋も徹底的にお調べください！,900550006,10,
26,婚后 光子,9000101,……え？,900090030,15,ef_com_00100_002_003_00,
27,湾内 絹保,53000101,わたくしたちもついていきますわ。<br>証人としてしっかりと立ち会わせていただきます。,900530029,20,ef_com_00100_002_000_00,
28,婚后 光子,9000101,あのー？　わたくしの意思は……？,900090029,14,
29,白井 黒子,5000102,ほう、そこまで言うのならいいでしょう。<br>確かに物的証拠があれば話は早いですし。,900050004,10,ef_com_00100_002_001_00,
30,婚后 光子,9000101,お、お待ち下さい！<br>流石にこの場で持ち物を検められるのは……！！,900090022,13,ef_com_00100_002_003_00,
31,白井 黒子,5000102,ゴタゴタ言わずにそのバッグを渡しなさいな！,900050025,13,
32,婚后 光子,9000101,ちょっ、ダメです！<br>無理に引っ張らないでくださっ、ああっ！！,900090030,15,ef_com_00100_002_003_00,
33,湾内 絹保,53000101,バッグから、し、下着が落ちて……！？,900530030,15,ef_com_00100_002_001_00,
34,泡浮 万彬,55000101,まさか婚后さん、本当に……？,900550017,15,
35,白井 黒子,5000102,違う、違いますのよ……。,900050017,15,ef_com_00100_002_003_00,
36,湾内 絹保,53000101,違う、とはどういうことですか！？,900530028,14,ef_com_00100_002_002_00,
37,白井 黒子,5000102,なぜ、お姉様のではなく、<br>わたくしの下着が出てくるんですのーっ！！！！,900050020,17,ef_com_00100_002_003_00,
38,湾内たち,,「ええーっ！？」,
#,,,#END,
