#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,常盤台中学 Chapter9,
#,,,淑女の誰も知りえぬ顔,,,,
#,,,#【学び舎の園　路上・夕】,
1,湾内 絹保,53000101,そんな、婚后さんが盗っ人だったなんて……。,900530018,14,
2,泡浮 万彬,55000101,信じたくはありませんが動かぬ証拠を目にしては……,900550018,14,ef_com_00100_002_004_00,
3,婚后 光子,9000101,違うのです！　これには深い事情がありまして！！,900090022,17,ef_com_00100_002_003_00,
4,湾内 絹保,53000101,あら？　他にもたくさんありますわ。<br>御覧ください。こんな子供用の物まで……。,900530004,15,ef_com_00100_002_002_00,
5,泡浮 万彬,55000101,カエルのキャラクターものなんて、<br>相当なマニアでなければ狙わないデザインでしょう。,900550015,10,
6,湾内 絹保,53000101,婚后さんとは仲良くなれたと思っていましたが……。,900530023,14,ef_com_00100_002_004_00,
7,泡浮 万彬,55000101,わたくし達の知り得ぬ顔があった、<br>ということなのでしょうね……。,900550018,14,
8,婚后 光子,9000101,お二人とも、そんな目で見ないでくださいまし！<br>白井さんも、どうかお話をお聞きください！,900090029,14,ef_com_00100_002_003_00,
9,白井 黒子,5000102,お聞き……ください？,900050015,14,ef_com_00100_002_004_00,
10,婚后 光子,9000101,……どうして、今まで<br>分かってくれなかったんですか。,900090012,11,,
11,婚后 光子,9000101,御坂さんはいい人ですけど、<br>白井さんの視線を独り占めしてズルいです。,900090028,14,,
12,婚后 光子,9000101,……もっとこっちを見てください。<br>そのためには、手段を選ばないつもりです。,900090002,17,ef_com_00100_002_007_00,
13,白井 黒子,5000102,……はっ！　全てが分かりましたわ！,900050023,15,
14,婚后 光子,9000101,な、何がですか！？,900090004,15,ef_com_00100_002_003_00,
15,白井 黒子,5000102,い、いつから、ですの……？,900050018,13,
16,白井 黒子,5000102,いつからわたくしを<br>そんな目で見るようになったんですの！？,900050020,17,
17,婚后 光子,9000101,ええええええええっ！？<br>何を口走っていらっしゃるんです！？,900090017,17,ef_com_00100_002_003_00,
18,白井 黒子,5000102,お姉様へ欲情するだけでは飽き足らず、<br>わたくしにも目をつけていたとは……。,900050015,17,
19,白井 黒子,5000102,そこまでは予想していませんでしたわ！！<br>これ以上近づかないでくださいまし！！,900050023,17,
20,婚后 光子,9000101,違います！！<br>白井さんのことなど、わたくしは露程も想っていません！,900090007,13,ef_com_00100_002_003_00,
21,白井 黒子,5000102,では何も感じない相手から下着を盗むのですか！！<br>それこそふしだらが過ぎるではありませんか！！,900050021,17,
22,泡浮 万彬,55000101,確かに、白井さんの下着だけでなく、<br>子供用の物までもっていたとなると……。,900550005,17,
23,湾内 絹保,53000101,ストライクゾーンが非常にお広くていらっしゃる……。,900530018,17,
24,婚后 光子,9000101,湾内さん！？　泡浮さん！？<br>先程までのわたくしへの信頼は何処へ！？,900090016,15,ef_com_00100_002_003_00,
25,婚后 光子,9000101,お願いです白井さん！<br>どうか、少しでいいのでお時間を！！,900090029,14,
26,白井 黒子,5000102,あなたの言うことなど聞くものですか！<br>そう言ってわたくしを口説き落とすつもりでしょう！！,900050018,17,
27,白井 黒子,5000102,とにかく下着は全部没収します！<br>追って沙汰がありますので震えてお待ちなさい！,900050023,20,
28,婚后 光子,9000101,お逃げにならないでください！！<br>お待ちになって～っ！！,900090017,13,ef_com_00100_002_003_00,
29,湾内 絹保,53000101,……お二人とも、行ってしまわれましたね。,900530004,15,
30,泡浮 万彬,55000101,ええ。これを愛の逃避行、と云うのでしょうか？,900550006,17,ef_com_00100_002_002_00,
31,湾内 絹保,53000101,……それは、ちょっと違いません？,900530018,14,ef_com_00100_002_004_00,
#,,,#END,
