#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,肉体を変質させる芳川,,,,
#,,,#【黄泉川愛穂のアパート】,
1,打ち止め,22000101,はーい！　ってミサカはミサカは元気良くドアを<br>開けてみる！,900220001,10,ef_com_00100_002_000_00,
2,配達員,999000101,毎度！　お荷物のお届けです！<br>ハンコかサインいただけますか？,905080002,10,,
3,打ち止め,22000101,ハンコを押すのってなんだか大人っぽい！,900220004,21,
4,打ち止め,22000101,ってミサカはミサカは少し大人になった気持ちで<br>ハンコを押してみる。,0,21,
5,配達員,999000101,ありがとうございました！　また宜しくお願いしまーす！,905080002,10,,
6,打ち止め,22000101,よろしくー！　ってミサカはミサカは手を振って<br>配達員の人を見送ってみたり。,900220002,12,ef_com_00100_002_000_00,
7,打ち止め,22000101,えーと、誰宛の荷物かな？<br>ってミサカはミサカは興味津々に宛名を確認してみる。,900220008,10,
8,打ち止め,22000101,ヨシカワキキョウ？　荷物の中身は――。,0,10,
9,芳川 桔梗,54000101,ちょっと待ってーっ！,900540028,15,,
10,打ち止め,22000101,わわっ！？　ってミサカはミサカは突然現れた<br>ヨシカワに荷物を奪われて驚いてみたり！,900220017,15,ef_com_00100_002_003_00,
11,芳川 桔梗,54000101,か、代わりに受け取ってくれて、ありがとう、<ruby>最終信号</ruby>。,900540005,11,,
12,打ち止め,22000101,ヨシカワ、何を買ったの？　ってミサカはミサカは中身が<br>美味しい物だったらいいなって期待しつつ聞いてみる。,900220028,10,
13,芳川 桔梗,54000101,ざ、残念だけど、これは食べ物じゃないの。,900540003,10,
14,打ち止め,22000101,えー、じゃあ、何なの？　ってミサカはミサカはさらに<br>食い下がってみたり。,900220027,15,ef_com_00100_002_002_00,
15,芳川 桔梗,54000101,け、研究に使う物なのよ……ほほほ……。<br>それじゃあね！,900540006,11,ef_com_00100_002_003_00,
16,黄泉川 愛穂,7000101,どうしたじゃん、<ruby>打ち止め</ruby>？,900070001,10,,
17,打ち止め,22000101,あ、ヨミカワ。ヨシカワに荷物が届いたんだよ、<br>ってミサカはミサカは説明してみる。,900220001,10,
18,黄泉川 愛穂,7000101,桔梗に荷物？<br>どうせまた怪しい健康器具でも買ったじゃん。,900070003,11,
19,打ち止め,22000101,怪しい健康器具？　ってミサカはミサカは興味を<br>惹かれてみたり。,900220004,21,ef_com_00100_002_007_00,
20,黄泉川 愛穂,7000101,ダイエットマシンとか、小顔になるベルトとかじゃん。,900070006,10,
21,黄泉川 愛穂,7000101,ああ、そういえば、この前豊胸マシンが壊れたから、<br>新しいのを買うとか言ってたじゃん。,0,11,
22,打ち止め,22000101,豊胸マシン！？,900220030,15,,
23,黄泉川 愛穂,7000101,研究者のくせに、なんであんな胡散臭いものに<br>引っかかるかねえ。,900070015,10,
24,黄泉川 愛穂,7000101,って、あれ？　<ruby>打ち止め</ruby>？,0,15,,
#,,,#【時間経過】,
25,芳川 桔梗,54000101,つ、ついに届いたわ……これが噂の、<br>一日五分装着するだけで胸を大きくするマシン……！,900540002,-2,ef_com_00100_002_000_00,
26,芳川 桔梗,54000101,広告では、ハリウッドの女優も使用しているとか。,0,-2,
27,芳川 桔梗,54000101,この間の豊胸マシンは、安物だったからすぐに<br>壊れちゃったけど、今回のは期待できそうね。,900540005,-2,
28,芳川 桔梗,54000101,なんてったって、ハリウッド女優も使っているもの<br>なんだから！,0,-2,ef_com_00100_002_007_00,
29,芳川 桔梗,54000101,これで私もハリウッド女優並み……は無理でも、<br>少なくとも愛穂のようになれるかもしれない！,900540002,-2,
30,芳川 桔梗,54000101,さっそく装着してみましょう。,0,-2,
31,芳川 桔梗,54000101,ん……ほほう……なるほど、こうくるのね。<br>これはなかなか効果がありそうだわ。,900540004,-2,,
32,芳川 桔梗,54000101,そうだ。どうせなら他の機械も一緒に装着してみたら<br>どうかしら。,900540006,-2,
