#ID,名称,CharaID,ストーリーイベント: お嬢様の優雅な夏休み チャプター3,ボイスID,表情差分,エモーション,
#,,,喧騒を離れ,
#,,,#【高級ホテル・プール・昼】(仮),,,,
1,フレンダ,19000401,んー！　プールの水が冷たくて気持ち良い～！,900190011,17,ef_com_00100_002_007_00,
2,滝壺 理后,20000401,夏の暑さが水の冷たさに消えていく……。,900200011,10,,
3,絹旗 最愛,18000401,今年の夏の暑さは超異常ですからね。<br>プールに来たのは超良いアイデアでした。,900180010,10,,
4,麦野 沈利,11000401,そうでしょう？　このクソ暑い中で、<br>仕事ばっかりしてるだけなんて馬鹿馬鹿しかったのよ。,900110002,12,,
5,フレンダ,19000401,けど、何でわざわざ人工海水浴場に来たのに<br>私達はビーチに併設された高級ホテルのプールにいるの？,900190007,14,ef_com_00100_002_002_00,
6,絹旗 最愛,18000401,私も超気になってました。<br>すぐそこは海ですし、そっちに行けば良かったのでは？,900180006,10,
7,麦野 沈利,11000401,嫌よ、あんな人の多い所。<br>馬鹿みたいな連中がうざったくて気晴らしにならないわ。,900110007,11,ef_com_00100_002_006_00,
8,フレンダ,19000401,あれ？　じゃあ何で海辺のホテルなの？<br>プールなら他にも学園都市にいっぱいあるのに。,900190003,15,
9,麦野 沈利,11000401,そこはせっかくの夏だからよ。<br>海の見える所が良かったの。,900110005,10,
10,フレンダ,19000401,な、なんて面倒くさい……。,900190018,15,ef_com_00100_002_003_00,
11,フレンダ,19000401,けど、そっか。<br>結局、海には行けないのかぁ……ちょっと残念。,900190015,14,
12,滝壺 理后,20000401,海に何かあるの？,900200004,10,
13,フレンダ,19000401,海じゃないけど、人工海水浴場に行くって<br>聞いたから花火とか用意してた訳よ。,900190008,11,
14,フレンダ,19000401,けど、それが全部無駄になっちゃうから、<br>勿体ないなー……ってね。,900190016,14,ef_com_00100_002_006_00,
15,麦野 沈利,11000401,それはまた今度ね。わざわざ貸し切った事だし、<br>今日はこのプールで羽根を伸ばしましょ。,900110002,12,
16,フレンダ,19000401,……んー、分かった。ま、私が海でこうして<br>座ってるだけで脚線美に男共が群がっちゃうだろうしね。,900190006,17,ef_com_00100_002_007_00,
#,,,#【イラスト表示開始】,,,,
17,フレンダ,19000401,今日は私達だけでプールを満喫しよー……えいっ！,900190002,17,ef_com_00100_002_000_00,
18,絹旗 最愛,18000401,うわっ！？　冷たいですよ！<br>いきなり水をかけるなんて、超何するんですか。,900180030,15,ef_com_00100_002_003_00,
19,フレンダ,19000401,あっ……。<br>てへっ、ごめーん。そこまで飛ばすつもりは――。,900190011,17,
20,絹旗 最愛,18000401,ふっ、やられたからには黙って見過ごせません。<br>――超お返しです！　そりゃああ！,900180011,12,ef_com_00100_002_000_00,
21,フレンダ,19000401,ひうっ！　つっめたぁ！<br>私、こんなにたくさん水かけてないけどっ。,900190030,15,ef_com_00100_002_003_00,
22,絹旗 最愛,18000401,やられたら倍返しが超基本です。<br>これでおあいこって事に――うぐっ！？,900180030,15,ef_com_00100_002_003_00,
23,フレンダ,19000401,ふふん、私もお返し！<br>誰が相手だろうと水遊びなら負けないって訳よ！,900190002,17,ef_com_00100_002_000_00,
#,,,#【イラスト表示終了】,
#,,,#【高級ホテル・プール・昼】(仮),,,,
24,絹旗 最愛,18000401,フレンダ、ちょっと待ってください。<br>私にそんな気は……なぐっ！？,900180027,16,ef_com_00100_002_006_00,
25,フレンダ,19000401,油断している所にダメ押しにもう一発！<br>ほらほら～、水遊びなら私が最強でしょー？,900190011,12,
26,絹旗 最愛,18000401,……超上等です！<br>やるからには超負けませんよ！,900180011,13,
27,滝壺 理后,20000401,……冷たい。水がこっちにまできてるよ。<br>あ、でもこれシャワーみたいでちょっと気持ち良い。,900200030,12,,
28,麦野 沈利,11000401,ちょっと、子供じゃあるまいし何やってんの。<br>あんまりハシャぎ過ぎるんじゃないわよ。,900110015,16,ef_com_00100_002_005_00,
29,フレンダ,19000401,やったね絹旗！　それなら私も本気を出すって訳よ！<br>これならどう、だァーっ！,900190009,13,,
30,麦野 沈利,11000401,冷たッ！　おいフレンダテメェ！<br>私に水かけるなんて、イイ度胸してるじゃないの！,900110030,15,ef_com_00100_002_005_00,
31,フレンダ,19000401,うええ！？<br>私は絹旗を狙った訳で……麦野ごめーん！,900190027,15,ef_com_00100_002_003_00,
32,麦野 沈利,11000401,言葉だけで許すと思ってんの！？　覚悟しろコラァ！！,900110025,13,ef_com_00100_002_005_00,
33,絹旗 最愛,18000401,うわ、麦野の顔が超マジですよ。<br>フレンダが超ズタボロになる未来しか見えませんね……。,900180020,14,ef_com_00100_002_004_00,
#,,#END,






































































































































































































































































































































































































































































































































































































































































