#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: とある浴衣の屋台戦争 チャプター08,
#,,,止まない雨,
#,,,#【夏祭り会場】,
1,ナル,112000101,あっ、ターゲットが一人で歩き出したよ！,901120003,12,ef_com_00100_002_001_00,
2,清ヶ,113000101,今がチャンスだな。,901130006,13,
3,薬丸,114000101,さぁ、リーダー！,901140011,13,
4,リーダー,111000101,あ、ああ……。,901110005,14,
#,,,#【場面切替】,
#,,,#SE（雨の音）,,,,
5,打ち止め,22001201,雨は止まないし、<br>あの人たちも見つからないの……。,900220015,14,
6,打ち止め,22001201,って、ミサカはミサカは萎れながら<br>しょんぼり歩き出してみたり……。,0,14,ef_com_00100_002_006_00,
#,,,#SE（歩き去る足音）,,,,
7,リーダー,111000101,ど、どうしたの？　もしかして迷子？,901110001,12,
8,リーダー,111000101,よかったら僕が一緒に探してあげよっかー？<br>……なーんてね、あはは。,0,12,ef_com_00100_002_003_00,
9,打ち止め,22001201,ううん、大丈夫。<br>って、ミサカはミサカは小さな声で答えてみたり。,900220015,14,
10,リーダー,111000101,えっと、なんか元気ないけど……何かあった？<br>よかったら話くらい聞くけど。,901110029,14,ef_com_00100_002_002_00,
11,打ち止め,22001201,…………。,0,14,
12,リーダー,111000101,……まずは雨宿りをしよう。<br>そのままじゃ君が風邪をひく。,901110003,14,
#,,,#【時間経過】,
13,リーダー,111000101,それで、何があったのかな？,901110001,10,
14,リーダー,111000101,人に話せば楽になることもある。<br>話したくないというなら無理にとは言わないが。,0,10,
15,打ち止め,22001201,……せっかくのお祭りが<br>雨で台無しになって悲しいの。,900220016,14,
16,打ち止め,22001201,って、ミサカはミサカは<br>今の心情をぽつりと零してみたり。,0,14,
17,打ち止め,22001201,大切な人と見る花火、<br>すっごく楽しみにしてたのに……。,0,16,ef_com_00100_002_006_00,
18,打ち止め,22001201,って、ミサカはミサカは<br>肩を落として更にしょんぼりしてみる……。,900220015,16,
19,リーダー,111000101,確かにそれは悲しいね……。,901110006,14,
20,リーダー,111000101,でも、君が悲しんでたら、相手も悲しいんじゃないかな。,0,11,
21,打ち止め,22001201,えっ、あの人も……？,900220030,15,ef_com_00100_002_002_00,
22,リーダー,111000101,君と同じように相手も君のことを大切に想っているなら、<br>変わらず笑顔でいて欲しいはずだ。,901110005,10,
23,リーダー,111000101,さぁ、涙を拭いて。<br>僕が一緒にその人を探してあげよう。,0,12,
24,打ち止め,22001201,そうだね。このままじゃきっと心配されちゃう。って、<br>ミサカはミサカはあの人のことを思い出してみたり。,900220005,10,
25,打ち止め,22001201,ミサカの話を真剣に聞いてくれてありがとう！<br>って、ミサカはミサカは微笑んでみたり！,900220014,12,
26,リーダー,111000101,ああ、いや……僕は礼を言われるほどのことは――<br>って……君、そのぬいぐるみは！？,901110030,15,ef_com_00100_002_001_00,
27,打ち止め,22001201,えっ、ミサカのお気に入りのゲコ太のぬいぐるみだけど？,900220030,15,
28,リーダー,111000101,ええと、それは一体どこで……？,901110029,15,
29,打ち止め,22001201,屋台の景品だよ。あの人が取ってくれたの！<br>って、ミサカはミサカは得意げに見せてみる！,900220005,12,
30,リーダー,111000101,そうか……実は僕もそのキャラクターが好きでね。<br>グッズもいくつか持ってる。,901110005,17,
31,打ち止め,22001201,えっ、そうなの！？　って、ミサカはミサカは<br>同士発見の予感に飛びついてみたり！,900220030,15,
32,リーダー,111000101,今日もそれを目当てに屋台に出向いてみたんだが……。,901110015,14,
33,打ち止め,22001201,えっ。,900220017,15,ef_com_00100_002_004_00,
34,リーダー,111000101,残念ながら全て無くなってしまった後でね……<br>君はちゃんと手に入れられたようでよかったよ。,901110016,14,
35,打ち止め,22001201,え、ええと……。,900220022,14,
36,リーダー,111000101,ん？　どうかしたのか？,901110019,10,ef_com_00100_002_002_00,
37,打ち止め,22001201,あ、あの……これ、いる？,900220029,14,
38,打ち止め,22001201,って、ミサカはミサカはゲコ太のぬいぐるみを<br>おずおずと差し出してみたり！,0,14,
39,リーダー,111000101,でもいいのか……？<br>それは君の大切な人からの……。,901110029,14,
40,打ち止め,22001201,いいの！　さっきのお礼だよ！<br>それにミサカは他にも持ってるから……！,900220006,12,
41,打ち止め,22001201,（って、ミサカはミサカは若干罪悪感にかられながら<br>ゲコ太のぬいぐるみをずずいと手渡してみたり……！）,0,11,ef_com_00100_002_006_00,
42,リーダー,111000101,あ、ああ……ありがとう？,901110017,15,ef_com_00100_002_002_00,
#,,,#END,




















































