#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 暗部の休日 チャプター04,
#,,,常磐台のジュリエット,
#,,,#【常盤台女子寮・全景（夜）】,
1,海原 光貴,12000101,（御坂さん……）,900120015,11,
2,海原 光貴,12000101,（窓からこぼれる暖かい光が<br>そこに御坂さんが存在するという事実を告げているのに）,0,10,
3,海原 光貴,12000101,（直接あなたに触れることも<br>まぶしい笑顔を見ることさえ許されないなんて……）,0,10,
4,海原 光貴,12000101,（叶わぬ恋と知りながら、度々こちらに<br>足を運んでしまっている事実を知れば）,0,10,
5,海原 光貴,12000101,（あなたは自分のことを、その愛らしい唇で<br>ストーカー野郎と罵るでしょうか……）,0,10,
6,海原 光貴,12000101,ああ、愛しい御坂さん……<br>あなたはどうして御坂さんなんでしょう！？,900120010,17,ef_com_00100_002_000_00,
7,白井 黒子,5000101,――ちょっとそこのあなた。<br>そこで何をしているのです！？,900050028,13,,
8,海原 光貴,12000101,……っ！？,900120030,21,
9,海原 光貴,12000101,（しまった、御坂さんへの想いがあふれるあまり<br>つい声を……！）,0,21,ef_com_00100_002_003_00,
#,,,#SE（テレポート音）,,,,
10,白井 黒子,5000101,<ruby>風紀委員</ruby>ですの！,900050021,20,,
11,白井 黒子,5000101,抵抗せず大人しく事情聴取に応じて頂けるようであれば<br>悪いようには致しませんわ。,0,20,
12,海原 光貴,12000101,…………。,900120015,10,
13,海原 光貴,12000101,（白井黒子……<ruby>大能力者</ruby>の<ruby>空間移動</ruby>能力を持つ<ruby>風紀委員</ruby>。<br>そして御坂さんのルームメイトでもある）,0,10,,
14,海原 光貴,12000101,（随分と厄介な人物に<br>見つかってしまったようですね……）,0,14,ef_com_00100_002_006_00,
15,白井 黒子,5000101,外から何か人の気配がすると思って来てみれば。,900050018,13,
16,白井 黒子,5000101,ここを、常磐台中女子寮の敷地内と<br>知っての犯行ですわよね？,0,13,
17,海原 光貴,12000101,い、いえ自分は……！,900120007,21,ef_com_00100_002_003_00,
18,白井 黒子,5000101,おだまりなさい！,900050025,20,
19,白井 黒子,5000101,最近常磐台生を狙った不審者が増えておりまして、<br>先日も被害報告があったばかり。,0,13,
20,白井 黒子,5000101,そういうわけで、常磐台中学内の<ruby>風紀委員</ruby>が<br>持ち回りで警備の強化を行っておりますの。,0,13,,
21,海原 光貴,12000101,は、はぁ……。,900120018,14,
22,白井 黒子,5000101,こんな暗がりの中、じっと中の様子を窺っているなんて。,900050018,13,
23,白井 黒子,5000101,下着泥棒でしょうか。それとも常磐台生を狙う変態……？<br>はたまたストーカー……なんて線もありますわね。,0,13,
24,白井 黒子,5000101,とはいえ、この常磐台中学の女子寮に<br>忍び込むとはまったく。,900050015,14,ef_com_00100_002_006_00,
25,白井 黒子,5000101,身の程知らずといいますか、<br>命知らずと申しますか……。,0,14,
26,海原 光貴,12000101,（……困りましたね。<br>あまり騒ぎにはしたくありませんが）,900120015,14,ef_com_00100_002_006_00,
27,海原 光貴,12000101,（流石にここで捕まるわけにはいきませんし。<br>こうなったら――）,0,10,
28,白井 黒子,5000101,まぁわたくし、本日は少しばかり気分がいいですの。,900050002,11,,
29,海原 光貴,12000101,え……？,900120030,21,ef_com_00100_002_002_00,
30,白井 黒子,5000101,抵抗して暴れる様子も見られませんし。,900050004,10,
31,白井 黒子,5000101,もし納得できる理由があるというのであれば<br>見逃してさしあげても構いませんわよ？,0,10,
32,白井 黒子,5000101,もちろん納得できなかった場合<br><ruby>警備員</ruby>に引き渡すこともあり得ますけれども。,0,13,,
#,,,#END,








































































