#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 暗部の休日 チャプター07,
#,,,土御門兄妹の夜,
#,,,#【上条の学生寮・上条当麻の部屋（室内ライト）】,
1,土御門 元春,3000701,はー、さっぱりしたにゃあ～。,900030002,17,
2,土御門 元春,3000701,最近シャワーで済ませることが多かったが<br>やっぱり湯船に浸かるのが一番の贅沢ぜよ。,0,12,
3,土御門 舞夏,39000101,お、上がったようだな。では早くこっちに来い。,900390028,10,
4,土御門 舞夏,39000101,最後の仕上げは<br>『耳かきon theメイドさんの膝の上』なのだー。,0,12,ef_com_00100_002_000_00,
5,土御門 舞夏,39000101,天国というものを見せてやるぞー。,900390011,12,
#,,,#【時間経過】,,,,
6,土御門 元春,3000701,な、なにこれしゅごい……しゅごすぎる！,900030011,17,ef_com_00100_002_007_00,
7,土御門 舞夏,39000101,ふっふ。<br>どうだ、たまらんだろうー？,900390002,20,ef_com_00100_002_000_00,
8,土御門 元春,3000701,はぁぁ……<br>メイドさんマジ最高にゃあ！！,900030002,17,
9,土御門 元春,3000701,それにしても、<br>今日は至れり尽くせりぜよ。,0,11,
10,土御門 元春,3000701,癒やしてもらった礼に、何かさせてくれ。,900030029,11,
11,土御門 元春,3000701,欲しいものがあるなら言うといいにゃあ。<br>お兄ちゃん今なら何でも言うこと聞いちゃうぞぉ～！,900030011,17,ef_com_00100_002_000_00,
12,土御門 舞夏,39000101,そういうのは特にないからいいぞー。,900390008,10,
13,土御門 元春,3000701,……相変わらず自分のものは欲しがらないんだな。,900030016,14,ef_com_00100_002_006_00,
14,土御門 舞夏,39000101,必要なものは十分に<br>与えられているからなー。,900390006,21,
15,土御門 元春,3000701,まぁ兄としては、可愛い妹に<br>少しくらい我儘を言われてみたいものだが。,900030015,14,
16,土御門 舞夏,39000101,そう言われてもな<br>私は今のままで十分満足している。,900390023,21,
17,土御門 舞夏,39000101,だが……そこまで言うなら<br>ひとつだけいいかー？,900390028,17,
18,土御門 元春,3000701,なんだ、言ってみろ。,900030004,12,
#,,,#【上条の学生寮・上条当麻の部屋（夜）】,
19,土御門 元春,3000701,……珍しくおねだりされたと思えば<br>本当にこんなことでいいのか？,900030029,10,,
20,土御門 元春,3000701,というよりこれは、<br>むしろ俺のご褒美にあたるのでは！？,0,10,,
21,土御門 舞夏,39000101,別に構わないだろう、一緒に眠るくらい。<br>私たちは兄妹なのだからなー。,900390002,10,,
22,土御門 元春,3000701,（まぁ、義理のだけどな）,900030015,11,,
23,土御門 舞夏,39000101,ただ、時々少し不安になるのだ。<br>特に兄貴の不在が続いた後は。,900390015,14,,
24,土御門 舞夏,39000101,……なんてな。<br>今のは冗談だ、忘れてくれー。,0,12,,
25,土御門 元春,3000701,……舞夏。,900030029,14,,
26,土御門 舞夏,39000101,おっと、そろそろ寝なければ。<br>メイドさんの朝は早いからなー。,900390030,15,,
27,土御門 舞夏,39000101,おやすみ兄貴。,900390002,12,,
28,土御門 元春,3000701,ああ……おやすみ。,900030029,12,,
#,,,#END,






















































