#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: とある幻想の一周記念[前編] チャプター02,
#,,,気になる水着,
#,,,#【学園都市外部・砂浜・昼】,
1,初春 飾利,36000401,それじゃあこの方達を然るべきところへお連れしますね。,1,10,,
2,白井 黒子,5001101,いいですか、お姉様。わたくし達が戻ってくるまで、<br>大人しくしていてくださいまし。,1,14,
3,御坂 美琴,4001201,私は暴れん坊の子供か！<br>言われなくてもわかってるわよ。,1,20,
4,白井 黒子,5001101,本当ですのね？<br>黒子は不安で仕方がないですわ……。,1,14,
5,御坂 美琴,4001201,しつこいわね。大丈夫だって言ってるでしょ。<br>だから早いとこ連れて行っちゃいなさい。,1,20,
6,御坂 美琴,4001201,あんまりもたもたしてたら<br>遊ぶ時間も減っちゃうわよ。,1,20,
7,初春 飾利,36000401,御坂さんの言う通りですよ。<br>白井さん、行きましょう。,1,10,
8,白井 黒子,5001101,わかりましたわ。では、お姉様。<br>早めに戻りますので、くれぐれもご自重くださいませ～！,1,12,,
9,御坂 美琴,4001201,まったく！<br>黒子は私をなんだと思ってるのよ。,1,21,ef_com_00100_002_006_00,
10,佐天 涙子,37000401,白井さんなりに心配してるんですよ。,1,10,
11,佐天 涙子,37000401,一周年記念にトラブルに巻き込まれたりして、<br>リフレッシュできないなんてことにならないように。,1,10,
12,御坂 美琴,4001201,こんな日にトラブルに<br>巻き込まれる奴なんてそうそういないでしょ。,1,10,
13,御坂 美琴,4001201,それこそアイツじゃあるまいし……ん？<br>あれって……。,1,15,ef_com_00100_002_001_00,
14,上条 当麻,1000401,さっきの騒ぎはこの辺からだったよな……。<br>……あ。,1,15,,
15,佐天 涙子,37000401,あ、上条さんだ。<br>こんにちはー。,1,12,
16,御坂 美琴,4001201,なんだ、アンタも来てたの？,1,20,
17,上条 当麻,1000401,せっかく一周年記念で学園都市から<br>海外旅行のチケットを貰ったからな。,1,12,
18,上条 当麻,1000401,行っておかないと損だろ。それに、<br>こんな時でもないと海外旅行なんて行けないしな。,1,12,
19,御坂 美琴,4001201,……アンタ、イギリスとかロシアとか<br>色んなとこ行ってなかった？,1,10,ef_com_00100_002_002_00,
20,上条 当麻,1000401,あれは旅行とはちょっと違うと言うか……。,1,21,ef_com_00100_002_006_00,
21,上条 当麻,1000401,まあ、それよりさっきの騒ぎって<br>もしかしてお前の仕業か？,1,11,
22,御坂 美琴,4001201,それはその……そうだけど……。,1,14,
23,上条 当麻,1000401,電撃みたいな音がしたと思ったけどやっぱりか。<br>一周年の記念日なのにお前は相変わらずだな。,1,12,
24,御坂 美琴,4001201,あ、アレはアイツらが悪いのよ！<br>佐天さんをナンパしようとしてたんだから。,1,20,
25,御坂 美琴,4001201,それに……相変わらずって言うけど、<br>変わってるとこだってあるわよ。,1,11,
26,上条 当麻,1000401,そうなのか？<br>変わったってどこが――,1,10,ef_com_00100_002_002_00,
27,御坂 美琴,4001201,言わない。自分で当ててみなさい。,1,20,
28,上条 当麻,1000401,むっ。変わってる所か……えーっと。,1,21,
29,佐天 涙子,37000401,上条さん、上条さん。<br>ぱっと見てわかるものですよ……！,1,10,,
30,上条 当麻,1000401,ぱっと見でわかる変わったところ……。<br>うーーん……。,1,21,ef_com_00100_002_006_00,
31,佐天 涙子,37000401,ほら、もっとよく見てください。<br>気づけばすぐわかるところですよ。,1,10,,
32,上条 当麻,1000401,そんなこと言われてもな……。<br>気づけばっていったい何に……。,1,21,
33,上条 当麻,1000401,あ。そういえば、その水着……。,1,15,ef_com_00100_002_001_00,
34,御坂 美琴,4001201,……ん。水着が？,1,12,
35,上条 当麻,1000401,学校のやつじゃないんだな。<br>あのよく分からないメカつけてた時の。,1,12,
