#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,食蜂のヒーロー,,,,
#,,,#【謎の施設・廊下・室内ライト】,
1,食蜂 操祈,10000301,あのジーサンの狙いが御坂さんの暴走だったなんてぇ<br>悔しいけど誤算力だったわぁ……。,900100026,16,,
2,食蜂 操祈,10000301,もぉ、御坂さんも御坂さんよっ。<br>まんまと罠にハマってんじゃないわよぉ！,,16,
3,食蜂 操祈,10000301,とりあえず<ruby>警備員</ruby>を操作して、大覇星祭の観戦客と<br>近隣住民の避難誘導に専念させておきましょぉ。,,16,,
4,食蜂 操祈,10000301,<ruby>警備員</ruby>が出張ったところで<br>死体の山を築くだけだしねぇ……。,,20,,
5,食蜂 操祈,10000301,とはいえ、何か対抗力のあるものは……。,,20,
6,食蜂 操祈,10000301,アラアラアラあらぁ♪,900100002,15,
#,,,#【場面転換】,
#,,,#【学園都市・路上A・昼】,
7,上条 当麻,1001701,はぁ、はぁ、御坂が狙われてるって話だし<br>でかい雷は落ちるし、何が起きてるんだ……！？,900010017,16,ef_com_00100_002_003_00,
8,上条 当麻,1001701,ッ！<br>あれは、まさか……ッ！？,,15,
9,御坂 美琴,154000101,――…………。,,10,,
#,,,#【場面転換】,
#,,,#【謎の施設・廊下・室内ライト】,
10,食蜂 操祈,10000301,登場するタイミング力があんまり都合が良すぎて、<br>私と無関係の事件だったら引いちゃうわぁ。,900100003,11,
11,食蜂 操祈,10000301,でもぉ……。,,10,
12,食蜂 操祈,10000301,自分が当事者だったら<br>王子様に見えちゃうんだから女って勝手よねぇ。,900100002,17,,
#,,,#【場面転換】,
#,,,#【学園都市・路上A・昼】,
13,食蜂 操祈,10000301,「はぁい♪」,900100001,12,,
14,上条 当麻,1001701,なっ、何だ！？　頭の中に直接……！？,900010030,15,
15,食蜂 操祈,10000301,「あ、先に言っとくと、アナタの右手で頭に触れると<br>今から言うこと全部消えちゃうから触っちゃダメよん☆」,900100005,21,
16,食蜂 操祈,10000301,「あと<ruby>念話能力</ruby>と違って一度に全部脳に<br>書き込んでるから反論は受け付けないわぁ♪」,,12,,
17,食蜂 操祈,10000301,「状況を説明するとぉー私の能力とミサカネットワークが<br>悪用されて御坂さんが大変なのぉー」,,10,
18,上条 当麻,1001701,やっぱアレ、御坂なのか！？,900010022,14,
19,食蜂 操祈,10000301,「でもぉー、アナタが周囲にいて妨害力を発揮し続ければ<br>ネットワークの変化を遅らせる事ができる」,900100006,10,
20,食蜂 操祈,10000301,「……かも……しれないわぁ……多分」,,11,
21,上条 当麻,1001701,あやふやだなオイッ！,900010018,15,
22,食蜂 操祈,10000301,「まー、直接触れば元に戻るかもしれないし、<br>レッツ・チャレンジ☆」,900100002,21,
23,上条 当麻,1001701,つーか、アンタ誰だよ！？<br>チャレンジって……マジで？,900010023,14,
24,御坂 美琴,154000101,…………――。,,10,
#,,,#【場面転換】,,,,
#,,,#【謎の施設・廊下・室内ライト】,
25,食蜂 操祈,10000301,ふふっ、無事に伝えられたかしらぁ。<br>あの人なら御坂さんをなんとかしてくれるはずよねぇ。,900100002,12,ef_com_00100_002_007_00,
26,食蜂 操祈,10000301,……あの人の力は、私が誰よりも信じてるもの。,,11,,
27,食蜂 操祈,10000301,だけど、頼りっきりではいられないわぁ。<br>私だってできる事をしないとねぇ。,,10,
#,,,#【場面転換】,
#,,,#【ホテル屋上・神楽舞台なしVer・昼】,
28,食蜂 操祈,10000301,（ここに幻生がいたはず……だけど姿がない。<br>雲隠れして高みの見物を決め込むつもり？）,900100023,13,
29,カイツ,175000101,……ッ！,901750027,16,,
30,食蜂 操祈,10000301,今、自由にしてあげるわぁ。<br>でも、その前に……。,900100005,10,
31,食蜂 操祈,10000301,『私に危害は加えられない』っと。,,11,,
32,食蜂 操祈,10000301,とりあえず彼女を安全な場所に移動させてちょーだいっ。<br>そんな場所ないかもしれないけど……。,,10,
