#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,過ちは繰り返さない,,,,
#,,,#【謎の施設・廊下・室内ライト】,
1,食蜂 操祈,10000301,（いた……木原幻生……！）,900100003,15,,
2,食蜂 操祈,10000301,（人形が私を殺さず捕えようとしたのは<br>きっと私から聞き出したい情報が新たにできたから……）,,13,
3,食蜂 操祈,10000301,（そしてそれは十中八九、<br>『<ruby>外装代脳</ruby>』のリミッター解除コード）,,13,,
4,食蜂 操祈,10000301,（今の御坂さんを制御するには現在の『<ruby>外装代脳</ruby>』では<br>出力が足りないから、リミッターの解除が必要って事？）,,11,,
5,食蜂 操祈,10000301,（だけど『<ruby>外装代脳</ruby>』の重要機能のコードは<br>外部記録に残さず私の脳内だけに刻みこまれている……）,,10,,
6,木原 幻生,57000101,やれやれ、食蜂君も随分用心深いねぇー。『<ruby>外装代脳</ruby>』の<br>リミッター解除方法をどこにも残してないなんて。,900570018,10,,
7,食蜂 操祈,10000301,（『<ruby>外装代脳</ruby>』の防御の要は隠蔽力。<br>でも……万が一の時の対策は用意してある）,900100004,13,,
8,木原 幻生,57000101,ひょッ。これは、トラップだねぇ。<br>僕を閉じ込めてガスで眠らせる気かな？,900570030,10,,
9,食蜂 操祈,10000301,（これで眠ってくれれば楽なんだけど……）,900100006,13,
10,木原 幻生,57000101,『<ruby>多才能力</ruby>』。木山君みたいに一万人とはいかないけど、<br>面白そうなのを何人か保護して力を拝借してるよ。,900570002,12,,
11,木原 幻生,57000101,予想してなかった訳じゃないでしょ？,,12,
12,食蜂 操祈,10000301,まあねぇ。でもこれで終わりじゃないわ。<br>トラップはまだ他にも――。,900100005,20,
13,食蜂 操祈,10000301,ッ！？<br>能力で服を、壁に縫い止められて……！？,900100030,15,,
14,木原 幻生,57000101,千里眼というやつは使ってみると意外と不便でねぇー。<br>遮蔽物を透過できても、目標を上手く捕捉できないんだ。,900570016,10,
15,木原 幻生,57000101,おかげで食蜂君を見つけるのに<br>余計な時間をくってしまったよ。,,20,
16,食蜂 操祈,10000301,（透視まで……ッ。<br>こんなチート爺相手にどおしろって言うのよぉ……！）,900100020,16,
17,木原 幻生,57000101,さて、『<ruby>心理掌握</ruby>』で記憶を読もうとしても<br>食蜂君は同じ能力で脳への侵入をブロックできる。,900570005,10,,
18,木原 幻生,57000101,しかし、耐え難い苦痛を与えるか意識を奪うかして<br>能力を使えない状態に追い込めば攻略は可能だよねぇ？,,12,
19,食蜂 操祈,10000301,（ッ……？　息……空気……がっ！？）,900100027,15,ef_com_00100_002_003_00,
20,木原 幻生,57000101,食蜂君は虚弱だから早めに音を上げてくれるものと<br>期待しているよ。御坂君の成長も進んでいるだろうし。,900570002,22,
21,木原 幻生,57000101,……ひょッ！！？　<ruby>上条君</ruby>の干渉は想定の範囲内！<br>だがッ！　よもやあの<ruby>削板君</ruby>まで介入してくるとはッ！！,900570030,15,,
22,木原 幻生,57000101,『<ruby>幻想殺し</ruby>』の刺激に加えて、<ruby>第七位</ruby>のあの規格外の力！<br>万象をゼロで割るがごとき破格の観測……！,,15,,
