#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: このすばコラボ[後編] チャプター08,
#,,,とある商品の回収作業,
#,,,#【学園都市・路上Ｂ・昼】,
1,上条 当麻,1000101,だから、さっきのは不可抗力だって言ってるだろ？,1,14,ef_com_00100_002_003_00,
2,インデックス,2000101,そんなことはわかってるんだよ！<br>むぐぐ……。,1,20,,
3,ゆんゆん,149000101,あの、すみません。私のせいで……。,1,14,,
4,上条 当麻,1000101,ああ、いや、それはいいんだけど、<br>でも、もうかなり商品を売っちゃったんだよな？,1,10,ef_com_00100_002_002_00,
5,ゆんゆん,149000101,はい。特にバニルさん人形が人気で……。,1,12,
6,カズマ,142000101,なんでそんな物が……。とにかく回収しよう。<br>俺たちの世界の物は全部集めないとな。,1,14,ef_com_00100_002_004_00,
7,カズマ,142000101,ゆんゆん、一緒に来てくれ。誰に売ったのか<br>わからないと探しようが無いからな。,1,22,
#,,,#【時間経過】アイキャッチ：ゆんゆん,
#,,,#【学園都市・路上Ａ・昼】,
8,食蜂 操祈,10000101,ちょっとー。せっかく買ったのに、<br>商品を回収するってどういうことかしらぁ？,1,14,ef_com_00100_002_006_00,
9,カズマ,142000101,本当にすみません！　この人形、夜中に笑い出しては<br>持ち主を怖がらせる粗悪品なので返品して下さい！,1,14,
10,食蜂 操祈,10000101,ええ？　人形が夜中に笑う…？<br>もう店員さんってば、冗談力がすぎるんダゾ☆,1,15,ef_com_00100_002_002_00,
11,食蜂 操祈,10000101,でも、そんなに困ってるならぁ、<br>返してあげなくもないわぁ。,1,22,
#,,,#【時間経過】,
#,,,#【公園・内部Ｂ・昼】,
12,フレンダ,19000101,結局売れないって何それ。結構気に入ってたのに。,1,13,ef_com_00100_002_005_00,
13,上条 当麻,1000101,悪い！　この通り、頼むよ。,1,21,
14,フレンダ,19000101,ま、結局こういう場合の買い戻しは上乗せが常套でしょ<br>サバ缶３つで手を打ってあげるわ。,1,17,ef_com_00100_002_007_00,
15,上条 当麻,1000101,ぐ……不幸だ……っ。,1,14,ef_com_00100_002_006_00,
#,,,#【時間経過】,
#,,,#【学園都市・路上Ｂ・昼】,
16,上条 当麻,1000101,はぁ……つ、疲れた……。,1,14,
17,カズマ,142000101,もう夕方か……でも、どうにか売ったアイテムは全部<br>集められたみたいだな……。,1,14,
18,上条 当麻,1000101,よし、じゃあ撤収――ん？,1,10,ef_com_00100_002_002_00,
19,クリス,146000101,やあ、探したよ。会えて良かった。,1,10,,
20,カズマ,142000101,クリス！？　こっちに来てたのか！,1,15,ef_com_00100_002_001_00,
21,クリス,146000101,うん。ちょっとウィズに頼まれて<br>別行動をしていたんだ。,1,10,
22,カズマ,142000101,げっ。背負ってるそれは……。,1,15,
23,クリス,146000101,ああ、ご存じ空飛ぶキャベツだよ。<br>大丈夫、全て回収済みだから。,1,12,
24,カズマ,142000101,えっ……すごいな。その量を一人で片付けたのか？,1,12,
25,クリス,146000101,いや、なにやら強い人が退治してくれたみたいでね。<br>助かったよ。,1,12,
26,カズマ,142000101,へぇ……。これだけのキャベツをなぁ。,1,11,
27,クリス,146000101,ウィズに、店に置いてたキャベツが逃げ出したって<br>言われたときはどうしようかと思ったけどね。,1,10,
28,カズマ,142000101,は！？　このキャベツってウィズのやつかよ！？<br>まったく、クリスが集めてくれて助かったぜ……。,1,15,
29,クリス,146000101,カズマ君も苦労したみたいだね。<br>そんなキミにはい、これ。,1,12,
30,カズマ,142000101,これって……？,1,10,ef_com_00100_002_002_00,
31,クリス,146000101,今回の発端となった箱さ。これをもう一度発動させれば、<br>元の世界に帰れるんじゃないかな？,1,10,
32,カズマ,142000101,おおお、マジか！！<br>良かった、これで全部解決だな！,1,12,ef_com_00100_002_000_00,
#,,,#END,




















































