#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,Chapter2,
#,,,働かざる者,,,,
#,,,#【黄泉川愛穂アパート（室内）】,
1,打ち止め,22000101,あなたの体調が良くなるまでしっかり看病するからねって<br>ミサカはミサカは改めて宣言してみる。,900220005,10,
2,一方通行,13000201,あー……そうかよ。,900130005,23,ef_com_00100_002_006_00,
3,打ち止め,22000101,…………。,0,11,
4,一方通行,13000201,どうした？,900130029,22,ef_com_00100_002_002_00,
5,打ち止め,22000101,看病って具体的に何をしたらいいのかなって<br>ミサカはミサカは考え込んでみる。,900220029,10,
6,一方通行,13000201,……頭痛までさせる気か？,900130015,15,ef_com_00100_002_004_00,
7,一方通行,13000201,薬飲ンで寝てれば治るから<br>オマエは何もしないでいい……むしろするな。,0,20,
8,打ち止め,22000101,そうだ！　熱があるのならまずはそれを冷まさなきゃって<br>ミサカはミサカは気づいてみたり。,900220005,21,ef_com_00100_002_000_00,
#,,,,,,,
9,一方通行,13000201,アイツ……いきなりキッチンに走っていったが<br>何をやらかすつもりだ？,900130018,22,
10,一方通行,13000201,……ま、いいか。<br>とりあえずひと眠り――,0,11,
11,,,ガシャーン！,0,,,
12,一方通行,13000201,なンだァ！？,900130017,15,ef_com_00100_002_003_00,
13,一方通行,13000201,……ったくおちおち寝てもいられねェ。,0,23,
14,打ち止め,22000101,熱のある時は氷枕が効果的だって<br>ミサカはミサカは看病スキルを発揮してみる。,900220002,11,,
15,一方通行,13000201,スキルを発揮するのはいいが、<br>キッチンの周りにぶちまけられた大量の氷はなンだ？,900130029,20,
16,打ち止め,22000101,そ、それは……見なかったことにしてほしいな<br>ってミサカはミサカはこそっと言ってみる。,900220027,14,ef_com_00100_002_003_00,
17,一方通行,13000201,……いいから片付けろ。<br>ったく……余計熱が出そうだぜ。,900130015,22,ef_com_00100_002_006_00,
18,一方通行,13000201,これ以上オレの眠りの邪魔はすンじゃねェぞ？,0,20,,
19,打ち止め,22000101,はーい……って、ミサカはミサカは<br>ちょっと反省してみたり。,900220006,14,ef_com_00100_002_004_00,
20,？？？,999000101,あの学園都市第一位様が風邪だって？<br>見てたら、足元もおぼつかないじゃないか。,900840002,20,,
21,番外個体,84000701,今なら簡単に殺れそうだ。,900840001,21,
22,打ち止め,22000101,患者さんには指一本触れさせないよ！<br>ってミサカはミサカは立ち向かってみる！,900220021,13,
23,番外個体,84000701,おっと、そんな怖い目で見ないでよ。<br>例えばの話だよ。,900840023,11,
24,番外個体,84000701,それにしてもこの惨状、<br>氷枕すらできてないみたいだけどぉ……？,0,15,ef_com_00100_002_004_00,
25,番外個体,84000701,どうせ<ruby>最終信号</ruby>がひとりで<br>看病なんてできやしないんだから。,0,10,,
26,打ち止め,22000101,誰もひとりで看病するなんて言ってないって<br>ミサカはミサカは訂正してみたり。,900220008,13,
27,打ち止め,22000101,……はい、これ！,0,11,ef_com_00100_002_000_00,
28,番外個体,84000701,夕飯の買い物、洗濯、掃除……<br>なんのリストだよ、これは。,900840003,20,ef_com_00100_002_001_00,
29,打ち止め,22000101,当然、<ruby>番外個体</ruby>も手伝うのって<br>ミサカはミサカは家事リストを提示してみる！,900220006,11,,
30,番外個体,84000701,はぁ……？　なんでだよ！,900840007,15,ef_com_00100_002_003_00,
31,打ち止め,22000101,人手が足りないんだから、当然でしょって<br>ミサカはミサカは言い張ってみたり！,900220005,13,
32,番外個体,84000701,人手が足りなきゃ、他にもいるだろ！,900840008,13,
33,一方通行,13000201,……さっきから、うるせェ！<br>眠りの邪魔すンなって言ったよな……？,900130028,13,ef_com_00100_002_005_00,
34,一方通行,13000201,今度騒いだら……ハァハァ……<br>ただじゃすまねェからな！,0,14,ef_com_00100_002_004_00,
35,打ち止め,22000101,ほら、怒られたって<br>ミサカはミサカは不満をあらわにしてみる。,900220025,13,
36,番外個体,84000701,ミサカのせいだって言う！<br>……のかよ。,900840018,14,
37,番外個体,84000701,だいたい、<ruby>最終信号</ruby>が<br>ていよく家事を押しつけようとするから……。,0,13,,
38,打ち止め,22000101,働かざる者食うべからずって<br>ミサカはミサカは主張してみる。,900220008,11,
39,番外個体,84000701,……チッ。<br>それで、ミサカに何させようって訳？,900840025,13,ef_com_00100_002_002_00,
40,番外個体,84000701,まさか、このリストにあること、<br>全部しろなんて言わないよねぇ……？,0,15,ef_com_00100_002_003_00,
41,打ち止め,22000101,ミサカは夕食の買い物に行ってくるから<br><ruby>番外個体</ruby>は掃除と洗濯をお願い！,900220005,10,,
42,打ち止め,22000101,ただし、あの人の眠りの邪魔をすると<br>また怒られるので気をつけてねって……,0,14,ef_com_00100_002_004_00,
43,番外個体,84000701,わかってるって。<br>さっきの顔見ちゃったらねぇ？,900840015,14,ef_com_00100_002_004_00,
44,打ち止め,22000101,じゃあ行ってくる！　ってミサカはミサカは<br>早速買い出しに出かけるのだった―！,900220011,20,ef_com_00100_002_000_00,
#,,,#END,
