#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,ハーレムメイド計画,,,,
#,,,#【学園都市・路地裏】,
1,土御門 元春,3000101,何、それは本当か！？,900030017,15,ef_com_00100_002_001_00,
2,土御門 元春,3000101,わかった……そういうことなら俺が何とかする。<br>後のことは任せてゆっくり休むといい。,,11,
#,,,#SE（通話を切る音）,,,,
3,土御門 元春,3000101,くっくっく……。,900030002,12,
4,土御門 元春,3000101,よっしゃあぁぁ！！<br>俺の夢が叶う時……キターーーー！！！！,900030011,17,ef_com_00100_002_007_00,
#,,,#【公園・内部A】,
5,女の子,0,お姉ちゃんたち、<br>またいっぱい遊んでねー！,900590002,10,
6,男の子,0,バイバーイ！,900580011,10,
7,結標たち,0,「はーい、さようなら♪」,0,10,,
#,,,#SE（走り去る足音）,,,,
8,月詠 小萌,6000101,ふたりとも慣れたものですね。<br>先生なんだか感心しちゃったのです。,900060010,11,,
9,泡浮 万彬,55000101,そんな……大したことはしておりませんわ。<br>子供たちも良い子ばかりですし。,900550002,10,
10,湾内 絹保,53000101,それに結標様の熱意に比べれば<br><ruby>私</ruby>たちなんてまだまだですもの。,900530006,11,,
11,結標 淡希,17000101,あら、買いかぶりすぎじゃないかしら。<br>私はただ、子供たちと遊ぶのが好きなだけよ。,900170002,12,
12,月詠 小萌,6000101,みんなとっても偉いのです！,900060010,12,ef_com_00100_002_000_00,
13,月詠 小萌,6000101,こういう<ruby>置き去り</ruby>施設での活動を、自ら進んで続ける<br>ということはなかなかできることではないのですよ。,900060006,11,,
14,月詠 小萌,6000101,最近、盛夏祭で行われたチャリティをはじめ<br>様々な寄付を受けたことで。,0,10,
15,月詠 小萌,6000101,子供たちが過ごしやすい環境が少しずつ整ってきている<br>ようですが……それでも、まだこれからなのです。,900060005,10,
16,結標 淡希,17000101,……盛夏祭？,900170003,15,ef_com_00100_002_002_00,
17,湾内 絹保,53000101,『盛夏祭』は、年に一度だけ開放される常磐台女子寮の<br>イベントなのですが、先日行われたものは,900530006,10,
18,湾内 絹保,53000101,寮生全員がメイド服を着用しておもてなしをするという<br>内容で……なんだかもう懐かしいですわね。,900530002,11,
19,結標 淡希,17000101,寮生全員がメイド服……。,900170003,11,ef_com_00100_002_006_00,
20,湾内 絹保,53000101,そういえば泡浮さん、あの時婚后さんに頂いた<br>『純和風メイド服』？　はどうされました？,900530003,10,
21,泡浮 万彬,55000101,実はクローゼットにしまったままなのです。せっかく<br>頂いたのに申し訳ないと思いつつ着る機会がなくて……。,900550018,10,
22,湾内 絹保,53000101,<ruby>私</ruby>もです……あの時は恥ずかしくて着用できなかったの<br>ですが、いっそ一緒に着ておけば良かったですわね。,900530004,10,ef_com_00100_002_001_00,
23,土御門 元春,3000101,そんな君たちに朗報だにゃー！,900030028,10,
24,泡浮たち,0,「！？」,,15,,
25,土御門 元春,3000101,メイド喫茶のバイトに興味はないかにゃー？,900030029,11,
#,,,#【時間経過】,
26,月詠 小萌,6000101,もう……いきなり現れてそんなことを言われても、<br>唐突すぎて意味がわからないのです！,900060018,13,ef_com_00100_002_005_00,
