#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,Chapter8,
#,,,主神の衝撃,,,,
#,,,#【学園都市・駅前・昼】,
1,,,そして『全世界同時配信超大型ライブ』当日――。,
2,エステル,92000101,い、いよいよ、ライブ当日だな。,900920002,11,
3,エステル,92000101,今回は計画的にグッズを購入するため、<br>事前に物販リストを入手済！,,12,ef_com_00100_002_000_00,
4,禍斗,98000801,しかし<ruby>ご主人様</ruby>、このリスト……<br>こんなに買うつもりですか？,900980018,10,ef_com_00100_002_004_00,
5,エステル,92000101,こんな大規模なライブ、<br>次にまたいつあるかわからないのだぞ！,900920011,12,
6,エステル,92000101,今の私には自重という言葉はない！,,12,ef_com_00100_002_007_00,
7,禍斗,98000801,…………。,900980015,15,ef_com_00100_002_006_00,
#,,,#【ネセサリウス女子寮・内部・昼】,,,,
#,,,,,,,
8,芳川 桔梗,54000101,<ruby>一方通行</ruby>、出番も近いし、<br>そろそろ緊張してきた？,900540029,10,ef_com_00100_002_002_00,
9,一方通行,13001601,誰にもの言ってンだ？<br>こンなライブごときで緊張するかよ。,900130008,11,
10,芳川 桔梗,54000101,あら、そう？　あなたが緊張してると思って、<br>お友だちが元気づけに来てくれたのに。,900540001,11,
11,一方通行,13001601,は？　嫌な予感がする……。,900130018,23,ef_com_00100_002_006_00,
12,土御門 元春,3000201,お友だちを応援しに来たぜい。,900030001,10,ef_com_00100_002_000_00,
13,海原 光貴,12000201,ええ、お友だちの世界デビューですからね、<br>これは伺わないわけにはいきません。,900120001,12,ef_com_00100_002_000_00,
14,結標 淡希,17000101,そうそう。世界的なアイドルになってしまったら、<br>もう口も利いてもらえないかもしれないものね。,900170012,14,ef_com_00100_002_003_00,
15,土御門 元春,3000201,まさかー！<br><ruby>一方通行</ruby>がそんな薄情な人のわけがないにゃー。,900030002,12,ef_com_00100_002_000_00,
16,海原 光貴,12000201,そうですよ！<br><ruby>一方通行</ruby>はそんな人じゃありません。,900120006,12,ef_com_00100_002_000_00,
17,結標 淡希,17000101,ごめんなさい！　私が間違ってた。<br>そうよね、<ruby>一方通行</ruby>はそんな人じゃないわよね。,900170005,14,ef_com_00100_002_000_00,
18,一方通行,13001601,……オマエたち、<br>いつまでその小芝居続けるつもりだ？,900130018,20,ef_com_00100_002_006_00,
19,一方通行,13001601,そンなことをしに来たンなら、<br>さっさと帰れ！,,13,ef_com_00100_002_005_00,
20,結標 淡希,17000101,実は相談があるのだけど――。,900170029,10,
21,一方通行,13001601,またか。言っとくけどな、短パンをはいた<br>バックダンサーが出てきたりはしねェからな。,900130008,23,ef_com_00100_002_006_00,
22,結標 淡希,17000101,……！,900170011,15,ef_com_00100_002_003_00,
23,一方通行,13001601,なにショック受けてンだよ！,900130015,20,
24,土御門 元春,3000201,違うにゃー。相談というのは、<br>３人分の席を用意して欲しいってことなんだぜい。,900030007,10,
25,海原 光貴,12000201,今回のライブ、チケットの争奪戦が激しくて、<br>入手できなかったんです。,900120023,14,
26,土御門 元春,3000201,ほら、こーいう時のために<br>関係者席とか確保してあるって聞くんだぜい。,900030006,12,
27,一方通行,13001601,…………。,,23,
28,土御門 元春,3000201,あ、あれ？<br>どこに行くんだにゃー？,900030028,15,ef_com_00100_002_003_00,
29,一方通行,13001601,オマエたちの相手してる暇はねェンだよ。<br>……俺はステージの様子見てくる。,900130015,22,
#,,,#【ライブ会場】,
30,一方通行,13001601,オティヌスのリハ中か。<br>なンだ、あの妙なギターは……。,,23,,
31,オティヌス,45000901,今この瞬間、見ているのだろう？<br><ruby>一方通行</ruby>、そして学園都市のアイドルたちよ。,900450002,11,,
32,オティヌス,45000901,私をただの『アイドル』程度で収まる器と思うなよ。<br>今から世界へ見せてやる。,,10,
33,オティヌス,45000901,奏でよ、<ruby>主神の槍</ruby>！<br>これが、オティヌスだ！！！！,,10,ef_com_00100_002_007_00,
34,一方通行,13001601,……！,,16,,
35,一方通行,13001601,なンだ、この衝撃……！<br>まだリハーサルでこれ、だと……？,900130017,16,,
#,,,#【ネセサリウス女子寮・内部・昼】,,,,
36,垣根 帝督,42000701,……これが……世界……<br>これが俺たちが闘おうとしている相手なのか。,900420022,15,ef_com_00100_002_004_00,
37,フレンダ,19000701,結局こんなの見せられたら<br>前座扱いされるのもわかるって訳よ。,900190016,14,
38,麦野 沈利,11000801,フレンダ！,900110025,13,ef_com_00100_002_003_00,
39,絹旗 最愛,18000801,なら、オティヌス相手に勝つ自信が<br>超あるって言い切れますか？,900180028,11,
40,麦野 沈利,11000801,それは……。,900110015,14,ef_com_00100_002_004_00,
#,,,#【ライブ会場】,
41,打ち止め,22000101,…………。,,14,ef_com_00100_002_006_00,
42,一方通行,13001601,なンだよ、クソガキ。<br>いつからそこにいるンだ？,900130029,16,
43,打ち止め,22000101,あなたのそんな表情見るの、<br>初めてかもしれない。,900220019,14,ef_com_00100_002_004_00,
44,打ち止め,22000101,ってミサカはミサカは<br>ちょっと不安になってみたり。,,14,
45,一方通行,13001601,……そンな目で見ンじゃねェよ。,900130012,22,
46,打ち止め,22000101,でも！,900220027,14,ef_com_00100_002_003_00,
47,一方通行,13001601,安心しろ。<br>俺はこの程度で潰されたりはしねェよ。,900130008,11,
48,一方通行,13001601,オティヌス……<br>ふっ、思ったよりやるじゃねェか。,,12,
#,,,#end,

