#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,少女と少年を繋ぐ物,,,,
#,,,#【公園・全景・昼】,
1,食蜂 操祈,10000201,（っ、風がすっかり冷たいわねぇ）,1,11,,
2,食蜂 操祈,10000201,（今は１１月末だもの……<br>あの夏の面影なんて、微塵も感じられないわぁ）,1,10,
3,食蜂 操祈,10000201,（だけど、何気ない思い出の残滓なら、<br>そこかしこに染み付いている）,1,11,,
4,食蜂 操祈,10000201,（この公園もそうだったわねぇ）,1,10,ef_com_00100_002_001_00,
#,,,#【場面転換】,
#,,,#【公園・内部Ｂ・昼】,
5,上条 当麻,1000101,催眠術だって！　『センパイ』からもらったこのノートが<br>あれば何でも人に言う事を聞かせられるんだとか！！,1,12,ef_com_00100_002_000_00,
6,食蜂 操祈,10001101,さいみんじゅつぅ？？？,1,15,ef_com_00100_002_004_00,
7,上条 当麻,1000101,やっぱり『センパイ』はすごいなあ。<br>女子高生ってのは何でもできるんだな！,1,12,
8,上条 当麻,1000101,バイクも乗れるし、どんな相談だって<br>涼しい顔で答えてくれるし。,1,11,
9,上条 当麻,1000101,やっぱ中学生から高校生に一歩踏み出すってのは<br>とんでもねえ事なんだ。オトナだよなあ！！,1,12,ef_com_00100_002_007_00,
10,食蜂 操祈,10001101,ああん！？　さっきから腹立つ言い方ねぇ！！,1,13,ef_com_00100_002_005_00,
11,食蜂 操祈,10001101,（まったく、こっちはようやく中学生になったってのに。<br>……けど、さっき『相談』って言ったわよねぇ）,1,13,
12,食蜂 操祈,10001101,（うーん……。ひょっとして私に話を合わせるために、<br>心理学関係のお勉強でもしてくれているのかしらぁ？）,1,11,
13,上条 当麻,1000101,一回、一回だけ試してみたい！<br>ちょっと試すだけだから！！,1,12,
14,食蜂 操祈,10001101,別に良いけどぉ、じゃあ成功したら代わりなさいよ。<br>私もあなたに同じ事するからぁ。,1,20,ef_com_00100_002_006_00,
15,上条 当麻,1000101,じゃあ行くぞ。えーと……まずは<br>この振り子をきちんと凝視してください、っと……。,1,11,
16,上条 当麻,1000101,見せかけてからのドーン！！<br>……かかった？　リ、リラックスしてくださーい。,1,21,,
17,食蜂 操祈,10001101,（こんなので人を操れれば苦労しないわよぉ！！）,1,11,ef_com_00100_002_004_00,
18,食蜂 操祈,10001101,……。,1,11,
19,上条 当麻,1000101,ちゃんとかかった……。すごい、やっぱり『先輩』の<br>『雲川芹亜のさいみん☆ノート』は本物だったんだ！,1,12,
20,上条 当麻,1000101,本当にとんでもないなあ。女子高生っていうのは<br>何でもできるんだなあ、オトナだなあ！！,1,12,ef_com_00100_002_007_00,
21,食蜂 操祈,10001101,（ああん！？　私が努力して<ruby=・　>あ</ruby><ruby=・　>の</ruby><ruby=・　>年</ruby><ruby=・　>増</ruby>の株が<br>上がるってどういう訳ぇ！？）,1,11,ef_com_00100_002_005_00,
22,上条 当麻,1000101,えーと、それじゃあ最初の命令。,1,11,
23,上条 当麻,1000101,あなたは今すぐ立ち上がって、<br>両手で自分のスカートをめくりたくなる。,1,22,
24,食蜂 操祈,10001101,……っっっ！！！？？？,1,11,ef_com_00100_002_003_00,
25,食蜂 操祈,10001101,（こっ、こいっ、こいつ……っ、成功したと思って<br>安心した途端にド級の欲望を曝け出してきたわねぇ！？）,1,11,
26,上条 当麻,1000101,あれ……上手くいかないな。　まずこれを<br>試さなくちゃ駄目ってこのノートに書いてあるのに……。,1,21,
27,上条 当麻,1000101,で、でもまずいぞ……。催眠に失敗しているのに<br>だらりーんってなってるのってまずくないか！？,1,15,ef_com_00100_002_003_00,
28,上条 当麻,1000101,ああくそ、どこだ、催眠を止める……<br>解くのってどのページだ……っ！？,1,15,
29,食蜂 操祈,10001101,（こらーっ！！　人の心と体を使うんだったら、<br>一通り目を通してから試しなさいよぉ！！）,1,11,ef_com_00100_002_005_00,
30,上条 当麻,1000101,あった！　……なになに、緊急時の催眠解除方法。,1,15,
31,上条 当麻,1000101,催眠の失敗は、場合によっては記憶や人格に壊滅的被害を<br>もたらすので、緊急解除を実行する際は躊躇しない事。,1,11,
32,上条 当麻,1000101,ただし強く呼びかけたり、頬を叩いても効果なし。命令を<br>拒む力を生み出す『恥』の感情を最大限に膨らませる事。,1,10,
33,食蜂 操祈,10001101,（……え、ちょっと）,1,11,
34,上条 当麻,1000101,例えば、ぱんつを脱がすとか。,1,22,
35,食蜂 操祈,10001101,はァァァァァァあああああああああああああああああああ<br>ああああああああああああああああああああ！！！！！！,1,15,ef_com_00100_002_005_00,
#,,,#【場面転換】,
36,食蜂 操祈,10000201,（…………………………………………ついに感極まって、<br>あの人の頭をハンドバッグで殴りつけちゃったのよねぇ）,1,20,ef_com_00100_002_004_00,
37,食蜂 操祈,10000201,（いいえ、あの人は何も悪くない。悪いのは<br>あの年増であって、あの人は騙されただけのはずよぉ）,1,11,
38,食蜂 操祈,10000201,（……それにしても、ここでは、<br>あれ以外にも思い出があったわねぇ）,1,10,
#,,,#【場面転換】,
39,食蜂 操祈,10001101,……。,1,20,ef_com_00100_002_006_00,
40,上条 当麻,1000101,うわあ、うわあ、うわあーっっっ！！<br>お前、何で鳩まみれになってるんだっ！？,1,15,ef_com_00100_002_003_00,
41,上条 当麻,1000101,飲み物が欲しくてちょっと目を離した隙にこれだよ！<br>お前、一体全体何やってるんだ！？,1,21,
42,食蜂 操祈,10001101,ちょ、い、今のは私のせいじゃないでしょぉ！？<br>ポップコーンを持っていたら鳩に襲われたのよぉ！,1,13,ef_com_00100_002_003_00,
43,上条 当麻,1000101,……お前、もう単純な運動音痴とか<br>そういう次元じゃないな。,1,11,ef_com_00100_002_006_00,
44,食蜂 操祈,10001101,なっ！？,1,26,ef_com_00100_002_003_00,
45,上条 当麻,1000101,何だろう、この親近感。お前、ひょっとしたら<br>俺と同じで不幸体質なんじゃあ……。,1,10,
46,食蜂 操祈,10001101,何事においてもパーフェクトな女王様の食蜂操祈の<br>ステータスにそんなものある訳がないでしょぉ！？,1,26,ef_com_00100_002_003_00,
47,上条 当麻,1000101,はぁ……。えーと、確か鞄の中に良いものがあったな。,1,11,
48,上条 当麻,1000101,ほら、なんかの訓練でもらった笛だから、持っとけ。,1,10,
49,上条 当麻,1000101,お前はこういうのを備えていないと駄目だ。<br>こっちが心配になる。,1,11,
50,食蜂 操祈,10001101,何よそれぇ……。,1,20,ef_com_00100_002_004_00,
51,上条 当麻,1000101,ヤバくなったらそいつを使えよ。ひょっとしたら、<br>助けてやれるチャンスも増えるかもしれない。,1,10,
52,食蜂 操祈,10001101,（……、とりあえず手に取っちゃってる辺り、<br>私もかなり飼い慣らされているわねぇ）,1,11,ef_com_00100_002_006_00,
53,食蜂 操祈,10001101,（……あら？　これって中古力、っていうか、<br>間接キスとかになっちゃうのかしらぁ？）,1,15,ef_com_00100_002_004_00,
54,上条 当麻,1000101,ふあぁ～あ……。,1,11,
55,食蜂 操祈,10001101,（人の気も知らずに呑気力全開であくびなんかして……<br>ぶっ飛ばしてやろうかしらぁ）,1,20,ef_com_00100_002_006_00,
56,食蜂 操祈,10001101,（まあでも、わざわざ透明な袋に入っていたんだもの。<br>持て余した新品だろうし、吹いてみるかしらぁ）,1,20,
57,食蜂 操祈,10001101,こんな安っぽいホイッスル、何の役に立つのかしらねぇ。,1,11,,
58,上条 当麻,1000101,さあな。<br>でも普通に悲鳴を出すよりも喉を傷めないで済むぞ。,1,10,
59,上条 当麻,1000101,一度だけ試してみたけどかなりうるさい音が出たし。,1,11,
60,食蜂 操祈,10001101,～～～～～～～～～～っっっ！！！？？？,1,26,ef_com_00100_002_003_00,
61,食蜂 操祈,10001101,（やっぱり間接キスは間接キスじゃない！！）,1,15,
#,,,#【場面転換】,,,,
#,,,#【公園・全景・昼】,
62,食蜂 操祈,10000201,はあ……。,1,20,ef_com_00100_002_006_00,
63,食蜂 操祈,10000201,（あの時の防災ホイッスルは、なんだかんだで今も<br>ハンドバッグの中にあるわ。使う場面はなかったけどぉ）,1,11,
64,食蜂 操祈,10000201,（……かといって捨てる理由も特にない。全ての繋がりを<br>切り捨てるほど、未練を断ち切れた訳でもないのねぇ）,1,11,
65,食蜂 操祈,10000201,（どうしても御坂さんが気に食わない理由っていうのも、<br>この辺りの『思い出』が絡んでいるかもしれないわねぇ）,1,24,
66,食蜂 操祈,10000201,（年上の男子と常盤台のお嬢様。<br>自慢の能力が全く通用しない。間接キス……）,1,11,
67,食蜂 操祈,10000201,（どれもこれも似ている。『記憶の問題』さえなければ、<br>そこにいたのは自分じゃないかと疑いたいくらいにねぇ）,1,11,
68,食蜂 操祈,10000201,（未練がましいとは思っている。かと言って、<br>もう自分の頭にリモコンを突き付けるつもりもないわぁ）,1,24,
69,食蜂 操祈,10000201,（全てを忘れるという選択は、もう捨てたんだからぁ）,1,24,
70,食蜂 操祈,10000201,やれやれ……。,1,11,,
#,,,#【暗転】,
#,,,#【学園都市・路地裏・昼】,
71,食蜂 操祈,10000201,（……そういえば、この路地だったわねぇ）,1,24,,
72,食蜂 操祈,10000201,（これもまた、御坂さんとあの人が辿った道のりと<br>似通っているのかもしれないわぁ）,1,11,
73,食蜂 操祈,10000201,（私の前に、私が<ruby>超能力者</ruby>でなければ<br>接点もなかった事件が立ち塞がって――）,1,24,,
74,食蜂 操祈,10000201,（それに、あの人と共に挑んでいる）,1,11,
#,,,#END,
