#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: フェス仕様メタ話 チャプター04,
#,,,奇抜な催事,
#,,,#【パーティー会場（仮）】,
1,土御門 元春,3000601,という事で引き続きイベントについて話していく訳だが、<br>印象に残ってるイベントはあったりするかにゃー？,1,10,
2,白井 黒子,5000701,シリアスもあり、ハートフルなものやコメディを<br>前面に押し出すものもあり、本当に色々ありますわね。,1,11,,
3,食蜂 操祈,10001201,そういえばぁ、乱暴力な御坂さんに<br>ぴったりな催し物がなかったかしらぁ？,1,10,,
4,上条 当麻,1002001,あーー。<br>例の自販機を蹴りまくったアレの事か。,1,10,,
5,上条 当麻,1002001,いやーよく覚えてたな。<br>えっと……蜂蜜色の髪をしたアンタ。,1,11,,
6,食蜂 操祈,10001201,ふふん、褒めて貰えて嬉しいわぁ♪,1,12,ef_com_00100_002_000_00,
#,,,#イベント画像より1。,
#,,,#とある電撃姫の蹴自販機 イベントロゴ,
7,白井 黒子,5000701,今話題に上がったのは『とある電撃姫の<ruby=キックジハンキ>蹴自販機</ruby>』、<br>『<ruby=イマジナリーフェスト>幻想収束</ruby>』０．５周年の記念イベントですわね。,1,10,,
8,御坂 美琴,4002501,あーそんな事もあったわねぇ。,1,11,,
9,御坂 美琴,4002501,というか、私＝自販機を蹴る女って認識なの？<br>私のイメージってどうなってる訳？,1,15,ef_com_00100_002_002_00,
10,上条 当麻,1002001,いやいや、胸に手を当てて自分の行いを振り返りなさい。,1,21,
11,上条 当麻,1002001,むしろ俺はあの自販機に同情するよ。<br>今にも壊れるんじゃないかってヒヤヒヤしてる。,1,14,
12,御坂 美琴,4002501,ち、ちゃんと私は加減してるわよ！<br>そもそもあれは、ちゃんと由来があって……。,1,17,ef_com_00100_002_003_00,
#,,,#【パーティー会場（仮）】,
13,土御門 元春,3000601,とまぁそんな感じで、ネタに振り切ったイベント<br>ってのも『<ruby=イマジナリーフェスト>幻想収束</ruby>』の醍醐味の一つなんだぜい。,1,12,,
14,インデックス,2002101,ところで、とうま。<br>自分の事を棚上げにするのは良くないと思うんだよ？,1,13,,
15,上条 当麻,1002001,はい？　いきなり何だよインデックス？,1,15,ef_com_00100_002_002_00,
16,インデックス,2002101,だって、とうまもスイカをいっぱい叩き割っていたよね？,1,13,
#,,,#イベント画像より2。,
#,,,#とある周年の遠隔西瓜割り イベントロゴ,
17,白井 黒子,5000701,それは一周年記念イベントの一環として行われた<br>『とある周年の<ruby=リモートスイカブレイカー>遠隔西瓜割り<ruby>』の事ですわね。,1,11,,
18,インデックス,2002101,スイカは食べるものだって私は言ったのに、<br>とうまはそれを聞かずに……。,1,13,
19,上条 当麻,1002001,魔術で大きくなったスイカをどうしろと！？<br>お前だって逃げてたじゃねぇか！,1,21,ef_com_00100_002_003_00,
#,,,#【パーティー会場（仮）】,
20,食蜂 操祈,10001201,ふぅん。私のいない所で、<br>突拍子もない事が起きていたみたいねぇ。,1,10,,
21,御坂 美琴,4002501,まったく、次から次へと。<br>ホント退屈しないわねー……。,1,11,
22,土御門 元春,3000601,そして、今までのイベントを置き去りにするほど<br>強烈なのが、最近もあっただろう？,1,10,
23,上条 当麻,1002001,あー……。<br>もしかしてエイプリルフールの時のヤツか？,1,10,,
#,,,#イベント画像より3。,
#,,,#とある偶像の豪華饗宴 イベントロゴ,
24,土御門 元春,3000601,ああ。その名も『とある<ruby=アイドル>偶像</ruby>の<ruby=ドリームライブ>豪華饗宴</ruby>』！,1,12,,
25,土御門 元春,3000601,ぷっ、ふははっ。まさか『<ruby>一方通行</ruby>さま』を<br>拝めるなんてな。最っ高に笑わせてもらったにゃー。,1,17,ef_com_00100_002_000_00,
26,上条 当麻,1002001,うーん？　でもアレは夢だったはずじゃ……？,1,11,,
#,,,#【黒バック】,
27,インデックス,2002101,なになに！？　急に真っ暗になったんだよ！？,1,15,,
28,白井 黒子,5000701,機材トラブル……？<br>すぐにスタッフが確認いたしますので、お待ちを――。,1,15,,
29,垣根 帝督,42000701,テメェら、待たせたな！<br>俺の<ruby>未元物質</ruby>に常識は通用しねえ！,1,12,ef_com_00100_002_000_00,
#,,,#【パーティー会場（仮）】,
30,垣根 帝督,42000701,第一位の座もテメェらの心もすべて俺のものだ！！<br>さぁ、サプライズライブを始め――。,1,12,
31,麦野 沈利,11000801,テメェはお呼びじゃないね！,1,13,,
32,垣根 帝督,42000701,な、ごがっ！？,1,15,,
33,麦野 沈利,11000801,ここからは私達ＩＴＥＭの単独ライブさ！,1,12,,
34,麦野 沈利,11000801,よーく見ておきなさい！<br>トップアイドルが誰なのか思い知らせてあげるわ！,1,12,
35,麦野 沈利,11000801,私たちのパフォーマンスで……。<br>オマエらのハート、溶かし尽くしてやるぜぇええ――！！,1,12,ef_com_00100_002_000_00,
36,土御門 元春,3000601,な、何ですたいこれは！？<br>こんなの予定に入ってないにゃー！？,1,15,,
37,白井 黒子,5000701,スタッフ各位に通達。<br>即刻あの不届き者を排除いたしますわよ！,1,20,,
38,麦野 沈利,11000801,アァ！？　離せオラァ！！<br>私たちのライブを邪魔するなぁ！　歌わせろォォおおお！,1,15,,
#,,,#【暗転】,
39,土御門 元春,3000601,ふぅ、危ない危ない。危うく二周年パーティーが<br>アイドルライブになるところだったぜよ。,1,14,
40,土御門 元春,3000601,あ、そこのお二人さん。残念だが、<ruby>一方通行</ruby>は来ないから<br>カメラをしまって下がってもらえるかにゃー？,1,14,ef_com_00100_002_001_00,
41,エステルたち,,「！？」,900920030,,,
42,土御門 元春,3000601,いやぁ、とんだハプニングはあったが、<br>二周年パーティーはまだまだ続くぜい！,1,10,,
#,,,#【場面転換】,
#,,,#【学園都市・黄泉川愛穂アパート（室内）・室内ライト】,
43,打ち止め,22000101,あのねあのね、今あなたの名前が出ていたんだけど、<br>ってミサカはミサカは期待の眼差しを向けてみたり。,1,21,ef_com_00100_002_007_00,
44,一方通行,13000201,やめろ。俺に話を振るンじゃねェ。,1,23,ef_com_00100_002_006_00,
#,,,#END,

























































































































