#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,驚きのサンタ,,,,
#,,,#【学園都市_駅前（夜）】,,,,
1,ドリー,176000801,みーちゃんにわたされたちずによると……。,901760004,10,
2,ドリー,176000801,あ、あそこのホテルっぽい。,0,20,ef_com_00100_002_001_00,
#,,,#【ネセサリウス女子寮_内部（昼）】,
3,ドリー,176000801,みーちゃん？　はいるよー。,901760001,12,,
#,,,,,,,
4,食蜂たち,,「メリークリスマース！！」,0,,,
5,ドリー,176000801,うわぁ！！,901760030,15,
6,ドリー,176000801,みーちゃん！？　みさきちゃんも！！<br>かわいー。サンタさんだね。,0,22,ef_com_00100_002_000_00,
7,警策 看取,139000801,ちょっと早いケド、<br>みんなでクリスマスパーティーやろうかなーって。,901390002,11,
8,ドリー,176000801,すっごーい！<br>じゅんびしてくれたんだね。,901760009,22,
9,食蜂 操祈,10001401,ドリーのお願いだもん、当たり前でしょぉ。,900100006,12,
10,ドリー,176000801,みーちゃん……みさきちゃん……<br>……いつもありがとう！！,901760011,17,ef_com_00100_002_000_00,
11,警策 看取,139000801,向こうの部屋にクリスマスツリーも飾ってあるよ。<br>見に行く？,901390029,10,
12,ドリー,176000801,ほんと！？<br>うん。みたいみたい！,901760006,22,,
#,,,,,,,
13,食蜂 操祈,10001401,さてと、今のうちに……。,900100005,11,
14,ドリー,176000801,わぁ！！！　大きいクリスマスツリー！,901760009,15,,
15,警策 看取,139000801,すごいでしょー。,901390005,20,,
16,食蜂 操祈,10001401,ほんと、子供みたいねぇ。,900100002,12,ef_com_00100_002_000_00,
17,ドリー,176000801,すごいすごい！<br>ねぇ、みーちゃん、うちにもツリー飾ろうよ！,901760011,22,,
18,警策 看取,139000801,そうね。じゃあ、用意するから、<br>その時はドリー、自分で飾りつけしてみる？,901390002,10,,
19,ドリー,176000801,うん、やりたいやりたい！,901760006,22,,
20,食蜂 操祈,10001401,（よし、準備完了よぉ）,900100009,10,
#,,,,,,,
21,ドリー,176000801,みさきちゃん！<br>みーちゃんがクリスマスツリーを……。,901760029,12,,
22,ドリー,176000801,わぁ、おりょうりもあるー。,0,10,ef_com_00100_002_000_00,
23,食蜂 操祈,10001401,あとは、そろそろケーキも届くはずだから……。,900100005,10,
#,,,,,,,
24,ドリー,176000801,うわぁ！！,901760030,15,ef_com_00100_002_003_00,
25,警策 看取,139000801,なんか、ベランダですごい音が……。,901390030,21,ef_com_00100_002_004_00,
26,削板 軍覇,102000701,よぉ！<br>サンタさん登場だ！,901020001,12,ef_com_00100_002_000_00,
27,食蜂たち,,「第七位！？」,0,,,
28,削板 軍覇,102000701,ほら、ケーキのデリバリーだぜ。,901020004,10,
29,食蜂 操祈,10001401,ちょっとぉ、ここ何階だと思ってるのぉ！？<br>っていうか、本当に空からきたのぉ？,900100029,15,ef_com_00100_002_004_00,
30,削板 軍覇,102000701,おうよ。<br>まぁこのくらいラクショーだぜ。,901020006,12,
31,ドリー,176000801,すごーい、サンタがそらからきたー。,901760009,22,ef_com_00100_002_000_00,
32,削板 軍覇,102000701,ケーキもちゃんと崩れないように持ってきたからな。<br>パーティー楽しめよ！,901020028,12,
33,ドリー,176000801,サンタさん！　ありがとう！！,901760011,22,
34,警策 看取,139000801,ケドなんで、<br>第七位がこんな事してんの……？,901390029,21,ef_com_00100_002_004_00,
35,削板 軍覇,102000701,まぁ固い事言うなって、じゃ、俺は次に行くぜ。<br>じゃあなぁ！,901020002,10,,
#,,,#END,
