#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,サンタ代行,,,,
#,,,#【建設中のビル（夜）】,,,,
1,結標 淡希,17000101,危機を察知して、潜伏先を色々変更した結果、<br>この玩具倉庫を選んだみたいだけど……。,900170015,11,
2,結標 淡希,17000101,言ったはずよ。<br>どこに逃げても無駄だって。,,10,
3,黒服,508000106,くそっ！<br>こうなったら……っ！,905080026,16,ef_com_00100_002_003_00,
4,海原 光貴,12000201,仲間を呼んでも無駄ですよ。<br>そっちも片づけましたから。,900120002,12,,
5,土御門 元春,3000201,何から何までお粗末なお前には、<br>洗いざらい喋ってもらうからな。,900030015,13,,
6,黒服,508000106,うっ……<br>ぐはぁっ！,905080027,13,,
7,土御門 元春,3000201,……って、ありゃ？,900030018,15,ef_com_00100_002_002_00,
8,一方通行,13000201,めンどくせェ。そういうのは<br>こいつを引き渡した先でやらせりゃいいンだよ。,900130024,20,ef_com_00100_002_006_00,
9,一方通行,13000201,これで任務完了なンだろ？<br>さっさと、コイツらの回収、手配しとけよ。,,22,
#,,,#　時間経過演出,
#,,,#【建設中のビル（夜）】,,,,
10,海原 光貴,12000201,引き渡し完了しました。<br>……それにしてもこの倉庫、物が多いですね。,900120005,10,,
11,結標 淡希,17000101,隠れ処を慌てて用意しようと、半ば強奪に近い形で<br>玩具会社を買収して立ち退かせたみたいよ。,900170018,20,,
12,海原 光貴,12000201,なるほど。よっぽど慌ててたんですね。<br>退去整理させる時間も与えないなんて。,900120004,11,
13,土御門 元春,3000201,無駄なことするぜい。<br>不自然な金の動きが一番足がつきやすいってのに。,900030024,14,ef_com_00100_002_004_00,
14,土御門 元春,3000201,んで、物が多いはずだぜ、この辺、<br>クリスマス用のおもちゃばっかりだにゃー。,,10,ef_com_00100_002_001_00,
15,土御門 元春,3000201,こんな時期からもう準備なんて<br>いやぁ子供を相手にした商売って言うのも大変ぜよ。,,14,
16,海原 光貴,12000201,クリスマスですか……。<br>ん、なにか書類が落ちてますね。,900120003,12,ef_com_00100_002_001_00,
17,結標 淡希,17000101,書類？<br>……何かのリストみたいね。,900170003,10,ef_com_00100_002_002_00,
18,海原 光貴,12000201,皆さん待ってください！<br>このリストは……。,900120028,21,
19,一方通行,13000201,あァ？　リストが何だってンだ？,900130030,20,ef_com_00100_002_002_00,
20,海原 光貴,12000201,どうやら、急遽立ち退きさせた所為で<br>手配が終わらなかった玩具の配達先みたいです。,900120004,10,
21,一方通行,13000201,……別に俺らに関係ねェだろォがよ。,900130025,22,ef_com_00100_002_006_00,
22,結標 淡希,17000101,しかも、この配達先……<br><ruby>置き去り</ruby>の施設や病院ばかりね。,900170030,11,,
23,海原 光貴,12000201,自分たちの責任ではないとはいえ、<br>知ってしまうと気まずいですね。,900120023,14,ef_com_00100_002_004_00,
24,結標 淡希,17000101,…………。,900170015,14,ef_com_00100_002_006_00,
25,土御門 元春,3000201,…………っ！！,,12,ef_com_00100_002_001_00,
26,土御門 元春,3000201,知ってしまった以上、オレたちが<br>代わりに配るってのがスジだと思うにゃー。,900030023,10,
27,結標 淡希,17000101,そうね……。<br>そうすれば、子供たちも悲しまなくて済むわね。,900170005,12,ef_com_00100_002_007_00,
28,土御門 元春,3000201,そうだろう、そうだろう。<br>そこで、さっき見つけたこの衣装の出番だ。,900030006,12,
29,土御門 元春,3000201,やるからには素性を隠さないとにゃー。<br>さぁ、みんな着替えるぜよ。,,10,ef_com_00100_002_000_00,
#,,,#　時間経過演出,
#,,,#【建設中のビル（夜）】,,,,
30,土御門 元春,3000801,みんな、着替えたみたいだにゃー。,900030009,10,,
31,土御門 元春,3000801,いやぁ、くっくっく……。<br>思った以上に<ruby>一方通行</ruby>も似合ってるぜい。,,12,ef_com_00100_002_000_00,
32,一方通行,13001801,うすうす、分かっちゃいたが<br>……オマエ、面白がってるだけだろ！,900130028,20,ef_com_00100_002_005_00,
33,一方通行,13001801,こンなンやってられるかよ！,,13,
34,結標 淡希,17000701,だめよ、<ruby>一方通行</ruby>。<br>罪もない子供たちが悲しむわ！,900170007,14,ef_com_00100_002_003_00,
35,海原 光貴,12000701,気持ちは多少わかりますが、<br>落ち着きましょう！,900120006,14,
36,土御門 元春,3000801,こりゃ、配達の前に<br>まずは説得が必要そうだにゃー。,900030002,12,
#,,,#END,
