#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,協力な助っ人の登場,,,,
#,,,#【上条の学生寮（上条当麻の部屋）昼】,
1,,,――翌日。,0,
2,五和,30000201,それで、今日は重大な任務の助っ人として<br>呼び出されたはずなんですが。,900300001,11,
3,五和,30000201,私は一体何をすれば……？,0,10,
4,上条 当麻,1000201,なるほど……<br>最高の人材って五和のことだったのか。,900010004,10,
5,五和,30000201,えっ、それってどういう――。,900300029,15,ef_com_00100_002_003_00,
#,,,#SE（ドアの開閉音）,,,,
6,土御門 舞夏,39000201,待たせたなー、材料の確認をしていたら<br>思ったよりも時間がかかってしまっ――。,900390001,10,
7,土御門 舞夏,39000201,……むっ！？,0,15,ef_com_00100_002_001_00,
8,土御門 舞夏,39000201,おぬしはまさか<br>いつぞやに出会った乾燥ホタテの！？,0,10,
9,五和,30000201,は、はひっ！,900300030,15,ef_com_00100_002_003_00,
10,土御門 舞夏,39000201,だが、何故ここに……。,900390006,11,
11,五和,30000201,え、えっと<br>それが私にもよくわからなくて……。,900300007,15,ef_com_00100_002_006_00,
12,上条 当麻,1000201,あー……、五和は知り合いの紹介で手伝いに来た<br>スイーツ研究の助っ人らしい。,900010006,10,
13,土御門 舞夏,39000201,なに、それは本当かー！？,900390030,15,ef_com_00100_002_000_00,
14,五和,30000201,えっと、私も今初めて知りました……。,900300005,15,ef_com_00100_002_004_00,
15,インデックス,2000101,いつわも参加するなら、<br>美味しいお菓子の味見がたくさんできちゃうかも！,900020011,15,ef_com_00100_002_007_00,
16,上条 当麻,1000201,（味見以外もちゃんと協力しましょうね、<br>インデックスさん……）,0,21,ef_com_00100_002_004_00,
#,,,#【時間経過】,
17,五和,30000201,なるほど……『究極のスイーツ』作りですか。,900300003,11,
18,五和,30000201,状況と主旨は理解できたのですが<br>それってかなり繊細な作業になりますよね。,0,14,ef_com_00100_002_004_00,
19,五和,30000201,プロのパティシエでもない私なんかに<br>そんな大役、務まるかどうか……。,0,14,
20,土御門 舞夏,39000201,謙遜しなくとも<br>おぬしの腕が確かなのはわかっておるぞー。,900390008,20,
21,土御門 舞夏,39000201,その料理の知識とセンスがあれば<br>スイーツ研究の大きな助けになるはず。,0,10,
22,土御門 舞夏,39000201,手を貸して貰えると、心強いのだー。,0,12,ef_com_00100_002_000_00,
23,上条 当麻,1000201,俺からも頼む。<br>五和、引き受けてやってくれないか？,900010006,10,
24,五和,30000201,……わかりました。,900300005,11,
25,五和,30000201,どこまで出来るかはわかりませんが、私にもその<br>『究極のスイーツ』作り、協力させてください！,0,12,
26,土御門 舞夏,39000201,うん、頼りにしているぞー！,900390029,10,
27,土御門 舞夏,39000201,みんなで力を合わせ、必ずや<br>『究極のスイーツ』を完成させるのだー！,0,12,
28,上条 当麻,1000201,そういや舞夏、<br>作業ってここでやるつもりなのか？,900010029,10,ef_com_00100_002_002_00,
29,土御門 舞夏,39000201,いや、別の場所を用意してあるぞー。,900390008,10,
30,土御門 舞夏,39000201,寮のキッチンでは、少々手狭だからなー。,0,20,
#,,,#END,
