#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,義妹の愛情ケーキ,,,,
#,,,#【上条の学生寮（部屋）夜】,
1,土御門 舞夏,39000201,兄貴、帰ったぞー。,900390001,11,
2,土御門 元春,3000201,おお！　おかえり舞夏ー！,900030009,10,ef_com_00100_002_001_00,
3,土御門 元春,3000201,今日のスイーツ研究は、どうだったのかにゃー？,0,11,
4,土御門 舞夏,39000201,かなり有意義だったぞー。,900390011,10,
5,土御門 舞夏,39000201,上条当麻の知り合いが紹介してくれた<br>強力な助っ人が来てくれたしなー,0,10,
6,土御門 元春,3000201,そうかそうか、それは良かった。,900030003,10,
7,土御門 舞夏,39000201,ほら、兄貴。,900390002,20,
8,土御門 元春,3000201,……！<br>こ、この箱はまさか……！,900030030,15,ef_com_00100_002_001_00,
9,土御門 舞夏,39000201,今日の成果だ。兄貴と食べようと思って、<br>わざわざ持ち帰ってきたのだぞー。,900390001,10,
10,土御門 元春,3000201,えっ、なにそれ嬉しい！　食べる食べる～♪,900030010,17,ef_com_00100_002_000_00,
11,土御門 元春,3000201,ついでに「あ～ん」なんて<br>してくれちゃったりしたら最高――。,0,17,
12,土御門 舞夏,39000201,いいから早く食えー。,900390008,11,
13,土御門 元春,3000201,イタダキマース。,900030015,10,
#,,,#SE（カラトリー音：カチャカチャ）,,,,
14,土御門 元春,3000201,う、うまーい！,900030011,15,ef_com_00100_002_000_00,
15,土御門 舞夏,39000201,そうか、それはよかったのだー。,900390003,10,
16,土御門 舞夏,39000201,実はこのレシピには<br>重要な隠し味が入っていてなー。,0,11,
17,土御門 元春,3000201,隠し味……？,900030004,11,ef_com_00100_002_002_00,
18,土御門 舞夏,39000201,その隠し味とは何を隠そう……<br>誰かを想う『愛情』なのだー。,900390002,20,ef_com_00100_002_000_00,
19,土御門 元春,3000201,あ、愛情……だと！？,900030017,15,ef_com_00100_002_003_00,
20,土御門 元春,3000201,ハッ、ちょっと待て舞夏……。<br>お前は一体、誰のことを想って作ったんだ！？,0,13,
21,土御門 舞夏,39000201,さあなー？,900390008,11,
22,土御門 元春,3000201,！？,0,13,
23,土御門 舞夏,39000201,さて、遅くなったが夕食の準備でもするか。<br>煮魚でいいかーー？,900390028,10,ef_com_00100_002_002_00,
24,土御門 元春,3000201,もちろん！<br>舞夏の作るご飯は何でも美味しいからにゃー♪,900030006,17,ef_com_00100_002_000_00,
25,土御門 元春,3000201,って、そうじゃなくて……！,0,15,ef_com_00100_002_003_00,
26,土御門 元春,3000201,お前の『愛情』は一体誰のものなんだ！？,0,15,
27,土御門 元春,3000201,教えてくれ……舞夏～～～～っ！！,900030028,15,ef_com_00100_002_003_00,
#,,,#END,
