#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,トップアイドル対決,,,,
#,,,#【公園・内部Ｂ・昼】,
1,禁書目録たん,87000101,とうま、とうまぁ！<br>公園でな～んか、撮影っぽいことやってるよ。,900870028,10,
2,禁書目録たん,87000101,ふっふっふ。,900870003,21,ef_com_00100_002_000_00,
3,上条 当麻,1000101,あ、あのう……？<br>もしもし？,900010018,21,ef_com_00100_002_003_00,
4,上条 当麻,1000101,その不敵な笑みは何か良からぬことを<br>考えていらっしゃりしませんでせうか？,0,21,ef_com_00100_002_004_00,
#,,,,,,,
#,,,,,,,
5,削板 軍覇,102000101,なぁ、プロデューサーさんよ。<br>あんたがどれだけ偉いか知らねぇが……。,901020029,11,
6,削板 軍覇,102000101,……あんなに華奢な九つ子、……でいいのか？,0,11,
7,削板 軍覇,102000101,まぁともかく女の子たちを容赦なく<br>泥だらけにしてご満悦か？,0,20,
8,削板 軍覇,102000101,すげぇな、お前。<br>こんなにすげぇ根性なしは初めて見た。,901020025,20,
9,オッレルス,100000101,それなりに、理由というものがあってな。,901000003,11,
10,削板 軍覇,102000101,理由……だと？,901020003,20,ef_com_00100_002_002_00,
11,オッレルス,100000101,彼女たちは番組企画の中のクイズで間違った解答を選び、<br>そして自ら泥沼の中に飛び込んでいった。,901000005,10,
12,オッレルス,100000101,これ以上に理由が必要か？,0,10,
13,削板 軍覇,102000101,だからって九人全員、<br>そろいもそろって泥沼に飛び込ませるか！？,901020007,15,ef_com_00100_002_003_00,
14,オッレルス,100000101,まさに『説明できない力』が働いた、<br>としか思えないな……。,901000015,11,ef_com_00100_002_006_00,
15,削板 軍覇,102000101,だからっ！<br>なんでそこでクールにキメてんだよっ！,901020030,13,ef_com_00100_002_005_00,
16,削板 軍覇,102000101,とにかくっ！　撮影はいったん中止だ！,0,11,,
#,,,,,,,
17,上条 当麻,1000101,番組収録中らしいが、なんかモメてるみたいだな。,900010006,10,ef_com_00100_002_001_00,
18,上条 当麻,1000101,あー……端っこにいるの、アレは御坂妹たちか？<br>ひっでぇ……そろいもそろって泥だらけじゃねぇか。,0,21,ef_com_00100_002_004_00,
19,禁書目録たん,87000101,とうま、とうまぁ！<br>あれってさ、学園都市のアイドルのひとり……。,900870029,10,
20,上条 当麻,1000101,そういや……ま、まさか？,900010030,15,ef_com_00100_002_003_00,
21,禁書目録たん,87000101,モメてる今こそ<br>番組企画を持ち込むチャンスなんだよ！,900870009,21,ef_com_00100_002_000_00,
22,禁書目録たん,87000101,緊急企画！　トップアイドルタイマン勝負！<br>……なんだよ！,0,21,
23,上条 当麻,1000101,トップ……アイドル？,900010007,10,
24,上条 当麻,1000101,俺の記憶が確かなら<br>まだあなたはデビュー前のはずでは……。,0,11,
25,禁書目録たん,87000101,細かい事を気にするとハゲちゃうんだよ！<br>とうまは黙ってこの果たし状を渡してくればいいんだよ！,900870021,13,ef_com_00100_002_005_00,
26,上条 当麻,1000101,……はいはい。,900010003,14,ef_com_00100_002_004_00,
#,,,,,,,
27,削板 軍覇,102000101,ったくよ、この番組を盛り上げるため<br>あの子達はそれこそ根性出して、死ぬほど頑張った。,901020024,11,
28,削板 軍覇,102000101,なのに、あの扱いはねえよな。,0,20,ef_com_00100_002_006_00,
29,上条 当麻,1000101,あ、あのう……お取り込み中のところ<br>申し訳ないんですが……。,900010029,21,ef_com_00100_002_004_00,
30,禁書目録たん,87000101,とうまはそんな下手に出る必要はないんだよ！<br>私たちは勝負に来たんだから！,900870008,13,
31,削板 軍覇,102000101,はあ？　……なんだ、お前ら。,901020006,15,ef_com_00100_002_001_00,
#,,,#暗転,
32,削板 軍覇,102000101,つまりトップアイドルになるため、<br>俺に勝負を挑んできた、というわけか。,901020003,10,,
33,上条 当麻,1000101,……悪い。<br>いきなりこんなこと言われても迷惑だよな。,900010029,11,ef_com_00100_002_006_00,
34,上条 当麻,1000101,迷惑だったら断ってもらっても……。,0,10,
35,削板 軍覇,102000101,いや、その心意気や良し！<br>削板軍覇、この勝負受けてやるぜ！,901020002,12,ef_com_00100_002_000_00,
36,上条 当麻,1000101,ええ……やるの？,900010018,14,ef_com_00100_002_004_00,
37,オッレルス,100000101,話は聞かせてもらった。……いいだろう。<br>トップアイドルの座を巡っての果たし合い。,901000003,10,,
38,削板 軍覇,102000101,ふんっ、お前に勝手に番組企画を変えられるのは<br>気に食わねえけど……。,901020024,11,
39,削板 軍覇,102000101,女の子が泥だらけにされる番組よりは<br>ずっと根性入った番組になりそうだぜ。,0,12,
40,オッレルス,100000101,決まりだな。それにもうひとりのトップアイドルも<br>そろそろ到着する頃だ。,901000005,10,
#,,,,,,,
41,垣根 帝督,221000101,今更、名乗るまでもねぇが、俺こそが……<br>学園都市第二位の<ruby>超能力者</ruby>、垣根帝督だ。,900420001,10,,
42,垣根 帝督,221000101,俺の『<ruby>未元物質</ruby>』の可能性を<br>お前らで測らせてもらうぜ。,0,12,,
43,削板 軍覇,102000101,お、おぉ！？　……変なことを聞くようだが、<br>お前、本当に垣根帝督……だよなぁ？,901020017,15,ef_com_00100_002_004_00,
44,垣根 帝督,221000101,あぁ？　そう言ってんだろうが。,900420006,10,
45,オッレルス,100000101,では、次の現場があるので、あとはすべて任せよう。,901000002,10,,
46,削板 軍覇,102000101,お前っ！　番組プロデューサーのくせに<br>肝心なとこで丸投げしていなくなるのかよっ！,901020030,15,ef_com_00100_002_003_00,
47,禁書目録たん,87000101,ふっふっふ……えらい人がいなくなったということは、<br>好き放題できるってことなんだよ。,900870003,21,ef_com_00100_002_000_00,
48,上条 当麻,1000101,いや、その解釈はどうかと思うぞ。,900010007,11,ef_com_00100_002_006_00,
49,禁書目録たん,87000101,ここは一方的に私が対決方法を決定するんだよ！,900870005,12,
50,削板 軍覇,102000101,おうっ！　俺は受けて立つぜ！,901020006,10,
51,垣根 帝督,221000101,まぁどんな勝負だろうが、俺の可能性に限界はねぇ。<br>望むところだ。,900420002,10,
52,禁書目録たん,87000101,なら……ここは『焼きそばパンの大食い対決』で<br>勝者を決めるんだよ！,900870001,12,
53,削板 軍覇,102000101,おっしゃーーーーっ！<br>勝負開始だっ！,901020011,12,ef_com_00100_002_000_00,
#,,,#時間経過,
54,上条 当麻,1000101,おーーーーっと！　垣根帝督は焼きそばパンを<br>口に詰め込んだまま白目？　をむいているぞ！,900010011,15,
55,上条 当麻,1000101,……ってなんでオレが司会をすることになってんだよ！,0,14,ef_com_00100_002_003_00,
56,禁書目録たん,87000101,ふっふっふ、これは早くもひとり脱落のようなんだよ。<br>これで私は勝利を確信したんだよ。,900870002,21,ef_com_00100_002_000_00,
57,削板 軍覇,102000101,くそっ、ちっこいくせになんて食欲だ！？,901020027,15,ef_com_00100_002_003_00,
58,禁書目録たん,87000101,私の胃袋は無限なんだよ。<br>満腹になることは絶対にないんだよ！,900870003,10,
59,上条 当麻,1000101,おーっと、<ruby>禁書目録</ruby>たん、勝利を確信したか！？<br>余裕の笑みだ。,900010009,15,,
60,削板 軍覇,102000101,くっ！　一個一個食ってたんじゃ、差が広がるばかりだ。<br>……ならばっ！　根性っ！,901020011,16,ef_com_00100_002_003_00,
61,上条 当麻,1000101,削板軍覇！　両手に焼きそばパンを抱え込むと<br>一気に口の中に詰め込んだ！,900010010,15,
62,上条 当麻,1000101,これは呼吸ができるのか！？<br>あまりにリスクの高い勝負に出たぞっ！,0,20,ef_com_00100_002_003_00,
63,禁書目録たん,87000101,それなら私は……<ruby=狙いを右へ>ＡＡＴＲ</ruby>！ ,900870011,11,,
64,上条 当麻,1000101,こ、これは……<ruby>強制詠唱</ruby>！？　いや、違う！<br>ただ単に削板の前に陣取って……。,900010030,15,,
65,上条 当麻,1000101,削板の邪魔をしながら<br>自分の焼きそばパンをむさぼり食っている～～！？,0,15,ef_com_00100_002_003_00,
66,上条 当麻,1000101,相手に焼きそばパンを食べさせない作戦だっ！,0,15,
67,上条 当麻,1000101,……ってこんな勝負いつまで続けんだ？<br>ああ……こんなのに付き合わされて……不幸だ。,900010023,14,ef_com_00100_002_004_00,
#,,,#end,
