#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,仲間を頼る勇気,,,,
#,,,#【公園・内部Ｃ・昼】,
#,,,一方その頃。七草真由美になりきった初春飾利、<br>北山雫になりきった佐天涙子、,,,,
#,,,アンジェリーナになりきった白井黒子、<br>白井黒子になりきった柴田美月を見つけた美琴達は――。,,,,
1,御坂 美琴,4002801,――ん？　ああ……<ruby=あの子>妹達</ruby>からか。,1,10,ef_com_00100_002_001_00,
2,御坂 美琴,4002801,――どうしたの？　え……？<br>怪しい研究施設を見つけた……！？,1,15,,
3,司波 達也,211000101,（なんだと……！？）,1,15,,
4,七草 真由美,215000101,「――あ、達也くん！」,1,10,,
5,七草 真由美,215000101,「実は、怪しい場所が見つかったのよ。もしかしたら<br>ここに、なにかこの世界の手掛かりがあるかも……！」,1,11,,
6,司波 達也,211000101,……七草先輩。もしやそこにミサカ一〇〇三二号も？,1,10,ef_com_00100_002_002_00,
7,七草 真由美,215000101,「え？　どうして？　いないけど……？」,1,10,,
8,司波 深雪,212000101,お兄様？　一体どうなさったのです――、っ！？,1,15,ef_com_00100_002_001_00,
9,司波 達也,211000101,っ……！？,1,15,ef_com_00100_002_003_00,
10,御坂 美琴,4002801,何、なにっ！？,1,15,ef_com_00100_002_003_00,
11,司波 深雪,212000101,じ、地震……！？,1,16,ef_com_00100_002_003_00,
12,司波 達也,211000101,……収まったか……。皆、大丈夫か？<br>怪我はしていないか？,1,11,
13,司波 深雪,212000101,は、はいお兄様。深雪は大丈夫です。,1,14,ef_com_00100_002_004_00,
14,初春 飾利,36002801,さっきの地震、何だったのかしら……。<br>皆！　気分が悪い人が居たら、遠慮なく言うのよ！,1,16,,
15,佐天 涙子,37002801,私は大丈夫。でも……あれ見て、<br>空や地面にさっきまでなかったヒビが入ってる……！,1,15,ef_com_00100_002_001_00,
16,白井 黒子,5001401,ホントだわ！　さっきの地震が原因ってこと！？,1,15,ef_com_00100_002_003_00,
17,柴田 美月,218000101,ただの地震、という訳ではなさそうですわね……。<br>なにやら不吉な予感がしますわ……。,1,13,ef_com_00100_002_004_00,
18,司波 深雪,212000101,どんな事が起きてもお兄様がいるからきっと大丈夫よ。<br>そうですよね、お兄様？,1,10,,
19,司波 達也,211000101,……ああ、そうだな。,1,11,ef_com_00100_002_006_00,
20,司波 深雪,212000101,……お兄様……？,1,14,ef_com_00100_002_002_00,
21,司波 達也,211000101,そう心配そうな表情をするな。<br>何も問題はない。必ず解決してみせるさ。,1,10,
22,司波 深雪,212000101,……そうですね。<br>お兄様ならきっと大丈夫だと信じております。,1,10,
23,御坂 美琴,4002801,……ねえ、達也さん、深雪さん……。,1,11,
24,御坂 美琴,4002801,私……やっぱ二人がゲームのキャラだなんて思えない。,1,10,
25,達也たち,,「……！」,1,,,
26,御坂 美琴,4002801,そういう驚いた表情とか、<br>さっきの焦り顔とかがさ……なんていうのかな、,1,11,
27,御坂 美琴,4002801,すごく血が通ってる感じで、<br>創り出されたキャラクターには思えないのよ。,1,10,
28,御坂 美琴,4002801,……もしそれが本当だとしても、<br>キャラクターを演じてる事情は分からないし、,1,11,
29,御坂 美琴,4002801,言いたくないなら無理に聞こうとはしないけどさ……。,1,11,
30,御坂 美琴,4002801,――でも、ひとつだけ言っていい？<br>悩んでる時は、誰かに頼ってもいいんじゃない？,1,10,
31,御坂 美琴,4002801,仲間の力を借りたっていい筈だと、私は思うよ｡,1,10,
32,御坂 美琴,4002801,――達也さん。大事な妹さんに迷惑かけたくなくて、<br>黙ってるんじゃない？,1,11,
33,司波 達也,211000101,……｡,0,14,
34,司波 深雪,212000101,お兄様……｡,1,14,
35,御坂 美琴,4002801,――その気持ち、分かる。<br>私もそんなことあったから……｡,1,11,
36,御坂 美琴,4002801,友達を危ないことに巻き込みたくないって……。<br>でも皆が教えてくれた。,1,11,
37,御坂 美琴,4002801,『楽しい事も怖い事もともに分かち合うのが<br>本当のお友達』なんだって。,1,10,,
38,御坂 美琴,4002801,何も教えてくれないまま、<br>大切な人が自分の知らないところで傷ついていくのを、,1,10,
39,御坂 美琴,4002801,ただ黙って見ているしかない側だってきっと辛いし……。,1,11,
40,御坂 美琴,4002801,力になれない自分を責めてしまうことだって<br>あると思うから……。,1,11,
41,司波 深雪,212000101,……お兄様、わたしは――、<br>知りたいです、お兄様が何に困っているか。,1,11,
42,司波 達也,211000101,深雪……。<br>はぁ………――七草先輩。,1,14,
43,七草 真由美,215000101,「……聞いてたわ、達也くん」,1,11,,
44,司波 達也,211000101,アイネブリーゼに来てください。<br>先輩や当麻達に、話したい事があります――……！,1,13,
#,,,#END,
