#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,目的達成と第二の条件,,,,
#,,,#【謎の施設・廊下・室内ライト】,
1,黒服,508000106,ぐあっ……！,1,16,,
2,七草 真由美,215000101,はぁ、はぁ……今のでこの辺りの敵は<br>全部倒せたみたいね。,1,16,ef_com_00100_002_004_00,
3,御坂 美琴,4002801,ようやく最深部に到達ね……。初春さん、<br>ここの電子ドアのロック解除してもらっていい？,1,10,,
4,初春 飾利,36002801,はい、すぐに解除しますので少し待ってください……。<br>――……ロック解除できました。,1,10,,
5,御坂 美琴,4002801,ありがとう。それじゃ……入りましょう。,1,20,
#,,,#【場面転換】,
#,,,#【研究所・研究室・室内ライト】,
6,御坂 美琴,4002801,子供達はどこかしら……？,1,10,ef_com_00100_002_002_00,
7,七草 真由美,215000101,……居たわ。部屋の奥にあるあの機械から<br>強い<ruby=サイオン>想子</ruby>が感じられる。,1,11,ef_com_00100_002_001_00,
8,御坂 美琴,4002801,良かった、こっちの研究所が当たりね……！<br>あとはこの機械から子供達を助け出せればクリアね。,1,10,
9,七草 真由美,215000101,こんなのに子供を閉じ込めて<br>不当な実験を行っていたなんて、到底許されないわ！,1,13,
10,黒服たち,,――……。,0,,,
11,七草 真由美,215000101,そう簡単に救出させてくれないってことね……！,1,13,
12,御坂 美琴,4002801,初春さん、開けられそう！？,1,20,
13,初春 飾利,36002801,少しだけ時間を稼いでください！<br>この機械、プロテクトが少々手ごわくて……！,1,15,ef_com_00100_002_003_00,
14,御坂 美琴,4002801,オッケー、そっちは任せたわ！<br>初春さんの元へは絶対に近づけさせない……！,1,20,
15,七草 真由美,215000101,さぁ二人とも、最後の踏ん張りどころよ！,1,13,
#,,,#【場面転換】,
16,初春 飾利,36002801,――よし……システムの掌握、完了しました！<br>御坂さん、七草さん、いつでも開けられます！,1,10,
17,七草 真由美,215000101,よくやったわ初春さん！　こっちも今、<br>なんとか片付いたところよ。子供達を出してあげて。,1,10,
18,男の子Ａ,58000101,――僕達……助かった、の？<br>お姉ちゃん達、ありがとう……！,1,-2,,
19,男の子Ｂ,58000101,僕達この機械にずっと閉じ込められて……。<br>ずっと助けてって叫んでも誰も来てくれなくて……。,1,-2,,
20,七草 真由美,215000101,お姉さん達が来たからもう大丈夫よ！,1,12,
21,女の子,59000101,あぁ……夢みたい……ぅん……？<br>なんだか、眠たくなってきちゃった……。,1,-2,,
22,初春 飾利,36002801,！　子供達が段々消えて……？,1,15,ef_com_00100_002_001_00,
23,御坂 美琴,4002801,たぶん、助けて出してもらう願いが叶ったことで、<br>子供達のこの世界での物語は終わったんだわ。,1,11,,
24,七草 真由美,215000101,あとは私達に任せて。必ず助けに行くわ。<br>だから安心しておやすみ？,1,10,,
25,女の子,59000101,うん……待ってるね……。　,1,-2,,
26,初春 飾利,36002801,消えちゃった……。でも、この世界で助けても、<br>現実の世界で助けたことになってないって事ですよね。,1,15,
27,七草 真由美,215000101,ええ、この世界から出られたら必ず助けに行くわ。<br>それについては私達の世界の問題ね。,1,11,
28,七草 真由美,215000101,この辺りに<ruby=サイオン>想子</ruby>は感じられないし、<br>少なくとも子供たちは無事に助け出せたに違いないわ。,1,10,,
29,初春 飾利,36002801,じゃ、じゃあ！　目標を達成できたって事は<br>私達もこれで脱出できるって事ですよね！,1,10,
30,御坂 美琴,4002801,ええ、さっきの子供達みたいに、<br>きっと私達も直に目が覚める……はず、なんだけど……。,1,15,ef_com_00100_002_004_00,
31,初春 飾利,36002801,……何も起きませんね？,1,15,ef_com_00100_002_004_00,
32,七草 真由美,215000101,おかしいわ……。初春さん、この研究所の端末から<br>達也くん達がいる研究所へアクセスできる？,1,11,ef_com_00100_002_006_00,
33,初春 飾利,36002801,え？　あ、はい、できると思いますが……。,1,10,ef_com_00100_002_002_00,
34,七草 真由美,215000101,大至急、向こうの研究所の事を調べてみてほしいの。,1,10,
35,御坂 美琴,4002801,七草さん……もしかして……。,1,20,ef_com_00100_002_004_00,
36,七草 真由美,215000101,ええ、私達の見立てが甘かったかもしれないわね……。,1,13,ef_com_00100_002_006_00,
37,初春 飾利,36002801,繋がりました。っ……これは……！<br>向こうの研究所に謎のエネルギー源みたいなのが……！,1,15,ef_com_00100_002_003_00,
38,御坂 美琴,4002801,脱出条件は……一つじゃなかったってこと……！？,1,20,
39,初春 飾利,36002801,ま、また地震……！？,1,16,ef_com_00100_002_003_00,
40,七草 真由美,215000101,これは、以前のものよりも大きい……！,1,16,ef_com_00100_002_003_00,
41,御坂 美琴,4002801,脱出できず、崩壊がそのまま進んでるってことは、<br>もう間違いないって事ね……。,1,16,
42,光井 ほのか,214000101,あ！　雫、白井さんこっちこっち！　御坂さん達いたよ！,1,15,ef_com_00100_002_003_00,
43,白井 黒子,5001401,お姉様、初春、皆さんご無事ですの！？<br>状況は一体どうなっていますの！？,1,15,ef_com_00100_002_003_00,
44,北山 雫,213000101,解決……したんだよね？<br>それとも子供達はここにはいなかったの？,1,10,
45,御坂 美琴,4002801,説明は移動しながらする！<br>黒子、向こうの研究所へ連れてって！,1,20,ef_com_00100_002_003_00,
46,白井 黒子,5001401,……事態は急を要するようですのね。承知いたしました。,1,13,
47,初春 飾利,36002801,もしもし、佐天さん！？　大変です！<br>予想外の事態が発生しました！,1,15,ef_com_00100_002_003_00,
