#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,無能力者と劣等生,,,,
#,,,#【魔法科研究所(仮)】,
1,司波 達也,211000101,こうなる事は分かっていた。<br>だが、お前に説明している余裕はないんだ……！,1,13,,
2,司波 達也,211000101,それに、到底信じてもらえる話じゃないさ……。,1,14,ef_com_00100_002_006_00,
3,上条 当麻,1002101,信じる！　もう既に途方もねぇ出来事に巻き込まれ<br>ちまってるんだ。それに言っただろ、お前を信じるって！,1,20,,
4,司波 達也,211000101,っ……！,1,13,
5,上条 当麻,1002101,それにお前はこう言ったはずだぜ。<br>俺とお前の目的は同じ、力を貸して欲しいんだって。,1,11,,
6,上条 当麻,1002101,聞いただろう！　この研究所には何かがある……。<br>それを確かめてからでも遅くはねぇんじゃねぇのか？,1,20,,
7,司波 達也,211000101,その時間がどこにある？<br>あとどれだけ猶予があるかも分からないこの状態で――。,1,11,
8,司波 達也,211000101,俺は諦めている訳じゃない……！<br>より確実な方法を選んでいるだけだ！,1,13,
9,司波 達也,211000101,俺は……深雪を失う訳にはいかない……！,1,13,
10,上条 当麻,1002101,――バカ野郎っ！<br>お前は何も分かっちゃいねぇっ！！,1,20,
11,司波 達也,211000101,何だと……ッ！？,1,13,
12,上条 当麻,1002101,お前が一人で戦う事が皆の願いなのかよ！,1,20,
#,,,#【場面転換】,,,,
13,御坂 美琴,4002801,「でも皆が教えてくれた、『楽しい事も怖い事も<br>共に分かち合うのが本当のお友達』なんだって」,1,10,,
14,御坂 美琴,4002801,「何も教えてくれないまま、大切な人が自分の知らない<br>ところで傷ついていくのを」,1,10,
15,御坂 美琴,4002801,「ただ黙って見ているしかない側だってきっと、<br>辛いし……」,1,11,
16,御坂 美琴,4002801,「力になれない自分を<br>責めてしまうことだってあると思うから……」,1,11,,
17,上条 当麻,1002101,誰よりも傍に居るお前の大切な人から、<br>その願いを聞いたはずじゃねぇのかよ！？,1,20,,
18,司波 達也,211000101,――――ッ！！,1,15,
19,上条 当麻,1002101,最後の最後まで足掻いてもがいて、誰もが<br>ハッピーエンドだと思える結末を手に入れるんだっ！,1,13,
20,上条 当麻,1002101,――なんでも一人で解決しようとすんじゃねェェェッ！！,1,20,,
21,司波 深雪,212000101,――お兄様ッ！！！,1,15,,
22,司波 達也,211000101,（――――深雪……！！）,1,15,,
#,,,#END,
