#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 3周年イベント（表） チャプター10,
#,,,そしてまた、日常へ。,,,,
#,,,# 【黒背景】,
1,？？？,999000101,とうま。……とうま。……とうま！！ ,1,20,,
2,上条 当麻,1000201,ん……なん……だ……？,1,11,,
3,？？？,999000101,とうま、起きてよー！,1,20,
4,上条 当麻,1000201,ん……ああ？　あれ、ここは……。,1,10,,
#,,,# 【場面転換】,1,
#,,,# 【当麻の学生寮・昼】,1,
5,インデックス,2000101,あ、やっと起きてきた！　何度呼んでも起きないから<br>少し心配しちゃったんだよ。,1,14,,
6,上条 当麻,1000201,インデックス……よお、さっきぶりだな。<br>お前も戻ってこれたのか。,1,10,
7,インデックス,2000101,うん？　いきなり何言ってるのとうま？<br>私はずっとここにいたんだよ。,1,14,ef_com_00100_002_002_00,
8,オティヌス,45000701,やれやれ、まだ寝ぼけているらしいな。<br>休日だからといって堕落しすぎだぞ人間。,1,11,,
9,オティヌス,45000701,まったく、こんな時間まで惰眠を貪るとは呑気なものだ。<br>その間も、私は猫に追われて大変だったというのに……。,1,13,
10,上条 当麻,1000201,おぉ、オティヌスもいる。<br>ちゃんと戻ってこれたってことか。,1,12,
11,インデックス,2000101,しっかりしてよとうま！<br>一体どんな夢を見てたの？,1,15,ef_com_00100_002_002_00,
12,オティヌス,45000701,そいつのことだから、また身を削って<br>見知らぬ女でも助けていたのではないか？,1,11,
13,インデックス,2000101,えっ、夢の中でもそんな感じなの？<br>さすがにそこまで行くとちょっと……。,1,14,
14,上条 当麻,1000201,いや待て待て待て！　勝手に想像して<br>勝手にドン引かないでくれませんかね！？,1,15,ef_com_00100_002_003_00,
15,インデックス,2000101,じゃあ、どんな夢を見てたわけ？,1,10,
16,上条 当麻,1000201,それは……えーっと、あれ？<br>何でだ？　上手く思い出せない……。,1,21,ef_com_00100_002_004_00,
17,上条 当麻,1000201,確か、昔あったことを思い出してたような……。,1,11,
18,オティヌス,45000701,ふむ、夢は記憶の整理ともいうからな。<br>過去の記憶を夢という形で思い出しでもしてたんだろう。,1,10,
19,インデックス,2000101,でもそれならやっぱり<br>女の子を助ける夢なんじゃないかな？,1,13,
20,オティヌス,45000701,なるほど、それもそうだな。<br>やはりこの人間はそういうのから逃れられぬらしい。,1,11,
21,上条 当麻,1000201,ったく、言いたい放題言ってくれやがって……。,1,21,ef_com_00100_002_004_00,
22,オティヌス,45000701,そう拗ねるな。お前のそういうところは<br>素直に評価しているのだ。,1,10,
23,オティヌス,45000701,でなければ、私は今ここでこうして<br>『理解者』に恵まれることも無かったのだからな。,1,12,
24,インデックス,2000101,そうだね！　私もとうまのおかげで<br>今の私があるんだよ！,1,12,
25,上条 当麻,1000201,二人共……。,1,12,
26,インデックス,2000101,そんなことよりとうま、もうとっくに<br>お昼ご飯の時間なんだよ！,1,20,
27,インデックス,2000101,今日は何を食べさせてくれるのかな？<br>私もうお腹ペコペコなんだよ！,1,20,
28,オティヌス,45000701,そうだな、私も先ほど激しく運動をしたので<br>空腹感がある。昼食の用意を頼むぞ。,1,10,
29,上条 当麻,1000201,お、おう……。,1,21,ef_com_00100_002_004_00,
30,上条 当麻,1000201,（……ああ、そうだ。こんな平和な<br>一日を過ごすために、俺は今まで……）,1,11,
31,インデックス,2000101,……とうま？　急に黙ってどうしたの？,1,10,ef_com_00100_002_002_00,
32,上条 当麻,1000201,いや、何でもねーよ。この流れならいつもの<br>不幸オチにはならないって思っただけだ。,1,12,
33,上条 当麻,1000201,それじゃあ、今日は外に食べにでも行くか！<br>何か食いたいものあるか？,1,12,
34,インデックス,2000101,わーい！　やったー！！,1,12,ef_com_00100_002_007_00,
#,,,#END,













