#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,
#,,,追っ手からの逃走,,,,
#,,,#【モノローグ開始→『窓のないビル』直下の地下空間】,
1,上里 翔流,103000801,この子達を頼む。<br>大丈夫、きみならいつもやってきた事だろう？,1,12,,
#,,,#【暗転】,
2,木原 唯一,245000701,上里翔流を諦めたくなければ、<br>鍵を収める私には逆らわない事です。,1,10,,
3,木原 唯一,245000701,今は絶対に無理でも、技術が進歩すれば<br>いつの日か上里翔流は連れ戻せるかもしれない。,1,10,,
4,木原 唯一,245000701,でもその日が来るまでに『右手』を腐らせちゃったら<br>どうにもなりませんしねえ？,1,10,,
5,木原 唯一,245000701,さ・て。,1,11,,
6,木原 唯一,245000701,<rubypos><ruby=・>そ</ruby><ruby=・>の</ruby><ruby=・>ガ</ruby><ruby=・>キ</ruby><ruby=・>を</ruby><ruby=・>殺</ruby><ruby=・>せ</ruby>、<ruby=・>メ</ruby><ruby=・>ス</ruby><ruby=・>ど</ruby><ruby=・>も</ruby>。<ruby=・>道</ruby><ruby=・>具</ruby><ruby=・>の</ruby><ruby=・>忠</ruby><ruby=・>誠</ruby><ruby=・>心</ruby><ruby=・>を</ruby><ruby=・>測</ruby><ruby=・>っ</ruby><ruby=・>て</ruby><ruby=・>や</ruby><ruby=・>る</ruby></rubypos>。,1,13,,
#,,,#【暗転】,
#,,,#【学園都市・交差点_大熱波・昼】,
7,上条 当麻,1000401,待ってろよ上里。<br>らしくないのはもう終わりだ、ここから巻き返す！,1,13,,
8,上条 当麻,1000401,お前達が突き付けた誰も幸せにしない幻想なんざ、<br>欠片も残さずぶっ殺してやるからなあッッッ！！！！！！,1,13,,
#,,,#【暗転→モノローグ終了】,
#,,,#【学園都市_｢理想送り｣先の灰色世界】,
9,上里 翔流,103000802,（……さむ、い？）,1,15,ef_com_00100_002_001_00,
10,上里 翔流,103000802,（そうか、唯一と決着がついた事で<br>エレメントが活動をやめて、）,1,11,
11,上里 翔流,103000802,（<ruby>府蘭</ruby>も足止めに使っていた<br>マイクロ波の『大熱波』を解除したんだな……）,1,11,,
12,上里 翔流,103000802,（それにしても……何だか感慨深いな。<br>奈落っていうのも）,1,10,
13,上里 翔流,103000802,やれやれ。……ん？,1,10,ef_com_00100_002_001_00,
14,上里 翔流,103000802,（右の手首から先がない。『<ruby>理想送り</ruby>』で右手以外が<br>ここに吹き飛ばされて来たってことは、まぁ解る）,1,10,,
15,上里 翔流,103000802,（気になるのは出血が止まっていて、<br>ボロ布が雑に巻かれている事だ）,1,11,
16,上里 翔流,103000802,（自分で止血をしてからまた倒れたとかではない限り、<br>それはつまり……そうか）,1,21,
17,上里 翔流,103000802,（ぼく以外の『何か』が周りにゴロゴロ転がっている。<br>これまで右手を使って吹き飛ばしてきたものだろう）,1,21,
18,上里 翔流,103000802,（となると、ここへ来たのは物品だけとは限らなくなる。<br>ぼくより前に、先客が存在していないとおかしい）,1,21,
19,上里 翔流,103000802,（でも、だとすると、それは……）,1,11,
20,上里 翔流,103000802,<ruby=ニャン>娘</ruby>、<ruby=ニャン>々</ruby>……？,1,15,ef_com_00100_002_004_00,
21,娘々,108000101,おうよ。,1,10,
22,上里 翔流,103000802,（……いいや、彼女だけじゃない。<br>あちこちから気配や、突き刺さるような視線を感じる）,1,21,
23,上里 翔流,103000802,（今までぼくが消し飛ばしてきたものの内、<br>最も顕著な存在は何だったか）,1,21,
24,上里 翔流,103000802,（その全員が『ここ』に集っている……）,1,21,
25,娘々,108000101,ま、ギフトを授けて一方的にやられたわたし達的にも<br>言いたい事は色々あるんだけどさ。,1,12,
26,娘々,108000101,その、何だ。とりあえずお前、<br>『魔神』総出でボコられろ。,1,12,,
#,,,#【場面転換】,
#,,,#【学園都市・交差点_大熱波・昼】,
27,烏丸 府蘭,105000101,逃げ切れないです。,1,14,,
28,上条 当麻,1000401,っ！？,1,15,ef_com_00100_002_004_00,
29,烏丸 府蘭,105000101,これは逃げ足の速さとか互いの距離とか、<br>そういう話をしている訳ではないのであしからず。,1,11,
30,烏丸 府蘭,105000101,……そもそも向こうには<br>最新鑑識技術フル動員の『辿り屋』<ruby>絵恋</ruby>がいます。,1,10,,
31,烏丸 府蘭,105000101,汗、唾液、毛髪、靴痕、その他色々。,1,10,
32,烏丸 府蘭,105000101,地面残留物を感知し続けるあのケミカルストーカーは<br>私達の足跡を一つ一つ辿って追い駆けてきます。,1,10,
33,烏丸 府蘭,105000101,つまり、時間の長い短いこそあれ、<br>彼女は必ず一直線にゴールまで辿ってしまうのです。,1,10,
34,上条 当麻,1000401,ならどうしろってんだ！？,1,20,
35,烏丸 府蘭,105000101,知れた事。,1,11,,
36,上条 当麻,1000401,……バルーン？,1,15,ef_com_00100_002_002_00,
37,烏丸 府蘭,105000101,足跡を消せば良い。もっと言えば、飛べば良いのです。,1,12,,
#,,,#【暗転】,
38,有村 絵恋,251000101,……ウチらはウチらで地上を洗いましょ。,1,10,,
39,有村 絵恋,251000101,どのみち、上は他の子が抑えとる以上は<br>府蘭のバルーンで逃げ切る事もできへん。,1,10,
40,有村 絵恋,251000101,何しろ彼女自身が高出力のマイクロ波をばら撒いた<br>おかげでバスも電車も、その辺の車も動きまへんよって。,1,10,
41,有村 絵恋,251000101,露骨な『足跡』があるなら結構、<br>さっさと辿って片付けましょ。,1,10,
42,琉華,247000101,……木原唯一。あいつについている限り、<br>こんなのがずっと続くのかしら。,1,14,ef_com_00100_002_006_00,
43,有村 絵恋,251000101,せやけど他に選択肢はない。府蘭達が何をたくらんどる<br>んか知らんけども、上里はんの運命を預けられへん。,1,13,
44,有村 絵恋,251000101,『<ruby>理想送り</ruby>』をキープするにはあのツンツン頭の首を<br>差し出すんが一番『<ruby=・>確</ruby><ruby=・>実</ruby>』なんは間違いないんやから。,1,13,,
#,,,#【暗転】,
45,上条 当麻,1000401,……、,1,21,ef_com_00100_002_004_00,
46,上条 当麻,1000401,……冗談じゃねえっ、冗談じゃねえぞ。,1,21,,
47,烏丸 府蘭,105000101,……静かにです。,1,13,
48,上条 当麻,1000401,（『旧』上里勢力の女の子達はすぐそこ……。<br>こんな、陸橋の真下なんかで大丈夫なのか！？）,1,14,
49,烏丸 府蘭,105000101,……地下鉄の線路用のトンネルがあります。<br>あそこに逃げ込みましょう。,1,10,
50,烏丸 府蘭,105000101,……わずか二〇メートル、学校のプールより短い。<br>このまま行くです。,1,10,
51,上条 当麻,1000401,……見つかるよ、見つかって殺されるっ。,1,14,ef_com_00100_002_006_00,
52,烏丸 府蘭,105000101,別の追っ手は空対空監視しかしていません。地上は絵恋達<br>が全部塗り潰してくれると信じて疑っていないから、,1,13,,
53,烏丸 府蘭,105000101,こんな半端な高度で私達が<br>サンドイッチされている可能性を考えてないです。,1,13,
54,烏丸 府蘭,105000101,じっくり調べられたら<br>絵恋は陸橋下にも気づくかもしれない。,1,13,
55,烏丸 府蘭,105000101,それまでにもっと距離を稼いでおかないとです。,1,13,
56,烏丸 府蘭,105000101,……、今っ。,1,13,
57,上条 当麻,1000401,っっっ……！！,1,15,ef_com_00100_002_003_00,
#,,,#【場面転換】,
#,,,#【トンネル内部_汎用】,
58,上条 当麻,1000401,（ふぅ～～っ、何とか見つからずトンネルに……ん？<br>脇腹に何か……って、府蘭がツールナイフを！？）,1,15,ef_com_00100_002_001_00,
59,烏丸 府蘭,105000101,今後のために、最初に一つ確認を取っておくのです。,1,10,
60,上条 当麻,1000401,……、,1,23,
61,烏丸 府蘭,105000101,私は上里翔流の仲間であって、<br>上条当麻の仲間ではないです。,1,10,
62,烏丸 府蘭,105000101,こうしてあなたを助けているのは、それが上里ちゃんの<br>ためになると判断したからに過ぎません。,1,10,
63,烏丸 府蘭,105000101,どうか、上里ちゃんのためになる事を。<br>その間であれば、私はどのような力でも貸し与えます。,1,10,
64,烏丸 府蘭,105000101,ただし一度でも上里翔流より<br>上条当麻を優先した場合は、それまで。,1,13,
65,烏丸 府蘭,105000101,いついかなる状況でも迷わずバッサリ切り捨てて<br>他を当たりますので、あしからず。,1,13,
66,上条 当麻,1000401,分かったよ。,1,11,,
67,上条 当麻,1000401,こっちだって命を助けてもらっている身だ。,1,20,
68,上条 当麻,1000401,あいつがいなければ俺は<br>あの地下で黒ずんだ炭の一つになっていた。,1,20,
69,上条 当麻,1000401,だから今回は駆け引きナシだ。上里の救出に命を懸ける。,1,20,
70,烏丸 府蘭,105000101,……ならばよし、です。,1,11,,
71,烏丸 府蘭,105000101,そんな訳で安心したらお腹がすいたのです。<br>何か食べ物を探しに行きましょう。,1,10,
72,上条 当麻,1000401,おいコラ五秒で自分を優先してんじゃねえーよ。,1,14,ef_com_00100_002_006_00,
#,,,#【暗転】,
73,烏丸 府蘭,105000101,ここまで距離を離せば絵恋の直線的な『辿り』は<br>回避できるでしょう。この辺りで降りるのです。,1,10,,
74,上条 当麻,1000401,人の気配がないな……。,1,10,
75,烏丸 府蘭,105000101,列車のトンネルだから当たり前なのです。,1,10,
76,上条 当麻,1000401,そうじゃなくて、なんていうのかな、少し離れただけで<br>人間の匂いなんて簡単に消えちまうものなんだなって。,1,11,
77,上条 当麻,1000401,（こういう地下は冷所暗所を好むエレメントの巣窟に<br>なっていた。そのせいで避難所にはできなかったからな）,1,10,
78,烏丸 府蘭,105000101,でも、エレメントは普通の食事は取らないみたいでした。<br>駅のお蕎麦屋さんとかは手つかずかもしれないのです。,1,10,
79,上条 当麻,1000401,（ひとまず、最寄りの地下鉄駅まで向かうか）,1,11,,
#,,,#【場面転換】,
#,,,#【『窓のないビル』直下の地下空間】,
80,木原 唯一,245000701,なるほど、なるほど、なるほどねえ。,1,11,,
81,木原 唯一,245000701,上条当麻を殺せと命じて一〇分。,1,10,
82,木原 唯一,245000701,一〇〇人ほぼ総出で出かけて人間狩りを始めたのに、<br>結局見失って右往左往、ですか。,1,10,
83,木原 唯一,245000701,取り逃した事実といい<br>さっさと切り上げて報告会に移っちゃったのといい、,1,10,
84,木原 唯一,245000701,ちょおーっとブレーキが働いているのかなあ。<br>無意識の内に。,1,14,ef_com_00100_002_006_00,
85,木原 唯一,245000701,実際問題、学園都市を揺さぶりまくった『上里勢力』の<br>本気はこんなもんじゃないと思うんですよねえ。,1,10,
86,木原 唯一,245000701,それとも私の買い被りなのかな？,1,10,
87,木原 唯一,245000701,ねえ、その辺りどう思います？<br>座り心地の悪いあなた？,1,12,
88,去鳴,155000703,うっ……。,1,16,ef_com_00100_002_004_00,
