#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,
#,,,営巣部隊の本拠地へ,,,,
#,,,#【学園都市・交差点_大熱波・昼】,,,,
1,上条 当麻,1002701,怖い怖い怖い怖い怖いッッッ！！,1,14,ef_com_00100_002_003_00,
2,豊山 琉華,247000101,大丈夫よー、ちゃんと車幅は計算しているから。,1,10,
3,豊山 琉華,247000101,変に飛び出た街路樹の枝とかくの字に折れた<br>標識とかない限りは頭吹っ飛ばされる事もないでしょ。,1,10,
4,上条 当麻,1002701,（『<ruby>営巣部隊</ruby>』が、五〇ｃｃＡＴカートの<br>モーターシェアリングを始めていたのは運が良かった）,1,11,,
5,上条 当麻,1002701,（……でも、一人乗りのカートに三人で<br>ぎゅうぎゅう詰めに乗るのはやっぱり厳しくない！？）,1,14,ef_com_00100_002_006_00,
6,上条 当麻,1002701,（ロールバーを掴んでいるとはいえ、<br>俺と<ruby>府蘭</ruby>は完全に外側に飛び出ているんですけど！？）,1,14,,
7,上条 当麻,1002701,すまん、<br>ちびったら全部かかる位置取りだけど気をつけて。,1,14,
8,豊山 琉華,247000101,ふざけんなそんな事したら振り落とすわよ！！,1,13,ef_com_00100_002_005_00,
#,,,#【場面転換】,
#,,,#【学園都市・山道・昼】,
9,上条 当麻,1002701,あれか……。<br>『<ruby>営巣部隊</ruby>』が本拠地にしている気象台ってのは。,1,20,,
10,烏丸 府蘭,105000101,みたいなのです。,1,20,
11,豊山 琉華,247000101,うん、いるいる。<br>ジャケットの内側が不自然に膨らんだ物騒な連中が。,1,11,
12,上条 当麻,1002701,<ruby>琉華</ruby>。『<ruby>営巣部隊</ruby>』を全滅させる必要はない。,1,20,,
13,上条 当麻,1002701,身の危険を感じてよそに回している部隊を本拠地に<br>集結させればそれで良い。狙いやすそうな場所はあるか。,1,20,
14,豊山 琉華,247000101,ちょっと待ってなさい……。,1,10,
15,豊山 琉華,247000101,敷地の外周に倉庫やタンクがいくつかあるわね。<br>あれなら奥まで潜らずに何とかなりそう。,1,10,
16,豊山 琉華,247000101,人の出入りもなさそうだから誤爆で吹っ飛ばして<br>後味悪くなるような展開にもならなさそうだし。,1,10,
17,上条 当麻,1002701,なら決まりだ。<br>あの小屋に琉華のお手製爆弾を仕掛けよう。,1,13,
#,,,#【場面転換】,
#,,,#【謎の施設・廊下・室内ライト】,
18,上条 当麻,1002701,何だこりゃ、プロパンのボンベだらけじゃないか。,1,21,ef_com_00100_002_004_00,
19,豊山 琉華,247000101,好都合でしょ、それだけ大きな花火になるわ。<br>それじゃ爆弾を仕掛けるわね。,1,10,
20,上条 当麻,1002701,（これで一ヵ所。全部隊を本拠地に呼び戻すとなれば、<br>もっともっと派手にやる必要があるだろうな）,1,11,
21,上条 当麻,1002701,（幸い、他にも都合が良い場所がありそうだし一周回って<br>仕掛けられる場所には全部仕掛けた方がぁっ！？）,1,15,ef_com_00100_002_003_00,
22,上条 当麻,1002701,おまっ、府蘭……っ。,1,14,,
