#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 最後の？アイドル話 チャプター06,
#,,,オフ日の暴走,,,,
#,,,#【学園都市・路上B・昼】,,,,
1,上条 当麻,1000701,ええと……。意気揚々と出かけたのは良いんですが<br>それでどこに向かっているんでしょうか……。,900010015,14,
2,禁書目録たん,87000101,私を待つ、合同ライブの会場に向かってるんだよ！,900870011,12,ef_com_00100_002_007_00,
3,上条 当麻,1000701,待ってないと思うんですが……。,900010018,14,ef_com_00100_002_004_00,
#,,,#【学園都市・路上B・昼】※同じ場所の場面転換,,,,
4,エステル,92000101,何だって！？<br><ruby>一方通行</ruby>が行方不明だって？,900920030,15,ef_com_00100_002_001_00,
5,禍斗,98000801,あ、そうと決まったわけではなく<br>そういう噂が流れているらしく……。,900980007,10,
6,エステル,92000101,なんてことだ。何とか合同ライブのチケットを<br>手に入れたっていうのに……。,900920016,14,ef_com_00100_002_006_00,
7,エステル,92000101,……いや、禍斗。違う。そうじゃない。<br>正しいファンの姿勢としては信じることだ！,900920005,12,
8,エステル,92000101,<ruby>一方通行</ruby>はきっと合同ライブには現れる。<br>今はきっと秘密のリハーサルをしているに違いないんだ！,900920002,12,,
9,禍斗,98000801,<ruby>ご主人様</ruby>……。,900980016,14,ef_com_00100_002_004_00,
10,エステル,92000101,いや、待てよ！<br>何かトラブルに巻き込まれているのかもしれない！,900920017,15,ef_com_00100_002_001_00,
11,エステル,92000101,<ruby>一方通行</ruby>の事だ、きっとファンに囲まれて<br>サイン攻めにあって抜け出せていない可能性もある！,900920004,13,,
12,禍斗,98000801,<ruby>ご主人様</ruby>……？,900980018,14,,
13,エステル,92000101,こうしてはいられないぞ、禍斗！<br>きっと私達の助けを待っているはずだ！,900920026,13,
14,禍斗,98000801,<ruby>ご主人様</ruby>？？？,900980030,15,,
15,エステル,92000101,心配はいらないぞ禍斗。大丈夫だ。<br>こう見えても分別はついている。,900920005,13,
16,エステル,92000101,<ruby>一方通行</ruby>を見つけても心を鬼にしてサインを求めずに<br>ちゃんと囲んでいるファンから逃がしてみせる！,0,13,,
17,禍斗,98000801,あ、いや……。,900980029,14,ef_com_00100_002_006_00,
#,,,#【学園都市・路上B・昼】※同じ場所の場面転換,,,,
18,垣根 帝督,42001201,ち……アイツ。どこほっついてやがるんだ。,900420016,13,
19,垣根 帝督,42001201,せっかくのオフ日にファンに見つかる危険を冒してまで<br>この俺が探してやってるっていうのに……。,0,13,
20,エステル,92000101,あの、すまない。つかぬことを尋ねるのだが……。,900920001,10,,
21,垣根 帝督,42001201,（ち、言った傍からバレちまったか。仕方ない……）,900420002,11,
22,垣根 帝督,42001201,今日はオフなんだが、仕方ねぇ。<br>サイン位なら……。,900420006,12,
23,エステル,92000101,どこかで、ファンに囲まれている白髪の人を<br>見かけなかっただろうか？,900920004,10,
24,垣根 帝督,42001201,……ん？,900420030,15,ef_com_00100_002_002_00,
25,エステル,92000101,もしくは隠し切れないアイドルのオーラをまとった<br>白髪の人を……。,900920005,10,
26,垣根 帝督,42001201,おいおい、俺が誰だか分かってるのか？,900420018,13,
27,エステル,92000101,……失礼した。名のある方とは知らずに……。<br>ただ、今はあるアイドルを探していて。,900920013,14,ef_com_00100_002_006_00,
28,垣根 帝督,42001201,（おいおいまさか俺が分からないって言うのか……。<br>仕方ねぇ……）,900420022,13,
29,垣根 帝督,42001202,これならどうだ！<br>俺が誰だかわかっちまうだろう！,900420011,12,ef_com_00100_002_007_00,
30,垣根 帝督,42001202,俺の<ruby>未元物質</ruby>がこぼれ落ちてしまったぜ……。<br>真のアイドルの輝きってのは――隠せねぇもんだなぁ。,0,12,,
31,エステル,92000101,あ……もしかして……。,900920030,15,ef_com_00100_002_001_00,
32,垣根 帝督,42001202,そうだ、俺は……。,900420005,11,
33,エステル,92000101,記憶を失っているのだな。でも大丈夫だ！<br>禍斗、近くの<ruby>警備員</ruby>を呼ぶんだ！,900920029,13,,
34,禍斗,98000801,了解しました、<ruby>ご主人様</ruby>。,900980003,10,,
35,エステル,92000101,すいません。私達は訳あって急いでおりますので<br>あとは<ruby>警備員</ruby>の方に事情を説明してください！,900920013,13,,
36,垣根 帝督,42001202,おい、ちょっと待て……。,900420030,15,ef_com_00100_002_004_00,
37,エステル,92000101,禍斗、後は<ruby>警備員</ruby>の方に任せて<br>私達は他に行くぞ！,900920004,13,,
38,禍斗,98000801,了解です！　<ruby>ご主人様</ruby>！,900980004,10,,
39,垣根 帝督,42001202,…………。,0,15,
40,ミーハー女子Ａ,999000101,ねぇ、ちょっと見てあれ！,0,10,,
41,ミーハー女子Ｂ,999000101,やだ、垣根様じゃない！<br>サイン貰いましょう！,0,10,,
42,通りすがりの主婦,999000101,こんなところでアイドルに会えるなんて！<br>サイン色紙とペンを買ってこないと！,0,10,,
#,,,#【学園都市・路上B・昼】※同じ場所の場面転換,,,,
43,心理定規,76000101,……何やってんのよ、まったく。<br>全然探せてないじゃない……。,900760018,14,ef_com_00100_002_004_00,
#,,,#end,





















































































