#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: 最後の？アイドル話 チャプター10,
#,,,『絶対偶像進化』計画,,,,
#,,,#【ライブ会場】,,,,
1,麦野 沈利,11000801,待たせたわねぇ。,900110001,12,
2,麦野 沈利,11000801,オマエらのハート、<br>溶かし尽くしてやるぜえぇええーー！,900110011,12,,
#,,,#【ライブ会場】,,,,
3,垣根 帝督,42000701,俺の<ruby>未元物質</ruby>に常識は通用しねぇ。,900420011,12,,
4,垣根 帝督,42000701,第一位の座も<br>テメェらの心もすべて俺のものだ！！,0,12,,
#,,,#【ライブ会場】,
5,食蜂 操祈,10002301,みんなの応援力に感謝しちゃうわぁ♪,900100011,21,,
6,食蜂 操祈,10002301,それじゃあ、私の歌で、<br>みんなをもっと夢中にしちゃうんダゾ☆,0,21,
#,,,#【ライブ会場】,
7,御坂 美琴,4003401,まだまだこれからよ！,900040002,12,,
8,御坂 美琴,4003401,いくわよ……！<br>がんばれ～るがん♪,0,12,,
#,,,#【ライブ会場】,,,,
9,オティヌス,45000901,神懸かりの意味を教えてやる。,900450006,12,
10,オティヌス,45000901,一瞬たりとも見逃すなよ！,900450002,12,,
#,,,#【ライブ会場】,,,,
11,レイヴィニア,43001101,学園都市のアイドルの歴史は<br>今日塗り替えられる！,900430011,21,
12,レイヴィニア,43001101,これがアイドルの最先端だ！,0,21,,
#,,,#【ライブ会場】,,,,
13,一方通行,13001601,……いくぜ。,900130006,11,
14,一方通行,13001601,俺サマの歌を聞きやがれェ！！！！,900130011,12,,
#,,,#【白背景にホワイトアウト】,
#,,,#【学園都市・駅前・昼】,,,,
15,上条 当麻,1000701,というわけで、無事に合同ライブも終了し、みなさん<br>幸せな笑顔で満ち溢れているわけですが……。,900010003,10,
16,禁書目録たん,87000101,………………………………。,900870023,14,
17,禁書目録たん,87000101,ハゲちゃえハゲちゃえ！,0,13,ef_com_00100_002_005_00,
18,上条 当麻,1000701,やめて！　八つ当たりで髪の毛をむしらないで！,900010024,14,ef_com_00100_002_003_00,
19,禁書目録たん,87000101,大食い対決に勝ったって言うのに<br>何のインタビューも来なかったんだよ！,900870016,14,
20,上条 当麻,1000701,いやいや。<ruby>禁書目録</ruby>たん……。,900010007,11,
21,上条 当麻,1000701,対決中に相手にのみ起こり続ける不自然な出来事と、<br>それを説明不能な根性のみで乗り越えてくる相手に,900010029,20,
22,上条 当麻,1000701,収拾不可能なほどの貴方の反則技が入り乱れた結果、<br>無効試合になったという話を聞いたんですが……。,0,20,
23,禁書目録たん,87000101,アイドルの世界は厳しいんだよ。<br>業界の闇を教えてやっただけなんだよ。,900870022,13,
24,禁書目録たん,87000101,だいたい、とうまは私の活躍も見ずに<br>どこに行ってたんだよ！,0,13,
25,禁書目録たん,87000101,ヒロインをないがしろにするなんて<br>外道のやる事なんだよ！　ばーかばーか。,0,13,
26,禁書目録たん,87000101,……！？,900870017,10,ef_com_00100_002_001_00,
27,禁書目録たん,87000101,嫌な気配がするんだよ、<br>ここはいったん退散するべきかも。,900870023,14,
28,上条 当麻,1000701,<ruby>禁書目録</ruby>たん？,900010030,21,ef_com_00100_002_002_00,
29,禁書目録たん,87000101,ひとまず、ヒロインの座はとうまに預けておくんだよ。<br>私が帰ってくるまでせいぜい温めておくんだね！,900870028,12,ef_com_00100_002_007_00,
30,禁書目録たん,87000101,さらばなんだよ！,900870002,12,,
31,上条 当麻,1000701,いや、ヒロインの座を俺に預けられても……。,900010018,14,ef_com_00100_002_006_00,
32,？？？,999000101,逃がしましたか。,900890024,20,,
33,ミサカたん,89000101,今回の<ruby>一方通行</ruby>行方不明騒動。その元凶たる伝言メモが<br>彼女によるものだということは調べがついています。,900890006,13,,
34,ミサカたん,89000101,逃がすわけにはいきません！<br>悪を成敗し、真のヒロインの座をこの手に！,900890011,13,,
35,上条 当麻,1000701,……なんだかなぁ……。<br>おーい、とりあえず落ち着け―。,900010023,14,ef_com_00100_002_004_00,
36,,,この世の科学技術の粋を集め<br>超能力開発に勤しむ学園都市。,
37,,,その裏の世界で進行していた『<ruby>絶対能力進化</ruby>』計画が<br>あるひとりの少年によって頓挫した後――。,,,,
38,,,科学者たちは考えた。<br>裏で進化するのが無理なら表で進化すれば良い。,
39,,,<ruby>超能力者</ruby>たちをアイドルとしてデビューさせ<br>ファンの力で進化を促す。,,,,
40,,,『<ruby>絶対偶像進化</ruby>』計画は続く！！,,,,
#,,,#end,



























































































