#ID,名称,メッセージ,ボイスID,
#,
502000020,,入院した上条当麻の見舞いに白井黒子と訪れた後<br>御坂美琴は1人病室に戻っていた。,0,
502000021,上条当麻,ん、なんだまた何か言いに来たのかビリビリ？,0,
502000022,御坂美琴,ち、違っ……、っていうかビリビリ言うな！！<br>……あの子は帰ったの？,0,
502000023,上条当麻,ん？あぁ、インデックスならさっきトイレに行くって<br>外に出て行ったと思うぞ。,0,
502000024,御坂美琴,ふ、ふーん。そうなんだ。<br>（インデックスってあの子のあだ名なのかしら？）,0,
502000025,上条当麻,……んで？,0,
502000026,御坂美琴,えっ？,0,
502000027,上条当麻,えっ？じゃないだろ？<br>何しに戻ってきたんだよ……。,0,
502000028,御坂美琴,あ！えっと、その……。<br>あっ、罰ゲームを懸けた勝負は継続だからね！！,0,
502000029,上条当麻,あの～御坂さん？さっきも聞きましたよ……。<br>はぁー、お前そんなに俺に罰ゲームを受けさせたいんだな。,0,
502000030,御坂美琴,ちがっ、……そ、そうよ！悪い？そもそもアンタが私に言い出したことじゃない！,0,
502000031,上条当麻,そりゃそうだけどさ。俺も色々大変だったんだぞ！,0,
502000032,御坂美琴,知ってるわよ……。<br>だからこうやってお見舞いに来てんでしょうが。,0,
502000033,上条当麻,（罰ゲームの話をしに来たって……<br>まぁ良いか……。）,0,
502000034,上条当麻,まぁサンキューな。っていうかもう遅いんだし<br>そろそろ帰ったほうが良いんじゃないのか？,0,
502000035,御坂美琴,えっ？あーうん、そうね。<br>もう帰るわ。じゃあアンタも早く元気になりなさいよね。,0,
502000036,上条当麻,あーわかった、わかった。,0,
502000037,御坂美琴,それじゃあね……。,0,
