#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
0,,,初めての料理<br>※土御門舞夏は仮画像で実装しております。,0,
1,インデックス,2002,とうまー、ご飯はまだー？　飢え死にしちゃうよー。<br>ごはんごはんごはんー！,0,15,
2,上条当麻,1001,だー！　やかましいぞインデックス！<br>大人しく待ってなさい！,0,20,
3,上条当麻,1001,つーか、暇ならこっち来てメシ作るの手伝ってくれよ。,0,10,
4,インデックス,2002,それは無理かも！　私は『<ruby=マジカルパワード>超機動少女</ruby>カナミン』を<br>見るのに忙しいんだよ！,0,10,
5,上条当麻,1001,は？　カナミン？,0,10,
6,インデックス,2002,うん！　今週は悪のイカ魔人とカナミンが対決するんだ！<br>神回確定なんだよ！,0,10,
7,上条当麻,1001,ええと……つまり自分はアニメを見るのに忙しいから、<br>手伝わない。だがメシは早く作れと……？,0,10,
8,インデックス,2002,さっすがとうま！　以心伝心ってやつだね！,0,12,
9,上条当麻,1001,は～～～……。,0,14,
10,インデックス,2002,どしたの、とうま？　そんな心の底から呆れ果てたぜ、<br>みたいな溜息ついて。,0,15,
11,上条当麻,1001,よく分かってんじゃねーか、このものぐさシスター！,0,20,
12,上条当麻,1001,はぁ、俺が間違ってたよ。お前に料理の手伝いを<br>頼むなんて、土台無理な話だったぜ。,0,14,
13,インデックス,2002,むっ、その言いぐさはちょっと心外かも。<br>私だって料理くらいできるんだよ。,0,20,
14,上条当麻,1001,うっそだろ！？,0,15,
15,インデックス,2002,力の限りに否定されたんだよ！？,0,15,
16,上条当麻,1001,す、すまねぇ、インデックス。<br>初めて火を見た原人みたいに取り乱しちまったぜ。,0,21,
17,インデックス,2002,そんなレベルの驚きなの！？<br>侮辱にもほどがあるかも！,0,15,
18,インデックス,2002,いいよ！　そこまでいうなら証明してあげる！<br>明日の晩御飯は私が作るかも！,0,13,
19,上条当麻,1001,い、いや……それはちょっと危険……。,0,14,
20,インデックス,2002,作るったら作るのーーー！！,0,20,
21,上条当麻,1001,それじゃ俺は学校行くけど……。<br>本当に平気か、インデックス？,0,10,
22,インデックス,2002,平気だよ！　この私にどーんと任せて欲しいかも！,0,12,
23,上条当麻,1001,不安だ……この上なく不安だ……。,0,10,
24,インデックス,2002,まったく、とうまったら心配性なんだから。<br>この私がなんの勝算もなく勝負に挑むはずないんだよ！,0,11,
25,インデックス,2002,いでよ！　お助けメイドさん！,0,10,
26,土御門舞夏,39001,呼ばれて飛び出てメイドジャーン♪,0,12,
27,インデックス,2002,よくぞ召喚に応じてくれたんだよ、まいか！,0,12,
28,土御門舞夏,39001,召喚っていうか玄関から入ってきただけだぞー。<br>どうやら料理を教わりたいらしいなー？,0,10,
29,インデックス,2002,そうなんだよ。美味しい料理を作って、<br>とうまをぎゃふんと言わせたいかも！,0,12,
30,土御門舞夏,39001,ふむふむ。ちなみに料理経験はあるかー？,0,10,
31,インデックス,2002,ないんだよ！　えっへん！,0,12,
32,土御門舞夏,39001,胸を張って言うような事じゃないぞー。<br>で、何を作りたいんだ？,0,10,
33,インデックス,2002,えと……や、野菜炒め。,0,10,
34,土御門舞夏,39001,野菜炒めか。初心者向けだし悪くない。<br>それじゃ早速作ってみるかー。,0,12,
35,インデックス,2002,うん！　よろしく頼むんだよ、まいか！,0,12,
36,土御門舞夏,39001,うーむ、こいつは前途多難だぞー。,0,11,
37,インデックス,2002,ううー……。,0,14,
38,土御門舞夏,39001,野菜を洗剤であらうのはまだしも、<br>まさか毒ガスが発生して引火するとはなー。,0,15,
39,土御門舞夏,39001,今世紀、稀に見るほどの不器用さだぞー。<br>一応、野菜炒めらしき物体はできたが……。,0,15,
40,インデックス,2002,コゲコゲなんだよ……。<br>これをとうまには食べさせられないね。,0,14,
41,土御門舞夏,39001,気を落とすなー。また作り直せばいい。<br>私は足りなくなった材料を買ってくるからなー。,0,10,
42,インデックス,2002,う、うん。ありがとうなんだよ、まいか。,0,14,
43,インデックス,2002,……料理って難しいんだね。<br>とうまはこんなに難しい事を毎日してくれてたんだ。,0,14,
44,？？？,9999001,ただいまー。,0,
45,インデックス,2002,あれ？　随分早いね、まいか……って、とうま！？<br>もう帰ってきちゃったの！？,0,10,
46,上条当麻,1001,今日はたまたまな……って、台所が大惨事！？<br>なにをどうすればこうなるんだよ！？,0,21,
47,インデックス,2002,お、お料理だけど？,0,15,
48,上条当麻,1001,料理って……あれ、なんだこの真っ黒焦げの物体X。,0,14,
49,インデックス,2002,そ、それは失敗作で……。,0,14,
50,上条当麻,1001,もしかしてこれ……野菜炒めか？,0,14,
51,インデックス,2002,うん……とうまが初めて私に作ってくれた料理。<br>今度は私が作ってあげようと思ったんだ。,0,14,
52,インデックス,2002,でも、失敗しちゃった……ごめんね、とうま？,0,16,
53,上条当麻,1001,……いただきまーす！　ガツガツガツガツ！,0,11,
54,インデックス,2002,ダ、ダメだよ、とうま！<br>そんなの食べたらお腹を壊しちゃう！,0,15,
55,上条当麻,1001,ガツガツ、ウプ……ゴクン。<br>ご、ごちそうさん……美味かったぞ、インデックス。,0,10,
56,インデックス,2002,……もう、ばかなんだから。<br>でもありがとうなんだよ、とうま。,0,17,
,,,#END,

