#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,食蜂 操祈 チャプター04,
#,,,女王様のお通り,
#,,,#【学園都市・路上B・昼】,
1,帆風 潤子,93000101,この辺りは学園都市でも飲食店が多いエリアですわね。<br>女王、今日の昼食はどちらで召し上がりますか？,1,10,ef_com_00100_002_002_00,
2,食蜂 操祈,10000101,そうねぇ、いつものお店に行こうと思ってるわぁ。,1,23,
3,食蜂 操祈,10000101,最近新しいお店とかを回りっぱなしだったから、<br>久しぶりにあの味が食べたいしねぇ。,1,22,
4,帆風 潤子,93000101,承知いたしました。<br>それでは、早速向かいましょう。,1,11,
#,,,#【暗転】,
5,食蜂 操祈,10000101,お店に着いたけれど……。<br>これは、予想外の状況ねぇ。,1,16,ef_com_00100_002_004_00,
6,帆風 潤子,93000101,大変な行列のようですのね……どうしましょう。<br>お並びになられますか？,1,15,
7,食蜂 操祈,10000101,そうねぇ……。私の能力で、<br>無理矢理、列をこじ開ける事もできるけどぉ……。,1,24,
8,食蜂 操祈,10000101,……面倒だし今日はいいかしらぁ。<br>また次の機会にして、今日は別のお店に行きましょう。,1,11,
9,食蜂 操祈,10000101,まだまだ行きつけのお店はあるし、<br>どこかは空いてるでしょうしねぇ。,1,12,
#,,,#【暗転】,
10,食蜂 操祈,10000101,け、結局、何軒もお店を回り続けたのに……。<br>何で私の行くお店は、全部行列ができているのぉ？,1,16,ef_com_00100_002_003_00,
11,食蜂 操祈,10000101,これは一体どういう事なのよぉ！？<br>何かの陰謀力でも働いているのかしらぁ！？,1,13,ef_com_00100_002_005_00,
12,食蜂 操祈,10000101,……さすがに我慢できないわぁ。<br>能力を使って、行列をどかすしかないわよねぇ。,1,16,
13,帆風 潤子,93000101,女王っ！　先程から少しおかしいと思い、<br>原因を調べていたのですが……。,1,14,ef_com_00100_002_003_00,
14,食蜂 操祈,10000101,今すぐにでも何とかできるけどぉ。<br>原因は気になるわねぇ。何か分かったのかしらぁ？,1,10,
15,帆風 潤子,93000101,それが、とあるＳＮＳのアカウントで紹介され、<br>女王のお好きなお店がどれも話題になっているようです。,1,11,
16,食蜂 操祈,10000101,ＳＮＳの紹介ぃ？<br>誰よ、そんなはた迷惑な紹介をしたのわぁ。,1,20,ef_com_00100_002_002_00,
17,食蜂 操祈,10000101,そんな迷惑なアカウント、<br>私の情報力でぶっ潰してあげるわぁ。,1,13,
18,帆風 潤子,93000101,あの、それが……アカウント名は『蜂の女王』でして。<br>こちらは女王のアカウントかと……。,1,20,ef_com_00100_002_003_00,
19,食蜂 操祈,10000101,……え？　ちょっと見せなさい……あら、本当ねぇ。<br>これは、私のアカウントだわぁ。,1,15,ef_com_00100_002_001_00,
20,食蜂 操祈,10000101,つまり今までの行列は、<br>私が自分で作った物だったのねぇ……。,1,16,
21,食蜂 操祈,10000101,ふふっ。<br>まぁ、私の注目力なら、この事態も納得よねぇ♪,1,12,ef_com_00100_002_000_00,
22,食蜂 操祈,10000101,そういう事なら仕方ないわぁ、<br>行列には手を出さないでおいてあげるんダゾ☆,1,21,
23,帆風 潤子,93000101,ですが……この分だと、女王の行くお店は、<br>行列になっている可能性が高いかと思いますわ……。,1,14,ef_com_00100_002_004_00,
24,食蜂 操祈,10000101,なら、私が行った事のないお店に行けば良いのよぉ。<br>ちょうど、行きたいお店もあったのよねぇ。,1,22,
25,食蜂 操祈,10000101,私が紹介した所に人が集まってるなら、<br>他の場所は空いてるでしょうしねぇ♪,1,12,
26,食蜂 操祈,10000101,そうと決まったら、向かいましょうかぁ。<br>確かこっちの角を曲がって……。,1,10,
#,,,#【暗転】,
27,食蜂 操祈,10000101,……ってぇ、何でこのお店も行列なのよぉ！？<br>私はＳＮＳで紹介なんかしていないのにぃ。,1,16,
28,帆風 潤子,93000101,じょ、女王、落ち着いてください。<br>この行列にも、何か原因があるはずですのよ。,1,15,ef_com_00100_002_003_00,
29,白井 黒子,5000101,あら、あちらにいる方々は……。,1,10,ef_com_00100_002_001_00,
30,御坂 美琴,4000102,ゲッ、食蜂。またアンタなの？<br>道端で騒いで、何してんのよ。,1,21,
31,食蜂 操祈,10000101,御坂さんこそ、何をしているのよぉ。<br>どうして御坂さんがこのお店に並んでいるのぉ？,1,10,ef_com_00100_002_002_00,
32,御坂 美琴,4000102,テレビで話題になってたから来たのよ。<br>私が行列に並んでたって、別に良いでしょ。,1,10,
33,帆風 潤子,93000101,なるほど、このお店の行列は女王とは<br>関係のない原因で、できていたのですね。,1,11,
34,食蜂 操祈,10000101,せっかく穴場のお店だと思って、<br>チェックしてたのにぃ……。,1,16,
35,帆風 潤子,93000101,女王、いかがなさいますか？<br>また別のお店を――。,1,20,
36,食蜂 操祈,10000101,……ふ、ふふ、もういいわぁ。<br>これ以上歩きたくないし。,1,12,ef_com_00100_002_006_00,
37,食蜂 操祈,10000101,こうなったら私の能力で、<br>この行列を退散させてあげるわぁ……！,1,22,ef_com_00100_002_007_00,
38,御坂 美琴,4000102,ちょっ、何しようとしてんの！　させないわよ！<br>順番はちゃんと守りなさいよね！,1,13,ef_com_00100_002_005_00,
39,食蜂 操祈,10000101,御坂さん、そこをどきなさぁい！<br>私は今、お腹がペコペコなのよぉ！,1,13,
40,御坂 美琴,4000102,だったらズルしないで列に並びなさいよ！<br>そのリモコンは使わせないわよ……！,1,20,
41,食蜂 操祈,10000101,ちょっと、そんな強く握ったら壊れるでしょう！？<br>あなた、ゴリラなの！？,1,16,ef_com_00100_002_003_00,
42,御坂 美琴,4000102,だ、誰がゴリラだっ！？<br>アンタが貧弱なだけでしょうが！,1,13,ef_com_00100_002_005_00,
43,白井 黒子,5000101,……すごい剣幕ですの。<br>これはきっと、口を挟んだらお二人に怒られますわね。,1,14,ef_com_00100_002_004_00,
44,帆風 潤子,93000101,女王も苛立ちを募らせていらっしゃったので、<br>恐らくそうかと思います……。,1,14,ef_com_00100_002_004_00,
45,白井 黒子,5000101,わたくし達は、口を出さずにお姉様達の分まで<br>並んでおきましょうか。ここ、最後尾ですのよ。,1,10,
46,帆風 潤子,93000101,あ、ありがとうございます。<br>それでは、待たせていただきますわ。,1,20,
47,食蜂 操祈,10000101,ちょっとぉ、離しなさいってば！<br>邪魔しないで、早く私にご飯を食べさせなさいよぉお！,1,13,ef_com_00100_002_003_00,
#,,,#END,

