#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,キャラ別ストーリー: 浜面 仕上 チャプター02,
#,,,名車・超再生？,
#,,,#【背景：学園都市・路上A・昼】,
1,浜面 仕上,66000101,あれ？<br>エンジンがかからねぇ……。,1,15,,
2,浜面 仕上,66000101,おいおい頼むぜ、もう一回！<br>……あーダメだ。完全にガタが来てやがる。,1,14,ef_com_00100_002_006_00,
3,浜面 仕上,66000101,（どうすっかな……。別のを調達するにしても<br>足が付くとマズいし……）,1,11,
4,浜面 仕上,66000101,（最近は<ruby>警備員</ruby>のパトロールも多いし、<br>もともと盗んだやつだから修理にも出せねぇ……）,1,14,,
5,浜面 仕上,66000101,ま、いい機会かもな。<br>ちょっとメンテでもしてやるか。,1,12,ef_com_00100_002_001_00,
#,,,#【場面転換】,
#,,,#【背景：学園都市・駅前・昼】,
6,浜面 仕上,66000101,えーと、あと買ってないパーツは……と。<br>洗車用品も見とくか。,1,10,,
7,浜面 仕上,66000101,……ていうか、これ自腹なんだろうな。<br>あいつらがカンパしてくれるわけもねえし……。,1,14,ef_com_00100_002_006_00,
8,絹旗 最愛,18000101,浜面。<br>それ、何してるんですか？,1,10,,
9,浜面 仕上,66000101,うおぉうっ！？<br>き、絹旗！？　お前いつの間に！？,1,15,ef_com_00100_002_003_00,
10,絹旗 最愛,18000101,さっきから声かけてましたけど。<br>浜面、超集中してたから気付きませんでしたね。,1,10,
11,浜面 仕上,66000101,あ、ああ、悪ぃ。,1,10,
12,絹旗 最愛,18000101,それ、車の部品ですよね。<br>浜面は車を超修理するんですか？,1,15,ef_com_00100_002_002_00,
13,浜面 仕上,66000101,別に大したことじゃねぇよ。イザって時のための車が<br>くたばりかけだから、直してやるだけだ。,1,11,
14,浜面 仕上,66000101,こっちで勝手にやるからほっとけ。<br>仕事には間に合わせるからよ。,1,10,
15,絹旗 最愛,18000101,いえ、私も手伝います。,1,12,
16,浜面 仕上,66000101,ああ、麦野達には適当に言っといて……って、は？<br>今なんつった？,1,15,ef_com_00100_002_003_00,
17,絹旗 最愛,18000101,私も手伝うと言ったんです。<br>資金も超出しましょう。,1,12,
18,浜面 仕上,66000101,いや、そりゃ助かるけど……いやいや！<br>どういう風の吹き回しだ？　車なんて興味ねぇだろ！？,1,15,ef_com_00100_002_003_00,
19,絹旗 最愛,18000101,……『魔導マックス・怒りのデス道路』。,1,11,,
20,浜面 仕上,66000101,なんだって？,1,14,ef_com_00100_002_002_00,
21,絹旗 最愛,18000101,このあいだ見た映画です。某名作を露骨にパクった<br>世紀末Ｃ級ＳＦカーアクション映画です。,1,10,
22,絹旗 最愛,18000101,低予算のヘンテコ魔改造車、ガバガバ脚本に謎の勢い……<br>それに私は、超すっかりハマってしまったわけです。,1,17,
23,浜面 仕上,66000101,で、自分もやってみたくなった、と。,1,11,
24,絹旗 最愛,18000101,ひらたく言えば、そういうことです。<br>超渡りに船でしたね。車ですけど。,1,12,
25,浜面 仕上,66000101,誰が上手いこと言えっつったよ……。<br>まあ部品代カンパしてくれんのはありがてぇけどさ。,1,14,ef_com_00100_002_006_00,
26,浜面 仕上,66000101,……ちなみにお前、車の知識とかあんの？,1,14,
27,絹旗 最愛,18000101,だから、さっき言ったじゃないですか。<br>映画を超見たって。,1,10,
28,浜面 仕上,66000101,それだけかよ！<br>ふ、不安だ……！,1,15,ef_com_00100_002_003_00,
#,,,#【場面転換】,
#,,,#【背景：学園都市・建設中のビル・昼】,,,,
29,浜面 仕上,66000101,さてと、どこから手を付けるかな……。,1,11,,
30,絹旗 最愛,18000101,改造はしないんですか？<br>ニトロエンジンは？　トゲトゲは？　火炎放射器は？,1,15,ef_com_00100_002_002_00,
31,浜面 仕上,66000101,するわけねえだろ！<br>ただのミニバンに何期待してんだよ！,1,13,ef_com_00100_002_005_00,
32,絹旗 最愛,18000101,そうですか。<br>では、何か私にできることはありますか？,1,14,
33,浜面 仕上,66000101,別にねえよ。<br>座って見てりゃいいんじゃねえの。,1,10,
34,絹旗 最愛,18000101,……。,1,14,
35,浜面 仕上,66000101,よっ、と……うわ、ひでーなこりゃ。<br>替えのパーツ買っといて良かったぜ……。,1,15,ef_com_00100_002_004_00,
36,絹旗 最愛,18000101,…………。,1,10,
37,浜面 仕上,66000101,こっちも相当キてんな……。<br>よく今まで持ったもんだ。,1,14,,
38,浜面 仕上,66000101,こりゃ元がボロかったんだな。<br>ま、いい機会だ。きっちり直してやるとするか。,1,12,
39,絹旗 最愛,18000101,………………。,1,10,
40,浜面 仕上,66000101,あ、やべ、ジャッキ忘れてた。<br>どうすっかな……。,1,15,ef_com_00100_002_006_00,
41,絹旗 最愛,18000101,それも聞いたことあります。<br>車を超持ち上げるやつですよね。,1,12,
42,浜面 仕上,66000101,おう。あれがなきゃ底の方が見えねぇんだ。,1,10,
43,浜面 仕上,66000101,しかし、車持ち上げるようなのなんて<br>そこらのホムセンじゃ手に入らねぇしな……うーん……。,1,14,ef_com_00100_002_006_00,
44,絹旗 最愛,18000101,何難しい顔してるんですか？<br>そんなの超簡単じゃないですか。,1,12,,
45,浜面 仕上,66000101,うおっ！？<br>か、片手で車を持ち上げやがった！？,1,15,ef_com_00100_002_003_00,
46,絹旗 最愛,18000101,私の能力なら、これくらいは超余裕です。<br>なんでしたらこのままお手玉もできますよ？,1,12,
47,浜面 仕上,66000101,で、でかした！<br>そのまま持っといてくれ！,1,15,,
#,,,#【時間経過】,
#,,,#【背景：学園都市・建設中のビル・夕】,
48,浜面 仕上,66000101,できた……！,1,12,,
49,絹旗 最愛,18000101,はい……！,1,12,
50,浜面 仕上,66000101,ガタの来たパーツ取っ替えて、エンジンから電装系から<br>直して、ついでに洗車してワックスがけもして……！,1,12,
51,浜面 仕上,66000101,ピッカピカの新品同然にしちまったぞ！<br>やったな、絹旗！,1,12,ef_com_00100_002_000_00,
52,絹旗 最愛,18000101,やりましたね。これなら、あの映画の改造車にも<br>引けを取らない超イカした仕事と言えるでしょう……！,1,17,ef_com_00100_002_000_00,
53,浜面 仕上,66000101,いやぁ、一時はどうなることかと思ったけど、<br>お前がいてくれて助かったわ！,1,12,
54,絹旗 最愛,18000101,当然です。私もなかなか楽しめましたよ。,1,12,
55,絹旗 最愛,18000101,……って、一時はどうなることか？<br>そんなこと考えてたんですか？,1,13,
56,浜面 仕上,66000101,はっ……いや、なんでもねぇ。<br>今のは忘れてくれ！,1,15,ef_com_00100_002_003_00,
57,浜面 仕上,66000101,しかしこうなると、さっそくひとっ走りさせたくなるな。<br>これからドライブがてら、飯でも食いに行くか？,1,12,
58,絹旗 最愛,18000101,超名案です。<br>今日は特に予定もありませんし。,1,12,
59,浜面 仕上,66000101,よし決まりだ！<br>んじゃ、まずはその辺だーっと流すか！,1,12,ef_com_00100_002_000_00,
60,浜面 仕上,66000101,……ん？<br>なんだ、こんな時に電話かよ。,1,10,,
61,麦野 沈利,11000101,「浜面、今からちょっと車用意しといてくれる？」,1,10,,
62,浜面 仕上,66000101,は？　今！？<br>今日は何の仕事もねぇって話だろ！？,1,15,
63,麦野 沈利,11000101,「悪いんだけど、緊急なんだってさ」,1,10,
64,麦野 沈利,11000101,「ああ、あと、今回死体の処理もこっちで済ますから。<br>車にそれ用のスペース空けといて」,1,11,
65,浜面 仕上,66000101,死体ぃ！！？　待て待て待て！<br>ついさっき洗車したばっかなんだぞ！！,1,15,ef_com_00100_002_003_00,
66,麦野 沈利,11000101,「知らないっての。いいから早くね」,1,16,,
67,絹旗 最愛,18000101,……なんといいますか、<br>超諸行無常って感じですね。,1,14,
68,浜面 仕上,66000101,せっかく綺麗にしてやったばっかりだってのに……<br>お互い苦労するよなぁ、<ruby=おまえ>車</ruby>も……。,1,14,ef_com_00100_002_006_00,
#,,,#END,

