#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,キャラ別ストーリー: 浜面 仕上 チャプター07,
#,,,それでも、生きている,
#,,,#【背景：学園都市・路地裏・昼】,
1,浜面 仕上,66000101,ここも変わんねぇな……。,1,10,,
2,浜面 仕上,66000101,（第七学区の路地裏……<br>俺達がいたスキルアウトの、前の活動拠点）,1,11,
3,浜面 仕上,66000101,（この場所で……）,1,11,
4,？？？,999000101,お前、浜面か？,1,20,,
5,浜面 仕上,66000101,その声……半蔵か！,1,15,ef_com_00100_002_001_00,
6,服部 半蔵,167000101,珍しいな、お前がここに来るなんて。<br>忘れ物でもしたか？,1,10,,
7,服部 半蔵,167000101,それとも、駒場のリーダーに花でも供えに来たか？,1,10,
8,浜面 仕上,66000101,……バカ言え、俺がそんな律義に見えるかよ。,1,12,
9,服部 半蔵,167000101,はは、見えねぇな。冗談だ、忘れてくれ。,1,12,
10,服部 半蔵,167000101,それに……駒場のリーダーが生きてりゃ、そんなことより<br>先にやることあるだろ、なんて言いそうだしな。,1,11,
11,浜面 仕上,66000101,だろうな。,1,14,
12,服部 半蔵,167000101,で、どうした？<br>まさか本当に忘れ物したわけでもねぇだろ。,1,10,
13,浜面 仕上,66000101,理由なんかねぇよ。<br>近くを通ったから、なんとなく寄っただけだ。,1,10,
14,服部 半蔵,167000101,こっちは何も変化なしだ。俺も見回りには寄るが、<br>今更ここを拠点に使ってもいねぇ。,1,10,
15,浜面 仕上,66000101,他のスキルアウトの連中は？,1,10,ef_com_00100_002_002_00,
16,服部 半蔵,167000101,俺がまとめてる。……つってもたかが知れた数だがな。<br>あの戦いで、相当な数が逝っちまったし。,1,14,ef_com_00100_002_006_00,
17,服部 半蔵,167000101,第七学区のスキルアウトは事実上、完全に潰れた。<br>あとは残党のみってな。,1,14,
18,浜面 仕上,66000101,……そうか。そうだよな。,1,14,
19,服部 半蔵,167000101,そういうお前はどうなんだ？<br>うまくやってるのか？,1,10,
20,浜面 仕上,66000101,大したことねぇよ。<br>能力者の使いっぱしりの毎日だ。,1,14,ef_com_00100_002_006_00,
21,浜面 仕上,66000101,ただ……ここんとこ、ちょっと考えててよ。,1,14,
22,服部 半蔵,167000101,何だよ？,1,10,ef_com_00100_002_002_00,
23,浜面 仕上,66000101,覚えてるだろ？　駒場さんが作った、<br>能力者の要注意人物リスト。,1,10,
24,服部 半蔵,167000101,<ruby>無能力者</ruby>狩りを楽しんでた<br>クソ野郎どものことだな。,1,13,,
25,浜面 仕上,66000101,あのリストに載ってた連中が……<br>全滅したらしい。,1,14,,
26,服部 半蔵,167000101,……ああ、聞いてる。<br>誰がやったのかわからねぇってこともな。,1,11,
27,浜面 仕上,66000101,義憤に駆られた正義の味方でもいたか、<br>それとも能力者同士の潰し合いか……。,1,14,
28,浜面 仕上,66000101,……どっちみち、あっさり終わった。<br>俺達の知らねぇところでな。,1,14,ef_com_00100_002_006_00,
29,服部 半蔵,167000101,良かったじゃねぇか。<br>何が不満なんだ？,1,10,ef_com_00100_002_002_00,
30,浜面 仕上,66000101,思っちまうんだよ。俺達が……駒場さんが命を懸けてまで<br>やり遂げたかったことは……,1,14,
31,浜面 仕上,66000101,どっかの誰かさんにとっては、<br>片手間で片付けられちまうことなのかってな。,1,14,
32,服部 半蔵,167000101,……。,1,11,
33,浜面 仕上,66000101,<ruby>無能力者</ruby>狩りの連中にしたって、れっきとした能力者。<br>学園都市にとっちゃ財産だ。どんなにクソでもな。,1,14,,
34,浜面 仕上,66000101,そいつらの被害ってやつは……ここで死んじまった<br>駒場さんより、よっぽど重く受け止められたろうよ。,1,14,
35,浜面 仕上,66000101,……どう違うんだろうな。<br>俺達と奴らの、命の値打ちってヤツは。,1,11,
36,服部 半蔵,167000101,浜面……。<br>お前、何かあったのか？,1,14,
37,浜面 仕上,66000101,『何か』なら毎日起こってるさ。能力者の雑用扱いで、<br>奴らと自分の差をいつも感じさせられる。,1,14,ef_com_00100_002_006_00,
