#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター01：学生寮前　上条 当麻　　,
#,,,デンワーの使い方,,,,
1,インデックス,2000101,うー、とうまの書いた待ち合わせ場所の地図、<br>スフィンクスが食べちゃったよー。,900020018,14,ef_com_00100_002_003_00,
2,インデックス,2000101,……どこに行けばいいんだろう？　もー、とうま、<br>メモだけじゃなくて口頭でも伝言して欲しかったかも！,900020024,20,ef_com_00100_002_006_00,
3,インデックス,2000101,……あ。<br>この、ケータイデンワー？　使えばいいのかも……？,0,10,
4,インデックス,2000101,えーと。……とりあえずどっかを押せば、<br>とうまが喋るんだったかも。えーと、じゃあ、ここ。,0,10,
5,インデックス,2000101,……あれ？　なんか真っ暗になっちゃったよ？<br>壊れたのかな？　こういうときは……振れば直るかな？,0,10,ef_com_00100_002_002_00,
6,インデックス,2000101,えい！　ぶんぶんぶん！　ぶんぶんぶん！,0,11,
7,インデックス,2000101,どうしよう、真っ暗なままなんだよ……。<br>そうだ、中開けてみた方がいいのかも！,0,15,ef_com_00100_002_004_00,
8,インデックス,2000101,んしょ、んしょ、んしょ……。<br>ダメだ、硬すぎるんだよ……開かないかも。,0,20,ef_com_00100_002_003_00,
9,インデックス,2000101,仕方ない、とうまと会えたら相談するんだよ。<br>でも、そのとうまはどこにいるんだろう……。,0,16,
10,インデックス,2000101,も～！　ケータイデンワーの役立たず！<br>は～、どうしよう。とうま、助けて～。,900020024,14,ef_com_00100_002_006_00,
#,
#,
#,
#,
#,
#,
#,
#,
#,
#,


































































































































































































