#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター15：学生寮前　上条 当麻　インデックス　,
#,,,器用貧乏,
1,インデックス,2000101,とうまって意外に器用だよね？,900020001,10,ef_com_00100_002_001_00,
2,上条 当麻,1000101,なんだよインデックス、藪から棒に。,900010018,10,ef_com_00100_002_002_00,
3,インデックス,2000101,お料理上手だし、まめにお掃除するし、<br>お洗濯しても泡まみれにならないし。,900020006,11,
4,上条 当麻,1000101,それはお前が壊滅的に機械音痴なだけだ。<br>なにをどうすれば洗濯機が壊れる程の泡が出せるんだよ。,900010029,21,ef_com_00100_002_004_00,
5,インデックス,2000101,生活力がある男の人はモテるってこもえが言ってたかも。<br>すごいんだよ、とうま！,900020009,12,ef_com_00100_002_007_00,
6,上条 当麻,1000101,貧乏学生に自炊とかの家事スキルは必須だからな。<br>もっと褒めていいんだぜ？,900010002,12,ef_com_00100_002_000_00,
7,インデックス,2000101,とうまはとっても器用貧乏かも！,900020002,12,
8,上条 当麻,1000101,そ、その呼び方はちょっと嫌だな……。,900010026,14,ef_com_00100_002_006_00,




















































