#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター18：学生寮前　上条 当麻　五和　,
#,,,鈍い音,
1,上条 当麻,1000101,おーい、五和！,900010001,10,
2,五和,30000101,あ、えっ！？,900300030,15,ef_com_00100_002_001_00,
3,上条 当麻,1000101,大丈夫か？　その鞄から随分鈍い音がしたけど……。,900010019,15,ef_com_00100_002_002_00,
4,五和,30000101,あ、あはは、これはアレでソレなので<br>どうか気にしないでください。,900300017,90,ef_com_00100_002_003_00,
5,上条 当麻,1000101,あ、ああ……。,900010006,10,
6,上条 当麻,1000101,（五和のやつ、鞄の中に一体何を……？）,0,11,ef_com_00100_002_002_00,






















































