#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター24：学生寮前　インデックス　御坂妹　,
#,,,御坂妹とスフィンクス,
1,御坂妹,21000101,……っ！？,900210030,15,ef_com_00100_002_001_00,
2,インデックス,2000101,あ、ごめんねスフィンクス。苦しかった？,900020012,16,
3,御坂妹,21000101,そ、そのふわふわで小さな生き物は……？,900210020,10,ef_com_00100_002_002_00,
4,インデックス,2000101,この子の名前はね、スフィンクスっていうんだよ♪,900020005,12,ef_com_00100_002_000_00,
5,御坂妹,21000101,そう、ですか……とミサカはどうにか平静を保ちながら<br>まじまじとその生き物を凝視します。,900210005,10,
6,インデックス,2000101,もしかして好きなの？　触ってみる？,900020011,10,ef_com_00100_002_002_00,
7,御坂妹,21000101,良いのですか？　と、ミサカは突然降ってわいた好機に<br>動揺しながらも平静を装い問いかけます。,900210029,15,ef_com_00100_002_001_00,
8,インデックス,2000101,もちろんだよ！　ね、スフィンクス？,900020006,12,
9,インデックス,2000101,って、あれ？<br>どこに行っちゃうんだよ、スフィンクスー！,900020017,15,ef_com_00100_002_003_00,
10,御坂妹,21000101,あぁ……。,900210015,14,ef_com_00100_002_004_00,


















































