#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター27：学生寮前　土御門 元春　土御門 舞夏　,
#,,,どこの土産？,
1,土御門 元春,3000701,舞夏、お土産だにゃー！,900030028,10,ef_com_00100_002_000_00,
2,土御門 舞夏,39000101,なんだこの、お土産に貰ったら困るランキング<br>ベスト３には入ってそうな変な顔の人形はー？,900390020,14,ef_com_00100_002_003_00,
3,土御門 元春,3000701,お兄ちゃんのセンス、なかなかだろ？,900030002,12,ef_com_00100_002_007_00,
4,土御門 舞夏,39000101,んー、それはよくわからんがどこに行ってきたんだー？,900390025,21,ef_com_00100_002_002_00,
5,土御門 元春,3000701,おっと、それは可愛い妹の頼みでも教えられないにゃー。,900030023,14,
6,土御門 舞夏,39000101,……なんだかよくわからないがサンキュー。<br>あまり嬉しくはないが、一応貰っておくぞー。,900390015,10,ef_com_00100_002_003_00,






















































