#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター05：学生寮前　土御門 元春　　,
#,,,クラシカルメイド服,
1,土御門 元春,3000701,ふっふっふ……<br>ようやく新しいメイド服が手に入ったにゃー！,900030002,10,ef_com_00100_002_000_00,
2,土御門 元春,3000701,最もスタンダードで地味には見えるが、<br>最も完成されたメイドさんの形。,0,10,
3,土御門 元春,3000701,シックなクラシカルタイプの<br>ロングメイド服だにゃー！,900030010,17,ef_com_00100_002_007_00,
4,土御門 元春,3000701,ふふ、勿論いつものメイド服も超大好きだが、<br>我が妹ならこういうタイプのメイド服も似合うはず。,0,12,
5,土御門 元春,3000701,よし！　帰って早速着せてみるにゃー！,900030011,17,ef_com_00100_002_001_00,























































