#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター15：学生寮前　土御門 元春　土御門 舞夏　,
#,,,兄妹の距離感,
1,土御門 元春,3000701,ちょっくら出かけてくるが、何か欲しいものはあるか？,900030028,10,ef_com_00100_002_001_00,
2,土御門 舞夏,39000101,んー、明日のお弁当を一品増やしたいから<br>鶏のひき肉を１パック頼んでもいいかー？,900390006,20,,
3,土御門 元春,3000701,あいよ。しっかし相変わらず<br>自分の欲しいものは強請らないんだにゃー。,900030016,12,
4,土御門 元春,3000701,たまにはお隣のシスターちゃんみたいに<br>あれが欲しい～！　とかお強請りしてもいいんだぜぇ？,0,11,ef_com_00100_002_004_00,
5,土御門 舞夏,39000101,そうか？　私としては、<br>甘えているところは十分甘えているつもりだけどなー。,900390007,10,ef_com_00100_002_002_00,
6,土御門 元春,3000701,まったく、我が妹ながら欲がないにゃー。<br>いっそのこと思いっきり甘えてこの腕に飛び込――。,900030011,17,ef_com_00100_002_007_00,
7,土御門 舞夏,39000101,どうでもいいが、早く行かないと遅れるぞー？,900390021,13,ef_com_00100_002_005_00,





















































