#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター05：学生寮前　上条 当麻　五和　,
#,,,そんなつもりじゃ……,
1,五和,30000101,あ、あの、その歯形は一体？,900300029,14,ef_com_00100_002_002_00,
2,上条 当麻,1000101,ああこれ？　……実は家に猛獣が現れてさ。,900010006,21,ef_com_00100_002_006_00,
3,五和,30000101,え、ええっ、猛獣！？<br>それは大変ですね、早く退治しないと！,900300030,15,ef_com_00100_002_003_00,
4,上条 当麻,1000101,い、五和さん！？,900010024,15,ef_com_00100_002_003_00,
5,五和,30000101,け、獣程度なら多分大丈夫です。<br>すぐに倒してきますのでそこで待っていてください。,900300025,13,
6,上条 当麻,1000101,ちょ、ちょっと待って！,900010017,21,
7,五和,30000101,えっ？,900300030,15,
8,上条 当麻,1000101,えっ……。,900010024,14,
9,五和,30000101,あ、ああああ！,900300017,90,ef_com_00100_002_003_00,
10,上条 当麻,1000101,悪い！　俺はただ引き留めたつもりで、<br>決してお前の上着を脱がしてしまうつもりじゃ……！,900010017,17,ef_com_00100_002_003_00,
11,五和,30000101,あ、あはは。わかってますから大丈夫です。<br>むしろ、またもやお見苦しいものを……。,900300013,14,ef_com_00100_002_004_00,
12,上条 当麻,1000101,五和、ほんっとーにすまん……。,900010023,11,ef_com_00100_002_004_00,
















































