#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,r8888,
0,,,モノクロの少年,0,
1,打ち止め,22000101,アナタの髪が真っ白なのって確か能力の影響なんだよね<br>って、ミサカはミサカは再確認してみる！,0,10,
2,一方通行,13001001,あァ？　なンだ、急に。,0,20,
3,打ち止め,22000101,だからー、アナタの髪だよ。<br>確か紫外線を反射してるとかナントカ？,0,10,
4,一方通行,13001001,チッ……前も言ったと思うが、俺は余計な紫外線を<br>全部反射してた。だから色素が必要ねェンだよ。,0,11,
5,打ち止め,22000101,そうそう。だから目も兎さんみたいに真っ赤なんだよね<br>って、ミサカはミサカは指摘してみる！,0,21,
6,一方通行,13001001,で？　それがどうしたって言うンだよ。,0,12,
7,打ち止め,22000101,もしアナタに能力がなかったら、どんな髪の色を<br>してたのかなって、ミサカはミサカは想像してみたりっ。,0,11,
8,一方通行,13001001,……くだらねェ。ンなもしもの話、クソほど無駄だ。,0,12,
9,打ち止め,22000101,どギツいピンク色だったら面白いね！,0,11,ef_com_00100_002_000_00,
10,一方通行,13001001,全然面白くねェ。,0,22,









