#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,r8888,
0,,,深刻な悩み,0,
1,姫神秋沙,23000101,小萌先生。折り入って相談したい事がある。,0,10,
2,月詠小萌,6000101,どうしたんですか姫神ちゃん？,0,15,
3,姫神秋沙,23000101,……ずっと悩んでた。<br>でも。私一人じゃ答えが出なくて。,0,14,
4,月詠小萌,6000101,なにやら深刻そうですねー？<br>分かりました！　先生が力になりましょう！,0,12,
5,姫神秋沙,23000101,ありがとう。小萌先生。<br>それではどうすればキャラが濃くなるか教えて欲しい。,0,12,
6,月詠小萌,6000101,キャラが濃く……ですか？,0,15,
7,姫神秋沙,23000101,巫女服の魔法使いという設定だけじゃ弱い。<br>私も小萌先生みたいに濃くなりたいんです。,0,11,
8,月詠小萌,6000101,私みたいにと言われましても……。<br>先生はただの平凡な高校教師ですよー？,0,16,ef_com_00100_002_003_00,
9,姫神秋沙,23000101,……謙遜も度が過ぎればただの嫌味。,0,13,
10,月詠小萌,6000101,そ、そんなジトーっとした目で先生を<br>見ないでください～！,0,16,
