#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,r8888,
0,,,常盤台の超電磁砲,0,
1,白井黒子,5000101,聞きましたわよ、お姉様。この前の能力測定で<br>素晴らしい成績を残されたそうですね。,0,12,
2,御坂美琴,4000102,あー、まぁ一応ね。,0,10,
3,白井黒子,5000101,さすがは学園都市に七人しかいない<ruby>超能力者</ruby>にして、<br>序列三位。『<ruby>超電磁砲</ruby>』の名は伊達じゃありませんわ。,0,12,
4,白井黒子,5000101,お姉様こそ常盤台のエース！<br>妹分であるわたくしも鼻が高いですの。,0,11,ef_com_00100_002_000_00,
5,御坂美琴,4000102,持ち上げすぎだって。<br>私の能力より、黒子の能力の方が便利じゃない。,0,14,
6,白井黒子,5000101,謙遜する必要はありません。<br>堂々と胸を張ってくださいませ！,0,10,ef_com_00100_002_007_00,
7,白井黒子,5000101,……張ると言うには、<br>些か慎ましいお胸ではありますが。,0,14,
8,御坂美琴,4000102,アンタはアタシを持ち上げたいの？<br>それとも喧嘩を売りたいのかしら……？,0,13,ef_com_00100_002_005_00,
9,白井黒子,5000101,あッ、お姉様ン！<br>そんなにビリビリしたらわたくし……アーッ！？,0,17,





