#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,スポット会話,,チャプター15：上条当麻の学校　上条 当麻　土御門 元春　,
#,,,エスケープ,
1,上条 当麻,1000101,土御門、さっき小萌先生が探してたぞ。,900010028,10,
2,土御門 元春,3000101,悪い、カミやん！　今ちょっと急いでるにゃー！,900030013,10,
3,上条 当麻,1000101,そんなこと言って、前も言いつけ破って逃げただろ。,900010015,21,ef_com_00100_002_004_00,
4,土御門 元春,3000101,あー、そんなこともあったっけ？,900030004,17,ef_com_00100_002_002_00,
5,上条 当麻,1000101,あったっけってお前……。,900010024,14,ef_com_00100_002_006_00,
6,土御門 元春,3000101,まぁまぁ、とりあえず今日のところは<br>カミやんの方から上手く誤魔化しといてくれ。,900030002,11,ef_com_00100_002_000_00,
7,土御門 元春,3000101,今度埋め合わせはするからにゃー！,0,12,
8,上条 当麻,1000101,あっ、おい土御門！<br>ほんと逃げ足速いよなあいつ……。,900010016,21,ef_com_00100_002_003_00,







