#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,チャプター16：上条当麻の学校　上条 当麻　姫神 秋沙　,,,,
#,,,お手伝いのお願い,
1,上条 当麻,1000101,あーっ！　姫神、いいところにいたっ！<br>ちょっと頼まれて欲しい事がある！,900010028,15,ef_com_00100_002_003_00,
2,姫神 秋沙,23000101,……なんか嫌な予感。お断りしようかと思う。,900230022,11,
3,上条 当麻,1000101,おいおい、頼みごとを聞きもしないうちに断るなんて<br>俺の中の姫神はそんな冷血キャラじゃないっ！,900010018,15,
4,姫神 秋沙,23000101,そんな風に饒舌に頼みごとをしてくる場合。<br>たいがいは。ろくでもない内容。,900230016,10,
5,上条 当麻,1000101,いやろくでもなくなくなくなくないから！,900010007,21,ef_com_00100_002_003_00,
6,姫神 秋沙,23000101,ろくでも。『なく』と『ない』を。合わせて５回言った。<br>計算すると最終的な意味としては。ろくでもないことに。,900230023,11,
7,上条 当麻,1000101,すごい、瞬時によく計算できるな、お前。,900010010,21,ef_com_00100_002_004_00,
8,姫神 秋沙,23000101,……で。なにを頼もうとしたの。一応聞くだけは聞く。,900230018,10,
9,上条 当麻,1000101,さっすが姫神懐が広い！<br>実はレポートの再々提出期限まであと３０分で。,900010014,12,
10,姫神 秋沙,23000101,そんな極限状況のレポート作成を。いきなり手伝えと？<br>やはりお断りしようかと思う。,900230016,11,ef_com_00100_002_006_00,
11,上条 当麻,1000101,そこをなんとか！　お礼はするから！,900010030,14,ef_com_00100_002_003_00,
12,姫神 秋沙,23000101,……お礼。じゃ、私のしてほしいこと。<br>なんでも。……してくれる？,900230009,10,ef_com_00100_002_001_00,
13,上条 当麻,1000101,……え？　し、してほしいことって何？<br>『なんでも』って言われると、急に日和るな……。,900010022,21,ef_com_00100_002_004_00,
14,姫神 秋沙,23000101,じゃ。さよなら。,900230009,11,,
15,上条 当麻,1000101,わー待って姫神！　約束はできないけど努力はする！<br>だから助けて！　って、もういねーし！　,900010023,15,ef_com_00100_002_003_00,
